suite_id,question,book_module,question_type,evidence_source,status,artifact_location,decision_reason,next_action
LAW_LIFE_COURSEWARE_2025,p01,法律与生活,考情分析,PDF page image and extracted text,reference-only,USER_FRAMEWORK.md A; 新版教学框架 总论,2024北京高考开场题用于呈现考法；不是完整官方题源,后续用原题和官方答案验证
LAW_LIFE_COURSEWARE_2025,p02,法律与生活,考情分析,PDF page image and extracted text,reference-only,USER_FRAMEWORK.md A,2025/2024海淀期末题例用于考情观察；不是完整套卷,后续补正式题源
LAW_LIFE_COURSEWARE_2025,p03,法律与生活,考情分析,PDF page image and extracted text,reference-only,USER_FRAMEWORK.md A,东城/西城/海淀题例汇总页；答案以对应后页为准,作为题例线索保留
LAW_LIFE_COURSEWARE_2025,p04,法律与生活,考情分析,PDF page image only,reference-only,USER_FRAMEWORK.md A,抽取文本为空但页图显示题目材料；缺答案页,不入正式触发链
LAW_LIFE_COURSEWARE_2025,p05,法律与生活,总论方法,PDF page image and extracted text,included,USER_FRAMEWORK.md A; 新版教学框架 总论,总判断为法条基础加法治意义,作为新版框架总轴
LAW_LIFE_COURSEWARE_2025,p06,法律与生活,备考建议,PDF page image and extracted text,included,USER_FRAMEWORK.md A; 旧框架诊断,提出认真读教材和掌握法律学科语言等建议,保留为方法前提
LAW_LIFE_COURSEWARE_2025,p07,法律与生活,法治意义,PDF page image and extracted text,included,USER_FRAMEWORK.md B; 新版教学框架 法治意义库,经济社会实际意义模板,拆入事实触发式意义库
LAW_LIFE_COURSEWARE_2025,p08,法律与生活,法治意义,PDF page image and extracted text,included,USER_FRAMEWORK.md B; 新版教学框架 法治意义库,权利平衡法治社原公德上位意义,拆入事实触发式意义库
LAW_LIFE_COURSEWARE_2025,p09,民法总论,法条知识,PDF page image and extracted text,included,USER_FRAMEWORK.md C; 新版教学框架 第一单元,民事法律关系主体客体内容,重构为法律关系定位层
LAW_LIFE_COURSEWARE_2025,p10,民事权利体系,法条知识,PDF page image and extracted text,included,USER_FRAMEWORK.md C; 新版教学框架 第一单元,人身权财产权知识产权等权利体系,重构为权利义务定位层
LAW_LIFE_COURSEWARE_2025,p11,合同与个人信息,法条知识,PDF page image and extracted text,included,USER_FRAMEWORK.md C; 新版教学框架 第一单元,合同成立生效履行和个人信息原则,重构为行为评价链
