question_id,year,district,exam_stage,question_no,evidence_status,真实设问原文,真实材料核心,真实法律主轴,主入口,副入口,主材料触发,副材料触发,禁止命中的框架点,v10错误命中,是否存在材料错配,是否存在细则/答案混入材料,是否存在OCR/串页/非法律污染,是否需要回源修复,是否应降级或移出,最终处理,修复说明
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,PASS,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,甲某无偿搭乘乙某车辆且未系安全带；乙某雨天驾驶发生交通事故致甲某受伤；民法典好意同乘规则要求对非故意、非重大过失的驾驶人减轻赔偿责任。,好意同乘交通损害减责：无偿搭乘关系下的侵权责任、过错程度与赔偿责任边界。,问法院减轻赔偿责任的理由与意义,法律制度意义,无偿搭乘交通事故|驾驶人无故意或重大过失|搭乘人未系安全带,法院酌情减轻赔偿责任|权利义务边界,合同成立|人格权主轴|消费者欺诈|平台用工,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；人格权/隐私/名誉/肖像/个人信息；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一主体一链,是,否,否,否,否,重写,按好意同乘减责锁定，不再命中合同、人格权、消费者、平台用工。
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,PASS,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,民法典守护碧水蓝天。案例一：某公司发明污水污泥分离技术，解决长期污水污泥分离难题，并在农村污水净化处理项目中应用推广。案例二：甲公司长期超标排放废水、废气等污染物损害环境公共利益，乙环境研究所提起环境民事公益诉讼，法院判令甲公司立即停止侵权、消除危险、赔偿环境损失。,民法典绿色原则与生态环境保护：绿色原则提供基本遵循，知识产权保护提供技术支撑，污染破坏环境应承担侵权责任，权利义务责任边界服务公共利益。,问法律规定的生态保护作用,规则意义,专利技术治理污水|超标排污损害公共利益|法院判令停止侵权/消除危险/赔偿损失,绿色原则|知识产权技术支撑|生态环境公益诉讼,知识产权侵权主轴|消费者|平台用工,问理由/为什么支持；问理由/为什么支持；知识产权/作品/商标/专利；相邻关系/物权边界/绿色原则/生态保护；法律制度意义/规则保护谁规范谁；一主体一链；一事实一法律词,源表污染，已回源修复,源表是，已回源修复,否,否，已完成,否,重写,已用原卷渲染页锁定案例一/案例二；知识产权只作为技术支撑，不作为侵权主轴。
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,PASS,【缺失，待回源】,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",消费者欺诈/消费者权益,消费者权益保护,,经营者信息告知|宣传|消费者权利受损,,平台用工|三从属性|只写诚信经营,问意义/价值/作用；问意义/价值/作用；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；纠纷解决/调解/仲裁/诉讼/举证；一主体一链；一规则一价值,疑似,否,否,是,否,待用户确认,设问缺失或需从原卷回补
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,PASS,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",平台企业与劳动者签合作协议，但平台派单、签到、奖惩、结算并把运输服务纳入自身业务组成；仲裁支持劳动者确认事实劳动关系。,平台用工事实劳动关系认定：人格从属性、经济从属性、组织从属性。,问仲裁裁决理由与典型意义,制度意义,平台派单|签到|奖惩,合作协议只是外壳|劳动者权益保护,普通合同成立|消费者欺诈|知识产权,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一事实一法律词,是,否,是,是,否,重写,合作协议不能把题带入合同主轴；核心是三从属性。
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,OPEN_OR_REFERENCE,运用《法律与生活》知识，谈谈对本案判决的认识。,19．（8 分）首例涉“虚拟数字人”侵权案宣判。 甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、11 月通过某平台发布。其中一段用以介 绍虚拟数字人Ada 的场景应用，另一段记录真人演员与虚 拟数字人Ada 的动作捕捉画面，对虚…,虚拟数字人著作权侵权与不正当竞争,问对判决的认识,行为评价,甲公司创作虚拟数字人及视频|乙公司未经许可使用并替换标识|虚假,,合同成立|消费者欺诈|平台用工,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；平台用工/合作协议/三从属性；先表态，再证明；一主体一链,是,否,是,是,是，OPEN_OR_REFERENCE 仅参考,降级参考,存在 OCR/页码/串页/非法律污染风险
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,PASS_RECOVERED,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,19．（6 分）遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终；曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。此后，某居委会按照 约定履行扶养义务。曹某去世后，曹某的四个子女要求继承遗产，与该居委会产生争议。该居委 会遂将曹某的四个子女等人诉至法院，请求判令：（1）确认某居委会与曹某签订的协议有效；（2） 曹某…,遗赠扶养协议与养老司法价值,问判决社会价值,规则意义,居委会按协议扶养老人|子女争夺遗产|法院确认遗赠扶养协议效力,,普通合同主轴|平台用工|消费者,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；纠纷解决/调解/仲裁/诉讼/举证；婚姻家庭/继承/监护/赡养；先表态，再证明；一主体一链,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,PASS_RECOVERED,运用法治知识，对小海的观点进行评析。,"21（1）75 年，大国自信而坚定的脚步。 1950年5月1日,《中华人民共和国婚姻法》开始施行。这是新中国成立后颁布的第一部具有基本法律性质 的法律，彻底废除了封建主义家庭制度，确立了以婚姻自由、一夫一妻、保护妇女儿童权益为原则的社会主 义婚姻家庭制度。2021年1月1日,《中华人民共和国民法典》正式实施。民法典专门设置了“婚姻家庭编”， 包括婚姻法在内的多部法律同时废止。 思政课上，大家围绕老师出示的两则法条展开了讨论。小海认为，1950年婚姻法中“由男方清偿”的规 定并…",婚姻家庭法律变迁与权利义务平等,问观点评析,行为评价,1950婚姻法债务规则|民法典婚姻家庭编|小海对旧规定合理性的评价,,相邻关系|生态绿色|纠纷解决万能化,问理由/为什么支持；问理由/为什么支持；纠纷解决/调解/仲裁/诉讼/举证；相邻关系/物权边界/绿色原则/生态保护；婚姻家庭/继承/监护/赡养；先表态，再证明；一主体一链,是,否,是,是,否,待用户确认,存在 OCR/页码/串页/非法律污染风险
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,PASS,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,乙公司发布碳排放配额采购比选公告；甲公司报价内容具体明确并承诺违约补差；乙公司确认中标并送达通知，之后甲公司拒不履行导致乙公司高价另购。,碳排放配额交易合同成立与诚信履约，兼有绿色原则和公平原则意义。,问合同成立理由与判决意义,绿色交易意义,报价内容具体明确=要约|中标通知送达=承诺|拒不履行=违约责任,碳排放交易|诚信|公平,多主体过错|平台用工|消费者欺诈|普通纠纷解决,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；纠纷解决/调解/仲裁/诉讼/举证；多主体过错/未成年人/监护/平台；先表态，再证明；一主体一链,否,否,否,否,否,重写,题面可锁定，question-level rubric_text 有政治串页风险，但 rubric atoms 已显示合同成立评分点；下篇需只用真实合同链。
CC0061_2024_西城_一模_18,2024,西城,一模,18,PASS_RECOVERED,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,九十岁郭某起诉三子支付赡养费，一审未支持；二审虽未支持抚养费请求，但基于老人精神陪伴需求向三个儿子发出督促履行义务告知书。,成年子女赡养义务：经济供养、生活照料、精神慰藉与司法柔性治理。,问对督促履行义务告知书的认识,家庭赡养制度意义,高龄父母精神陪伴需求|子女赡养义务|法院督促履行义务告知书,未支持支付赡养费但强调精神慰藉,合同成立|回避制度主轴|平台用工|消费者,问理由/为什么支持；问理由/为什么支持；合同成立/要约承诺/履约违约；纠纷解决/调解/仲裁/诉讼/举证；多主体过错/未成年人/监护/平台；先表态，再证明；一事实一法律词,否,否,否,否,否,重写,question-level rubric_text 混入回避制度评分，应在下篇剔除，只保留赡养义务相关细则。
CC0063_2024_西城_二模_16,2024,西城,二模,16,PASS,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。四次总计付款4176元。甲以产品中添加有黄芪粉，违反了有关规定为由，起诉请求经营者退还价款4176元，支付相当于价款十倍的赔偿金41760元。 审理法院认为，某食品科技有限公司违反我国关于食品安全的相关规定，属于生产经营不符合食品安全标准食品的行为，应依法承担责任。市民甲首单购买的30盒…,食品安全消费者惩罚性赔偿与诚信边界,问判决意义,规则意义,首单购买不合格食品|后续知假买假扩大购买|法院区分首单和后续权利行使边界,,普通合同成立|平台用工|知识产权,问评析/认识；问评析/认识；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；不正当竞争/混淆/商业诋毁/虚假宣传；先表态，再证明；一主体一链,否,否,否,否,否,保留,可从当前题面锁住主轴；下篇仍需按主入口和不超过3个主触发重写
CC0077_2025_东城_一模_19,2025,东城,一模,19,PASS,【待回源确认】19. 阅读材料，完成表格。（8 分） （一）本题标准和变通,19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。以下三个案例生 动展现了法治的实践与成效。 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。在诉讼程序启动后，法官了解双方需求、耐心释法析理，最终该公司主动赔偿工期延误损失， 既解“法结”又解“心结”。 案件二 柳某入职某医院时，双方在合同中约定“若柳某提出解约，培训费补偿见《培训协议》”，并 另行签订《培训协议》。 医院依约出…,表格补全：合同/劳动/继承等法治案例分链,完成表格,,装修合同延误诉讼调解|劳动培训协议权利义务|遗产管理,,单一合同主轴|万能纠纷解决|必修三公正司法,问评析/认识；问评析/认识；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一主体一链,是,否,是,是,否,待用户确认,设问缺失或需从原卷回补；存在 OCR/页码/串页/非法律污染风险
