atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-DC01,政治多极化,推动构建人类命运共同体，建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界,人类命运共同体五个世界；持久和平；普遍安全；共同繁荣；开放包容；清洁美丽,2026东城期末 Q20,学理层面总句,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,设问问四大全球倡议如何系统推动构建人类命运共同体 先触发人类命运共同体的目标世界总框架,构建人类命运共同体就是建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界 四大全球倡议围绕这一目标系统发力,merge_with_hmc_core_five_worlds,总句是学理层面 不替代四大倡议分项给分,candidate_with_fixes,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC02,中国,全球倡议系统推动构建人类命运共同体：全球发展倡议以发展促繁荣,全球发展倡议；以发展促繁荣；坚持互利共赢；坚持正确义利观；共商共建共享；发展合作中共享机遇,2026东城期末 Q20,四大倡议4分中的发展倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,材料中的一带一路合作和发展合作对应全球发展倡议 触发共享机遇和正确义利观,全球发展倡议以发展促繁荣 坚持互利共赢和正确义利观 在共商共建共享中同各国共享发展机遇,merge_under_global_initiatives_system_parent,四大倡议共同挂入全球倡议系统推动构建人类命运共同体父核心；发展倡议1分 不并成普通大国担当,candidate_with_fixes,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC03,中国,全球倡议系统推动构建人类命运共同体：全球安全倡议以安全保稳定,全球安全倡议；以安全保稳定；相互尊重；平等协商；筑牢安全屏障；安全互信中维护和平,2026东城期末 Q20,四大倡议4分中的安全倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,材料中的沙伊和解和国际调解院等安全行动触发全球安全倡议的和平路径,全球安全倡议以安全保稳定 倡导相互尊重和平等协商 在安全互信中维护和平并筑牢安全屏障,merge_under_global_initiatives_system_parent,作为中国倡议/方案分项 不流入时代背景桶 不单独扩写联合国安全机制,candidate_with_fixes,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC04,中国,全球倡议系统推动构建人类命运共同体：全球文明倡议以文明增互信,全球文明倡议；以文明增互信；文明交流互鉴；相互理解与信任；平等包容的文明观；全人类共同价值,2026东城期末 Q20,四大倡议4分中的文明倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,材料中的文明对话国际日对应文明互鉴和民心相通 触发全球文明倡议的互信路径,全球文明倡议以文明增互信 倡导文明交流互鉴和平等包容的文明观 弘扬全人类共同价值,merge_under_global_initiatives_system_parent,文明互鉴是中国倡议分项 不转入必修四文化主链,candidate_with_fixes,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC05,中国,全球倡议系统推动构建人类命运共同体：全球治理倡议以治理求公正,全球治理倡议；以治理求公正；完善全球治理；公平治理；实现共赢,2026东城期末 Q20,四大倡议4分中的治理倡议1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,材料中的全球治理倡议和国际调解院对应全球治理赤字的制度回应 触发治理求公正,全球治理倡议以治理求公正 完善全球治理 在公平治理中实现共赢,merge_under_global_initiatives_system_parent,保留全球治理倡议完整表述 不压缩成“全球治理”泛帽子,candidate_with_fixes,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC06,中国,全球倡议系统推动构建人类命运共同体：四大全球倡议相互促进、有机统一,四大全球倡议系统推动；有机统一；中国主张到国际共识；合作理念到共同行动；构建人类命运共同体新篇章,2026东城期末 Q20,系统推动2分和实践层面1分,P0_formal_scoring_rule_pptx,formal_scoring_pptx_with_paper_text_support,设问强调系统推动 材料又列出从倡议到具体国际合作行动 触发系统性和实践层,四大全球倡议相互促进、有机统一 从中国主张走向国际共识 从合作理念走向共同行动 不断谱写构建人类命运共同体新篇章,merge_under_global_initiatives_system_parent,系统推动和实践层面另给分 是父核心下的结构层 不被四个分项吞掉,candidate_with_fixes,2026东城期末_Q20_SRC_88c6e8f353db;2026东城期末_Q20_SRC_9aba5c7460e6
ATOM-DC07A,中国,全球倡议系统推动构建人类命运共同体：全球发展倡议通过合作援助开辟发展合作新空间,全球发展倡议；合作援助；共谋发展合作新空间；提供新机遇；注入新动力；增强发展中国家内生动力；繁荣世界经济,2024东城二模 Q20,全球发展倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,题面表格列出全球发展倡议的困难背景和一带一路、小而美、合作基金等行动 阅卷总结要求路径与效果都写出,全球发展倡议通过合作援助 为世界共谋发展合作开辟新空间、提供新机遇、注入新动力 增强发展中国家的发展内生动力并繁荣世界经济,merge_under_global_initiatives_system_parent,已视觉核读原卷第10页；本倡议2分=路径1分+效果1分,candidate_with_fixes,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC07B,中国,全球倡议系统推动构建人类命运共同体：全球安全倡议通过对话协商和平解决国际争端,全球安全倡议；对话协商；和平解决国际争端；遵守联合国宪章宗旨和原则；共赢思维；持久和平；普遍安全,2024东城二模 Q20,全球安全倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,题面表格列出全球安全问题和中国维和、安理会、南海双轨思路等行动 阅卷总结要求路径与效果都写出,全球安全倡议通过对话协商以和平方式解决国际争端 坚持联合国宪章宗旨和原则 以共赢思维应对安全挑战 推动建设持久和平、普遍安全的世界,merge_under_global_initiatives_system_parent,已视觉核读原卷第10页；联合国宪章是本分项路径依据 不另造联合国频次,candidate_with_fixes,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC07C,中国,全球倡议系统推动构建人类命运共同体：全球文明倡议通过交流互鉴建设开放包容的世界,全球文明倡议；交流互鉴；传承和创新；民心相通；开放包容的世界,2024东城二模 Q20,全球文明倡议2分 路径1分+效果1分,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,题面表格列出文明交流冲突和文明对话、民间外交等行动 阅卷总结要求路径与效果都写出,全球文明倡议通过交流互鉴、传承和创新促进民心相通 建设开放包容的世界,merge_under_global_initiatives_system_parent,已视觉核读原卷第10页；文明分项作选必一倡议路径 不转入必修四文化主链,candidate_with_fixes,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
ATOM-DC08,时代背景,在动荡变化的时代为国际社会注入稳定性和确定性,百年未有之大变局；发展困难；安全挑战；文明冲突；稳定性和确定性,2024东城二模 Q20,阅卷总结总论1分中的现实意义,P0_marking_summary_docx_with_visual_paper_prompt,P0_marking_summary_plus_visual_prompt,设问问三大倡议如何助力人类未来 材料先铺发展安全文明挑战 后要求总论现实意义,中国三大倡议为动荡变化的时代注入更多稳定性和确定性 助力国际社会携手走向美好未来,merge_with_hmc_practice_stability_expression,总论1分可前可后 不拆成多个频次,candidate_with_fixes,2024东城二模_Q20_SRC_593d33b50bbf;2024东城二模_Q20_PAPER_VISUAL_CURRENT
