atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
M-FT24YM-01,经济全球化,推动产品、服务和生产要素在全球流动，提高资源配置效率,基础设施互联互通；全球流动；资源配置效率,2024丰台一模 Q20,评分标准说明：答案提示四方面，任选三方面6-7分；本点来自参考答案第一链,P0_scoring_docx_level_aspects_guarded,level_aspects_not_fixed_point_rubric,供应链成为国际合作共赢链，先要说明链如何连通；基础设施把产品、服务和要素连接到全球网络，触发生产要素全球流动和资源配置效率。,我国完善基础设施，推动产品、服务和生产要素在全球范围流动，提高资源配置效率，为供应链成为国际合作共赢链提供联通基础。,merge_with_global_flow_resource_allocation,四方面等级说明，不按固定2分逐点计频,candidate_with_guard,2024丰台一模_Q20_SRC_SRC_04f136a5f8d1;2024丰台一模_Q20_SRC_SRC_60a70dc180c6;2024丰台一模_Q20_SRC_SRC_a2905154bbd4
M-FT24YM-02,经济全球化,供应链金融创新缓解供应链资金短缺,供应链金融；资金短缺；链条稳定,2024丰台一模 Q20,参考答案第二链；四方面等级说明内,P0_scoring_docx_level_aspects_guarded,level_aspects_not_fixed_point_rubric,设问追问共赢链的形成机制，材料中的供应链金融对应链条运行的资金约束，触发金融服务保障供应链稳定。,我国加快供应链金融创新，缓解供应链发展中的资金短缺问题，增强供应链运行韧性。,expression_accumulation_supply_chain_finance,更偏材料机制，入供应链表达积累，不单列教材核心主频,candidate_with_guard,2024丰台一模_Q20_SRC_SRC_04f136a5f8d1;2024丰台一模_Q20_SRC_SRC_60a70dc180c6;2024丰台一模_Q20_SRC_SRC_a2905154bbd4
M-FT24YM-03,经济全球化,打造国际经济合作交流平台，推进贸易投资自由化便利化,国际经济合作交流平台；贸易投资自由化便利化,2024丰台一模 Q20,参考答案第三链；四方面等级说明内,P0_scoring_docx_level_aspects_guarded,level_aspects_not_fixed_point_rubric,供应链从国内实践走向国际合作，需要平台降低合作门槛，触发贸易投资自由化便利化。,我国打造国际经济合作交流平台，推进贸易投资自由化便利化，拓展供应链国际合作空间。,merge_with_trade_investment_liberalization_facilitation_core,保留贸易投资自由化便利化，不压成开放,candidate_with_guard,2024丰台一模_Q20_SRC_SRC_04f136a5f8d1;2024丰台一模_Q20_SRC_SRC_60a70dc180c6;2024丰台一模_Q20_SRC_SRC_a2905154bbd4
M-FT24YM-04,经济全球化,推动全球供应链高质量发展，增强经济全球化活力，推动合作共赢,先进技术降低成本提高效率；畅通全球产业链供应链；合作共赢,2024丰台一模 Q20,参考答案第四链；四方面等级说明内,P0_scoring_docx_level_aspects_guarded,level_aspects_not_fixed_point_rubric,设问落在国际合作共赢链，先进技术和畅通链条共同说明供应链质量提升及经济全球化活力增强。,我国运用先进技术降低成本、提高效率，推动全球供应链高质量发展，畅通全球产业链供应链，增强经济全球化活力，推动各国合作共赢。,merge_with_supply_chain_stability_and_winwin_core,可拆为技术与畅通链条表达，但本题按等级四方面 guarded 处理,candidate_with_guard,2024丰台一模_Q20_SRC_SRC_04f136a5f8d1;2024丰台一模_Q20_SRC_SRC_60a70dc180c6;2024丰台一模_Q20_SRC_SRC_a2905154bbd4
M-FT24EM-01,中国,中国作为负责任大国积极承担责任，发挥建设性作用,气候变化挑战；负责任大国；建设性作用,2024丰台二模 Q19,三角度每个2分：做法+效果/意义；角度一,P0_formal_scoring_docx,formal_three_angles_each_2,中国答卷指向应对气候变化的行动及效果，触发负责任大国和建设性作用。,中国作为负责任大国，在应对气候变化挑战中积极承担责任，发挥建设性作用，彰显大国担当。,merge_with_responsible_major_country_core,不能泛写大国担当，必须对应气候变化行动,candidate_with_fixes,2024丰台二模_Q19_SRC_SRC_8cabfb2a5c95;2024丰台二模_Q19_SRC_SRC_610be819f51b
M-FT24EM-02,中国,通过南南合作帮助发展中国家，贡献中国智慧、中国方案,南南合作；发展中国家；中国智慧中国方案,2024丰台二模 Q19,三角度每个2分：角度二,P0_formal_scoring_docx,formal_three_angles_each_2,材料的环境合作对象落在发展中国家，触发南南合作及中国智慧中国方案。,中国通过南南合作帮助发展中国家提升应对气候变化能力，贡献中国智慧、中国方案。,merge_with_south_south_cooperation_china_solution_core,中国智慧/方案须与南南合作和气候变化绑定,candidate_with_fixes,2024丰台二模_Q19_SRC_SRC_8cabfb2a5c95;2024丰台二模_Q19_SRC_SRC_610be819f51b
M-FT24EM-03,中国,通过区域合作改善区域环境，推动构建人类命运共同体,区域合作；改善区域环境；人类命运共同体,2024丰台二模 Q19,三角度每个2分：角度三,P0_formal_scoring_docx,formal_three_angles_each_2,材料中的区域环境治理合作要求写出合作效果，触发区域合作与人类命运共同体。,中国通过区域合作促进区域环境改善，推动构建人类命运共同体。,merge_with_hmc_regional_cooperation_expression,细则明示经济全球化、国际关系民主化等跑题需扣分,candidate_with_fixes,2024丰台二模_Q19_SRC_SRC_8cabfb2a5c95;2024丰台二模_Q19_SRC_SRC_610be819f51b
M-SJS24YM-01,经济全球化,顺应经济全球化趋势，满足国际市场需求,全球汽车产业转型；出口增长；国际市场需求,2024石景山一模 Q19(2),PPT/答案链：顺应经济全球化趋势，依靠技术创新，生产优质产品，满足国际市场需求,P1_reference_answer_only,reference_answer_only_not_rubric,设问问从走出去到扎下根的原因，全球产业转型和出口增长说明企业进入国际市场的客观背景。,中国新能源汽车企业顺应经济全球化趋势，依靠技术创新和优质产品满足国际市场需求，具备从走出去到扎下根的市场基础。,merge_with_globalization_trend_expression,ClaudeCode B confirmed reference-only/no formal scoring; keep outside main student core; may support expression awareness only.,reference_only,2024石景山一模_Q19(2)_SRC_SRC_f887d1b620c6;2024石景山一模_Q19(2)_SRC_SRC_6fbd7d422e58
M-SJS24YM-02,经济全球化,利用当地比较优势，优化资源配置，降低生产贸易成本,匈牙利交通枢纽；工业基础；当地建厂,2024石景山一模 Q19(2),PPT/答案链：利用当地比较优势，优化资源配置，降低生产贸易成本,P1_reference_answer_only,reference_answer_only_not_rubric,在当地建厂不是简单出口，而是利用东道国区位和产业条件配置资源，触发比较优势和资源优化配置。,中国新能源汽车企业利用当地比较优势优化资源配置，降低生产贸易成本，打造国际竞争新优势。,merge_with_comparative_advantage_resource_allocation_core,ClaudeCode B confirmed reference-only/no formal scoring; keep outside main student core; may support expression awareness only.,reference_only,2024石景山一模_Q19(2)_SRC_SRC_f887d1b620c6;2024石景山一模_Q19(2)_SRC_SRC_6fbd7d422e58
M-SJS24YM-03,中国,通过技术交流与资源共享带动当地发展，实现合作共赢,创造就业；带动当地经济；中匈技术交流；绿色生态圈,2024石景山一模 Q19(2),PPT/答案链：技术交流与资源共享，带动当地经济社会发展，实现合作共赢,P1_reference_answer_only,reference_answer_only_not_rubric,扎下根强调企业与当地发展形成互利关系，触发资源共享、合作共赢。,中国新能源汽车企业通过技术交流与资源共享带动当地经济社会发展，创设良好生产贸易环境，实现合作共赢。,merge_with_cooperation_winwin_enterprise_globalization_expression,ClaudeCode B confirmed reference-only/no formal scoring; keep outside main student core; may support expression awareness only.,reference_only,2024石景山一模_Q19(2)_SRC_SRC_f887d1b620c6;2024石景山一模_Q19(2)_SRC_SRC_6fbd7d422e58
