atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-B01,政治多极化,共商共建共享的全球治理观,共商共建共享全球治理观,2026通州期末 Q20,评分细则第1点1分,P0_formal_scoring_rule,formal_scoring_ppt,设问追问全球治理倡议为什么能指引方向，材料把倡议定位为完善全球治理的中国方案，触发全球治理应该由各国共同商量、共同建设、共同分享这一治理观。,全球治理倡议秉持共商共建共享的全球治理观，推动各国平等参与全球治理体系改革和建设，为完善全球治理提供中国方向。,merge_core,do_not_merge_with_Q17_loose_cooperation,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a
ATOM-B02,时代背景,和平与发展仍是时代主题,时代主题；和平与发展成为时代主题；顺应各国人民愿望；经济全球化深入发展,2026通州期末 Q20;2025海淀期中 Q21(2),通州评分细则第2点2分;海淀图片表格细则世界之变2分,P0_formal_scoring_rule;user_confirmed_image_scoring_material,mixed_scoring_sources_labeled,当设问要求说明倡议正逢其时或外交为什么随时代而变时，材料呈现百年变局、治理赤字、政治多极化和经济全球化，就要先写和平与发展的时代背景及其受到冲击后的治理需求。,和平与发展仍是时代主题，政治多极化、经济全球化深入发展，各国人民渴望和平稳定和共同发展；全球治理倡议回应治理赤字，因而正逢其时。,merge_across_questions_preserve_variants,do_not_merge_with_China_foreign_policy_purpose,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a;2025海淀期中_Q21_SRC_cda046c2d36d
ATOM-B03,联合国,符合《联合国宪章》宗旨和原则,符合《联合国宪章》,2026通州期末 Q20,评分细则第3点1分,P0_formal_scoring_rule,formal_scoring_ppt,材料把全球治理倡议同联合国宪章宗旨和原则相连，设问追问倡议的方向性和正当性，触发联合国宪章框架。,全球治理倡议符合《联合国宪章》宗旨和原则，在维护国际和平与安全、促进国际合作上具有正当性基础。,merge_core,may_later_merge_with_Haidian_UN_charter_after_recheck,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a
ATOM-B04,政治多极化,推动构建国际新秩序；倡导国际关系民主化；践行多边主义,推动构建更加公正合理的国际新秩序；国际关系民主化；多边主义,2026通州期末 Q20,评分细则第4点任一点1分共2分,P0_formal_scoring_rule,formal_scoring_ppt,设问中的指引方向要求回答全球治理秩序应朝哪里走，材料中的主权平等、国际法治和多边主义触发国际秩序方向术语。,全球治理倡议倡导国际关系民主化、践行多边主义，推动构建更加公正合理的国际新秩序，使全球治理体系朝公平合理方向发展。,split_same_optional_group,correct_yiliguan_split_to_China,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a
ATOM-B05,中国,坚持正确义利观；兼顾各方利益,正确义利观；兼顾他国合理关切,2026通州期末 Q20;2026朝阳期中 Q17,通州评分细则第4点可选组;朝阳期中第三层分说2,P0_formal_scoring_rule,formal_scoring_docx_or_ppt,当材料强调中国方案既回应世界治理需求又兼顾各方合理利益，或者中国发展成果惠及全球南方，触发中国对外合作中的正确义利观。,中国坚持正确义利观，在推进全球治理和人工智能国际合作中兼顾各方合理利益，以中国发展助力世界共同发展。,merge_core_preserve_sources,same_Tongzhou_optional_group_as_ATOM_B04,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a;2026朝阳期中_Q17_SRC_763b7470b96b
ATOM-B06,中国,推动构建人类命运共同体,人类命运共同体,2026通州期末 Q20;2026朝阳期中 Q17,通州评分细则第5点1分;朝阳期中第三层分说2,P0_formal_scoring_rule,formal_scoring_docx_or_ppt,设问要求说明中国倡议如何彰显担当，或中国发展如何与世界发展相协调时，材料中的公共产品、全球南方能力建设、治理赤字回应都指向人类命运共同体。,中国提出全球治理倡议并推动人工智能合作，服务于推动构建人类命运共同体，为应对全球治理赤字和全球智能鸿沟贡献中国力量。,merge_core,not_subordinate_to_four_global_initiatives,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a;2026朝阳期中_Q17_SRC_763b7470b96b;2024东城一模_Q16_SRC_1f17f2c91d92
ATOM-B07,中国,贡献中国智慧、中国方案；勇于大国担当,中国智慧；中国方案；大国担当,2026通州期末 Q20,评分细则第6点1分,P0_formal_scoring_rule,formal_scoring_ppt,材料把全球治理倡议写成中国向世界提供的重要公共产品，设问中的彰显担当直接触发中国智慧、中国方案和大国担当。,全球治理倡议作为中国提供的重要国际公共产品，贡献中国智慧、中国方案，展现中国勇于承担国际责任的大国担当。,merge_core,may_merge_with_later_Haidian_Q21_after_recheck,candidate_with_fixes,2026通州期末_Q20_SRC_35ef9424281a
ATOM-B08,理论,处理好自力更生和对外开放的关系,自力更生与对外开放,2026朝阳期中 Q17,第一层总说1分,P0_formal_scoring_rule,formal_scoring_docx,设问要求处理人工智能发展中的重要关系，材料同时呈现核心技术自主可控与不能闭门造车，形成自主和开放两端的张力。,推进人工智能发展既要依靠核心技术自主可控掌握主动，又要通过开放合作融入国际分工，因此要处理好自力更生和对外开放的关系。,keep_question_relation_container,Q17_relation_container_not_generic_term,candidate_with_fixes,2026朝阳期中_Q17_SRC_763b7470b96b
ATOM-B09,理论,核心技术自主可控；把握创新主动权,核心技术自主可控；自主研发；核心竞争力,2026朝阳期中 Q17,第一层分说1,P0_formal_scoring_rule,formal_scoring_docx,材料写外部环境复杂、人工智能关键环节不能受制于人，回答自主端时触发核心技术自主可控和创新主动权。,面对人工智能关键环节和外部竞争压力，我国要推进核心技术自主可控、把握创新主动权，增强人工智能发展的核心竞争力。,keep_as_subpoint,exclude_new_development_concept_boundary,candidate_with_fixes,2026朝阳期中_Q17_SRC_763b7470b96b
ATOM-B10,经济全球化,参与经济全球化；参与国际分工；充分利用国内国际两个市场、两种资源,国际交流合作；两个市场两种资源；国际分工,2026朝阳期中 Q17,第一层分说2,P0_formal_scoring_rule,formal_scoring_docx,材料说明自主可控不是闭门造车，也不要求所有环节由本国独立完成，触发在经济全球化和国际分工中推进人工智能发展的开放端。,我国在坚持自主创新的同时，应积极参与经济全球化和国际分工，联动国内国际两个市场、两种资源，形成自主与开放相互支撑的发展路径。,merge_with_two_markets_core,remove_open_economy_and_dual_circulation_as_core,candidate_with_fixes,2026朝阳期中_Q17_SRC_763b7470b96b
