atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-CY01,中国,开创周边工作新局面是实现发展繁荣、维护国家安全、运筹外交全局、推动构建人类命运共同体的需要,实现发展繁荣的重要基础；维护国家安全的重点；运筹外交全局的首要；推动构建人类命运共同体的关键,2025朝阳二模 Q21,中国发展需要3分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问问为什么要开创周边工作新局面 先从中国发展安全外交全局说明必要性,我国周边国家众多 开创周边工作新局面是实现发展繁荣的重要基础 是维护国家安全的重点 是运筹外交全局的首要 也是推动构建人类命运共同体的关键,merge_with_china_diplomacy_hmc_practice,该组是中国发展需要 不拆成四个独立频次,candidate_with_fixes,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY02,理论,共同利益是国际合作的基础,共同利益；广泛共同利益；独立自主和平外交政策为同一评分位置替代表述；维护世界和平促进共同发展,2025朝阳二模 Q21,区域发展需要第1点1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,材料呈现中国与周边国家山水相连人文相通利益相融命运与共 回答合作为何成立优先触发共同利益 独立自主和平外交政策只是同槽替代表述不并入理论核心,共同利益是国际合作的基础 中国与周边国家有着广泛共同利益 为开创周边工作新局面和促进区域共同发展提供重要前提,split_common_interest_from_independent_policy_variant,共同利益归理论桶；独立自主和平外交政策归中国外交政策表述积累 不制造同一核心,candidate_with_fixes,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY03,经济全球化,推动区域经济一体化，促进区域贸易和投资自由化便利化,经济融合；共同发展；区域经济一体化；区域贸易和投资自由化便利化,2025朝阳二模 Q21,区域发展需要经济角度1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,材料写中国成为周边多国最大贸易伙伴和共建一带一路 回答区域发展需要触发经济融合和贸易投资便利化,中国与周边国家开展贸易 能推动区域经济一体化 促进区域贸易和投资自由化便利化 实现共同发展,merge_with_trade_investment_facilitation_and_regional_integration,与全球化完整五词方向同属经济全球化但功能不同 保留区域化用法,candidate_with_fixes,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY04,中国,推动构建周边国家命运共同体，维护地区和平与稳定,创新区域合作机制；搭建合作平台；维护地区和平稳定；维护区域安全；周边国家命运共同体,2025朝阳二模 Q21,区域发展需要安全政治角度1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,材料写亲诚惠容周边外交和周边命运共同体 回答区域安全政治需要触发周边命运共同体和地区和平稳定,中国同周边国家创新区域合作机制并搭建合作平台 有利于维护地区和平稳定 推动构建周边国家命运共同体,merge_with_neighboring_hmc_china_diplomacy,周边命运共同体作为中国外交实践 不合并为空泛HMC频次,candidate_with_fixes,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY05,政治多极化,推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义,合作共赢新型国际关系；国际关系民主化；真正的多边主义；全球治理变革,2025朝阳二模 Q21,世界发展需要第1点1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问把周边工作放到世界变局中考查 需要从区域合作上升到国际秩序和全球治理方向,中国携手周边国家推动建设以合作共赢为核心的新型国际关系 推动国际关系民主化 实现真正的多边主义并推动全球治理变革,merge_with_new_type_ir_democratization_multilateralism,同槽任意词给分 进入表述积累时不得拆成四个必答点,candidate_with_fixes,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY06,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,维护全球自由贸易；多边贸易；开放包容普惠平衡共赢,2025朝阳二模 Q21,世界发展需要第2点1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,材料中的区域贸易合作延展到世界发展需要 触发全球自由贸易和经济全球化完整方向,中国通过区域经济合作维护全球自由贸易和多边贸易 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,merge_with_full_five_word_globalization_direction,必须与2024朝阳期中等同类项合并 保留完整五词,candidate_with_fixes,2025朝阳二模_Q21_SRC_436f84dc1edf;2025朝阳二模_Q21_SRC_d411e2158d47
ATOM-CY07,政治多极化,全球治理应坚持平等、公平公正、多边主义和协商一致,平等；公平；公正；多边主义；协商一致,2024朝阳二模 Q20,基本原则第1空1分,P0_formal_scoring_rule_text,formal_scoring_pdf_docx_with_paper_text_support,完善全球气候治理首先要回答治理原则 材料中的发达国家与发展中国家责任分歧触发平等公平公正和多边协商,完善全球气候治理应坚持平等、公平公正和多边主义 通过协商一致推动各方共同应对气候变化,merge_with_global_governance_principles,平等原则与开放原则分属两个空 不混成一个词,candidate_with_fixes,2024朝阳二模_Q20_SRC_df323259ba77;2024朝阳二模_Q20_SRC_8802a640c1e2;2024朝阳二模_Q20_SRC_4de874d0f669
ATOM-CY08,政治多极化,全球治理应坚持开放、合作、共享、共赢、包容和共商共建,开放；合作；共享；共赢；包容；求同存异；共商共建,2024朝阳二模 Q20,基本原则第2空1分,P0_formal_scoring_rule_text,formal_scoring_pdf_docx_with_paper_text_support,研讨主题要求完善全球气候治理 第二原则强调开放合作而非封闭对抗,完善全球气候治理应坚持开放合作共享共赢和包容精神 在共商共建中求同存异,merge_with_common_governance_view_variants,与共商共建共享全球治理观有关 但此处是基本原则空,candidate_with_fixes,2024朝阳二模_Q20_SRC_df323259ba77;2024朝阳二模_Q20_SRC_8802a640c1e2;2024朝阳二模_Q20_SRC_4de874d0f669
ATOM-CY09,时代背景,气候变化是全球性挑战，气候治理已成为全球治理的重要议题之一,巨大风险和挑战；全球性挑战；人类共同责任；全球治理重要议题,2024朝阳二模 Q20,各方共识背景1分,P0_formal_scoring_rule_text,formal_scoring_pdf_docx_with_paper_text_support,设问要求写研讨共识 先说明为什么要完善全球气候治理 材料中的气候风险触发全球性挑战背景,气候变化给全人类带来巨大风险和挑战 气候治理已成为全球治理的重要议题之一 应对气候变化是人类共同责任,merge_with_global_challenge_governance_background,背景分不替代治理路径分,candidate_with_fixes,2024朝阳二模_Q20_SRC_df323259ba77;2024朝阳二模_Q20_SRC_8802a640c1e2;2024朝阳二模_Q20_SRC_4de874d0f669
ATOM-CY10,政治多极化,建立公平合理、合作共赢的全球气候治理体系，推动构建人类命运共同体,全球气候治理体系；共商共建共享全球治理观；公平正义合作共赢的新型国际关系；共同利益是国家合作的基础；人类命运共同体,2024朝阳二模 Q20,如何完善全球气候治理角度1,P0_formal_scoring_rule_text,formal_scoring_pdf_docx_with_paper_text_support,材料设置多方研讨和气候治理分歧 回答如何完善治理触发全球治理体系和人类命运共同体路径,各主权国家和国际组织应携手建立公平合理、合作共赢的全球气候治理体系 践行共商共建共享全球治理观 推动构建人类命运共同体,merge_with_global_governance_hmc_and_new_type_ir,该角度内多个替代表述同槽 不制造多个必答频次,candidate_with_fixes,2024朝阳二模_Q20_SRC_df323259ba77;2024朝阳二模_Q20_SRC_8802a640c1e2;2024朝阳二模_Q20_SRC_4de874d0f669
ATOM-CY11,政治多极化,坚持共同但有区别的责任，发达国家应承担更多责任,不同国家发展阶段和具体情况不同；从各自实际出发；共同但有区别的责任；发达国家兑现承诺,2024朝阳二模 Q20,如何完善全球气候治理角度2,P0_formal_scoring_rule_text,formal_scoring_pdf_docx_with_paper_text_support,材料突出发达国家历史排放和承诺不足 回答气候治理责任分配触发共同但有区别的责任,不同国家发展阶段和具体情况不同 应从各自实际出发落实责任 发达国家应兑现承诺并为完善全球气候治理承担更多责任,merge_with_fair_global_governance_responsibility,这是气候治理责任原则 不泛化为所有全球治理题必写,candidate_with_fixes,2024朝阳二模_Q20_SRC_df323259ba77;2024朝阳二模_Q20_SRC_8802a640c1e2;2024朝阳二模_Q20_SRC_4de874d0f669
ATOM-CY12,政治多极化,和平共处五项原则；维护主权、安全和发展利益；合作共赢；推动建设新型国际关系；推动构建人类命运共同体,和平共处五项原则；主权安全发展利益；合作共赢；新型国际关系；人类命运共同体,2024朝阳一模 Q21,政治多极化维度5分中的可用要点,P0_formal_scoring_rule_pptx,formal_scoring_pptx_docx_with_paper_text_support,设问问中国经济如何在变局中开新局 变局中的外部环境风险要求从政治多极化维度营造良好外部环境,中国坚持和平共处五项原则 维护主权安全和发展利益 在谋求本国发展中促进各国共同发展 推动建设新型国际关系和人类命运共同体,merge_with_china_diplomacy_new_type_ir_hmc,题目混入经济形势分析 只抽选必一政治多极化功能,candidate_with_fixes_boundary_guard,2024朝阳一模_Q21_SRC_4fc81e818683;2024朝阳一模_Q21_SRC_8a924a245316;2024朝阳一模_Q21_SRC_d3b447f0ea3a
ATOM-CY13,经济全球化,充分利用国内国际两个市场两种资源，深度参与全球产业分工和合作,超大规模市场优势；国内国际两个市场两种资源；全球资源要素；全球产业分工和合作,2024朝阳一模 Q21,经济全球化维度5分中的可用要点,P0_formal_scoring_rule_pptx,formal_scoring_pptx_docx_with_paper_text_support,材料要求在变局中发挥我国优势推动经济发展 经济全球化维度触发两个市场两种资源和国际分工合作,中国依托超大规模市场优势 以国内大循环吸引全球资源要素 增强国内国际两个市场两种资源联动效应 深度参与全球产业分工和合作,merge_with_two_markets_two_resources_and_international_division,高水平对外开放和新发展格局只作边界支撑 不单独计入选必一主链,candidate_with_fixes_boundary_guard,2024朝阳一模_Q21_SRC_4fc81e818683;2024朝阳一模_Q21_SRC_8a924a245316;2024朝阳一模_Q21_SRC_d3b447f0ea3a
ATOM-CY14,中国,坚持独立自主，把发展主动权牢牢掌握在自己手中,独立自主；发展主动权；自主创新能力和关键核心技术自主可控为混模块边界支撑,2024朝阳一模 Q21,经济全球化维度参考示例末句,P0_formal_scoring_rule_pptx,formal_scoring_pptx_docx_with_paper_text_support,材料说外部环境严峻和风险挑战增多 回答应对变局需要写独立自主和发展主动权,中国坚持独立自主 把发展主动权牢牢掌握在自己手中 在外部风险挑战增多的背景下增强经济发展的自主性和主动性,merge_with_independence_china_policy_boundary,独立自主和发展主动权可作选必一边界候选；增强自主创新能力、关键核心技术自主可控偏经济/科技创新模块 不计选必一主链频次,candidate_with_fixes_boundary_guard,2024朝阳一模_Q21_SRC_4fc81e818683;2024朝阳一模_Q21_SRC_8a924a245316;2024朝阳一模_Q21_SRC_d3b447f0ea3a
ATOM-CY15,经济全球化,维护产业链供应链安全稳定，形成多元稳定的国际经济格局和经贸关系,多元化布局；顺应经济全球化趋势；利用世界各地优势组织生产经营；产业链供应链安全；多元稳定国际经济格局,2025朝阳一模 Q20,多元化布局角度2分,P0_formal_scoring_rule_visual,scanned_scoring_pdf_visual_with_paper_text_support,题面写全球产业链供应链多元化布局和断链风险 问如何应对触发多元化布局与供应链安全稳定,中国应鼓励有实力的跨国公司顺应经济全球化趋势 在全球范围内分散投资并利用各地优势组织生产经营 推进产业链供应链多元化布局 维护产业链供应链安全稳定,merge_with_supply_chain_security_core,不要把产业链供应链安全稳定压成经济全球化正确方向；绿色化和数字化是本题混模块材料方向 不作独立选必一频次,candidate_with_fixes,2025朝阳一模_Q20_SRC_c3d1aea637c9;2025朝阳一模_Q20_SRC_832947a8c994
