atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-C01,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；坚持创新驱动战略,"综合国力较量；经济和科技实力；创新驱动战略",2026朝阳一模 Q20,第20题第①点2分(1+1)必答点,P0_formal_scoring_rule,formal_scoring_docx,"设问问中国为什么能为全球发展提供稳定性和正能量，镜头一用AI、大模型和创新药说明中国科技创新能力，触发能力来源型答题。","当前国际竞争的实质是以经济和科技实力为基础的综合国力较量，中国坚持创新驱动战略，科技实力日益增强，能够为全球产业链供应链稳定和全球发展提供支撑。",new_core_theory,not_merge_with_generic_global_supply_chain_result,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C02,中国,贡献中国智慧、中国方案；勇于大国担当,"大国责任与担当；正确义利观；共享发展经验",2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,"镜头二呈现鲁班工坊、菌草和现代化经验走向多国，要求说明中国怎样把自身发展经验转化为国际公共贡献。","中国通过鲁班工坊、菌草技术和现代化经验共享助力共同繁荣，秉持正确义利观，贡献中国智慧和中国方案，展现大国责任与担当。",merge_with_M07_and_crossref_M05,avoid_duplicate_count_with_HMC_same_section,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C03,中国,改善发展中国家民生,发展中国家民生改善;全球发展内生动力,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,"镜头二集中呈现中国职业教育和农业技术服务发展中国家，回答正能量时要说明这些合作对当地发展和民生的实际作用。","中国职业教育国际合作和菌草种植技术帮助发展中国家培养技术人才、减贫和生态治理，改善发展中国家民生，增强全球发展内生动力。",new_expression_under_china_responsibility,not_a_general_empty_result_phrase,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C04,中国,推动构建人类命运共同体,人类命运共同体,2026朝阳一模 Q20,第20题第②点1分,P0_formal_scoring_rule,formal_scoring_docx,"材料写中国同世界分享发展成果、助力各国探索适合自身国情的发展道路，触发中国面向全球共同发展的理念表达。","中国同世界分享减贫技术、发展成果和现代化经验，推动构建人类命运共同体，使全球发展更具包容性和稳定性。",merge_with_M06,independent_core_not_initiative_subordinate,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C05,经济全球化,充分利用国内国际两个市场、两种资源,两个市场、两种资源,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,"镜头三写中国市场、制造业、货物贸易、自贸协定和免签政策，说明中国发展通过市场资源联动形成开放发展潜力。","中国依托超大规模市场和全球贸易网络，联动国内国际两个市场、两种资源，为各国共享中国发展机遇提供稳定空间。",merge_with_M12,keep_P0_source_variant,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C06,经济全球化,推动贸易投资自由化便利化,贸易投资自由化便利化,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,"自贸协定、免签政策和人才流商品流资金流双向流动，触发跨境贸易投资便利化这一经济全球化机制。","中国通过自贸协定和便利化政策推动贸易投资自由化便利化，促进人才、商品和资金双向流动，为开放型世界经济提供支撑。",new_core_globalization,high_level_opening_excluded_as_boundary,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C07,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,"开放、包容、普惠、平衡、共赢；普惠、平衡、共赢",2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际经济角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,"当材料把中国市场开放、发展经验共享、南南合作和全球南方受益联系起来，答案要说明中国推动经济全球化走向更公平、更包容、更共赢。","中国持续释放市场潜力、扩大自贸朋友圈并促进要素流动，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。",new_high_information_core,Shunyi_short_phrase_is_variant_not_core,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad
ATOM-C08,政治多极化,推动建设合作共赢的新型国际关系,"合作共赢的新型国际关系；合作共赢；互利共赢；共享发展成果",2026朝阳一模 Q20;2026顺义一模 Q20,朝阳第20题第③点1分;顺义第20题国际政治角度,P0_formal_scoring_rule,mixed_formal_docx_pptx,"材料呈现中国同各国分享发展经验、进行农业技术合作和互利开放，说明中国以合作而非零和竞争回应全球发展问题。","中国同各国分享减贫、职业教育和现代化经验，扩大互利合作，推动建设合作共赢的新型国际关系，为全球发展注入稳定力量。",merge_with_M03_new_type_ir,do_not_merge_with_common_interests_theory,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026顺义一模_Q20_SRC_8d2be8df9cad
ATOM-C09,中国,坚持共商共建共享,共商共建共享,2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,"材料强调发展机遇由中国与世界共同创造、共同受益，触发开放合作语境中的共商共建共享表达。","中国坚持共商共建共享，与世界携手开拓发展新空间，使中国发展机遇转化为各国共同发展机遇。",keep_as_loose_open_cooperation_variant,do_not_merge_with_global_governance_view_M02,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
ATOM-C10,经济全球化,促进人才、商品、服务和生产要素在全球范围内流动,"人才流、商品流、资金流；生产要素全球流动",2026朝阳一模 Q20,第20题第③点发展潜力角度1分,P0_formal_scoring_rule,formal_scoring_docx,"材料直接写中国购、中国游中的人才流、商品流、资金流双向奔赴，触发生产要素跨国流动机制。","中国通过自贸协定、免签政策和市场开放促进人才、商品、服务和生产要素在全球范围内流动，增强世界经济循环韧性。",new_core_globalization_flow,may_merge_later_with_factor_flow_core,candidate_with_fixes,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
