atom_id,bucket,core_point,expression_variant,source_question,scoring_position,evidence_level,source_boundary,material_trigger_fusion,answer_sentence_fusion,merge_action,boundary_note,promotion_status,source_ledger_refs
ATOM-XC01,经济全球化,推动贸易投资自由化便利化,贸易投资便利化自由化；优化营商环境；破除贸易壁垒；降低制度性交易成本；提高贸易效率,2026西城一模 Q20(2),标准规则2分中的两层,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问问自贸区3.0如何为区域和世界注入动力 规则互认和自由贸易协定升级触发贸易投资便利化自由化,中国—东盟自贸区3.0版推动标准规则对接 降低制度性交易成本 提高贸易效率 促进贸易投资便利化自由化并破除贸易壁垒,merge_with_existing_trade_investment_facilitation,keep_standard_rules_as_material_trigger_not_standalone_empty_label,candidate_with_fixes,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC02,经济全球化,维护产业链供应链安全稳定，形成多元稳定的经贸关系，发挥比较优势并深度加入国际分工,产业链供应链安全稳定；经济安全；统筹安全与发展；多元稳定的经贸关系；发挥比较优势；优势互补；深度加入国际分工,2026西城一模 Q20(2),产业链供应链3分中的前两层,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,材料呈现中国与东盟产业链供应链合作和关键产品供应风险 自贸区升级触发供应链安全稳定、多元经贸关系和国际分工机制,中国与东盟依托产业链供应链合作维护供应链安全稳定 形成多元稳定的经贸关系 发挥比较优势和优势互补 深度参与国际分工,merge_supply_chain_security_with_international_division,产业就业只作结果支撑不单列选必一术语,candidate_with_fixes,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC03,政治多极化,提升发展中国家的代表性和发言权，推动国际规则制定更加公正合理,提升发展中国家的代表性和发言权；打破发达国家规则制定中的垄断主导,2026西城一模 Q20(2),综合对区域1分替代表述,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问从区域发展推进到世界经济 自贸区3.0提升发展中经济体规则参与触发国际关系民主化和规则公正,中国—东盟自贸区3.0版提升发展中国家的代表性和发言权 打破发达国家规则制定中的垄断主导 推动国际经济秩序更加公正合理,merge_with_international_relations_democratization_rule_voice,区域经济转型升级和增强竞争力可作结果 不替代规则话语权核心,candidate_with_fixes,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC04,政治多极化,坚持合作共赢和多边主义，推动全球经济治理体系改革,坚持合作共赢；开放包容；共同利益；坚持多边贸易；多边主义；全球经济治理体系改革,2026西城一模 Q20(2),综合对世界1分同槽表述,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问要求说明对世界经济的动力 需要从区域合作上升到合作共赢和多边治理机制,中国—东盟自贸区3.0版坚持合作共赢和多边主义 推动多边贸易和全球经济治理体系改革 为世界经济注入确定性,merge_same_slot_world_meaning_variants,共同利益只作本题世界意义同槽替代表述 不反向并入理论桶“共同利益是国家合作的基础”；多边主义和全球经济治理体系改革保留完整表述,candidate_with_fixes,2026西城一模_Q20_SRC_e28c940953ba;2026西城一模_Q20_SRC_5447227f6175
ATOM-XC05,理论,理念蕴含普遍价值，能够形成共识并促成合作和发展,理念蕴含普遍价值；全人类共同价值；人类共同利益；形成共识；促成合作和发展；应对共同挑战,2025西城一模 Q21(1),总体解释2分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问问发展理念为什么能成为国际公共产品 本质是在问该理念为何能被多国共享并转化为合作,我国发展理念蕴含普遍价值和人类共同利益 能够推动国际社会在共同关心的问题上形成共识 促成合作和发展 应对共同挑战,merge_with_common_interest_and_cooperation_theory,新发展理念内涵只作材料支撑不升选必一核心术语,candidate_with_fixes,2025西城一模_Q21_SRC_6ea5462e02af;2025西城一模_Q21_SRC_062e7a5c776b
ATOM-XC06,中国,拓展发展中国家走向现代化的途径，贡献中国智慧中国方案,拓展发展中国家走向现代化的途径；贡献中国智慧中国方案,2025西城一模 Q21(1),对世界的意义2分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,材料列举外国领导人和全球南方国家代表团学习中国发展经验 触发中国经验对发展中国家现代化路径的意义,中国科技创新 绿色发展和减贫经验被国际社会传播共享 拓展发展中国家走向现代化的途径 为应对全球性问题贡献中国智慧和中国方案,merge_with_china_wisdom_solution_developing_country_modernization,不得把中国经验泛化为空洞大国担当,candidate_with_fixes,2025西城一模_Q21_SRC_6ea5462e02af;2025西城一模_Q21_SRC_062e7a5c776b
ATOM-XC07,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,共建一带一路；参与国际经济合作机遇；开放、包容、普惠、平衡、共赢,2025西城一模 Q21(2),举例说明2分中的说明1分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问要求举例说明中国理念作为国际公共产品 共建一带一路为共建国家参与国际合作提供机会 触发经济全球化正确方向,共建“一带一路”为共建国家参与国际经济合作提供机遇 推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,merge_with_full_open_inclusive_universal_balanced_winwin_core,核心名保留完整五词 不压缩成经济全球化正确方向,candidate_with_fixes,2025西城一模_Q21_SRC_6ea5462e02af;2025西城一模_Q21_SRC_062e7a5c776b
ATOM-XC08,中国,坚持正确义利观，开放广阔中国市场，与发展中国家共享发展新机遇,开放广阔的中国市场；坚持正确义利观；共享发展新机遇；惠民生增福祉；互利共赢,2025西城二模 Q19(2),中国担当3分,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,设问问最不发达国家零关税中的中国担当 材料呈现中国市场和发展中国家需求 触发正确义利观与共享机遇,中国坚持正确义利观 开放广阔中国市场 与最不发达国家共享发展新机遇 惠民生增福祉 实现互利共赢,merge_with_correct_concept_of_righteousness_and_interests,发展是总钥匙不单列为本批采分原子,candidate_with_fixes,2025西城二模_Q19_SRC_7e4a722d6d9e;2025西城二模_Q19_SRC_62207119d52d
ATOM-XC09,经济全球化,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,推动普惠包容的经济全球化；建设开放型世界经济；促进贸易自由化；促进共同发展；维护持久和平；共同推进现代化,2025西城二模 Q19(2),世界意义2分任意点,P0_formal_scoring_rule_text,formal_scoring_docx_with_paper_text_support,最不发达国家零关税不仅是双边优惠 还指向开放型世界经济和共同发展 触发经济全球化正确方向,中国对最不发达国家实行零关税 推动普惠包容的经济全球化 建设开放型世界经济 促进贸易自由化 进而促进共同发展和持久和平,merge_with_full_open_inclusive_universal_balanced_winwin_core,普惠包容是完整核心的表述积累 不另造低信息标签,candidate_with_fixes,2025西城二模_Q19_SRC_7e4a722d6d9e;2025西城二模_Q19_SRC_62207119d52d
ATOM-XC10,中国,充分运用国际规则，利用国际组织赋予的权利，通过对话磋商维护自身权益,充分运用国际规则；利用国际组织赋予的权利；对话磋商；积极维护自身权益,2025西城期末 Q20(2),利用规则维权角度,P0_formal_scoring_rule_pdf_text,formal_scoring_pdf_with_paper_text_support,欧盟对中国电动汽车征收高额反补贴税 题目问中国汽车企业如何应对外部贸易壁垒 触发规则维权路径,面对欧盟反补贴税 中国汽车企业应充分运用国际规则 利用国际组织赋予的权利 通过对话磋商积极维护自身权益,merge_with_trade_friction_rules_rights_core,题干写企业 不扩展为政府职责除非后续源文件明示,candidate_with_fixes,2025西城期末_Q20_SRC_f548fe634936;2025西城期末_Q20_SRC_3b9cf3beca8e
