source_question,full_prompt
2024东城一模 Q16,马克思说，“凡是民族作为民族所做的事情，都是他们为人类社会而做的事情”。结合材料，运用《哲学与文化》知识，谈谈对此观点的理解。
2024东城一模 Q20,结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。
2024东城二模 Q20,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。
2024丰台一模 Q20,结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢链”的。
2024丰台二模 Q19,结合材料，运用《当代国际政治与经济》知识，说明中国“答卷”如何彰显大国担当。
2024朝阳一模 Q21,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。
2024朝阳二模 Q20,结合材料，运用《当代国际政治与经济》知识，说明我国应如何应对全球产业链供应链新态势，在全球产业变革中赢得主动。
2024朝阳期中 Q20(3),结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。
2024海淀一模 Q18(1),结合材料，运用《当代国际政治与经济》知识，说明中国企业为什么能够为世界提供更多开放合作机遇。
2024海淀期中 Q16(2),结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。
2024海淀期中 Q21(2),结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。
2024石景山一模 Q19(2),结合材料，运用《当代国际政治与经济》知识，分析中国新能源汽车企业从“走出去”到“扎下根”的原因。
2024西城一模 Q19,结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。
2024西城一模 Q19(6),结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。
2024西城二模 Q19,结合材料，阐述中国答案所体现的处理国际关系的新思路。
2024西城期末 Q20,结合材料，阐述中国答案所体现的处理国际关系的新思路。
2024顺义二模 Q19(2),结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。
2025东城一模 Q20,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。
2025东城二模 Q20,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。
2025东城期末 Q20,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。
2025丰台一模 Q20,结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的。
2025丰台二模 Q20,当今世界，全球治理体系与国际秩序变革加速推进。我们愿同各方一道，一以贯之以实际行动为完善全球治理注入中国力量。结合材料，运用《当代国际政治与经济》知识，谈谈你对“为完善全球治理注入中国力量”的理解。
2025丰台期末 Q20,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。
2025延庆一模 Q20(2),假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对“脱钩断链”相关提问做出回应。
2025房山一模 Q18(2),“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。
2025昌平二模 Q21,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。
2025朝阳一模 Q20,结合材料，运用《当代国际政治与经济》知识，说明我国应如何应对全球产业链供应链新态势，在全球产业变革中赢得主动。
2025朝阳二模 Q21,努力开创周边工作新局面。结合材料，运用《当代国际政治与经济》知识，说明我国为什么要努力开创周边工作新局面。
2025朝阳期末 Q21,结合材料，运用《当代国际政治与经济》知识，说明中国特色大国外交如何为中国式现代化营造良好外部环境。
2025海淀二模 Q21,结合材料，运用《当代国际政治与经济》知识，阐释“中国需要联合国，联合国也需要中国”。
2025海淀期中 Q16(2),结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。
2025海淀期中 Q21(2),结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。
2025海淀期末 Q22,自选角度、自拟题目，围绕愚公移山精神写一篇200字左右短文。
2025石景山一模 Q17(2),结合材料二，运用《当代国际政治与经济》知识，概述完善全球治理的“中国主张”。
2025西城一模 Q21(1),运用所学，解释“我国的发展理念成为国际公共产品”这一现象。
2025西城一模 Q21(2),运用所学，举例说明“我国的发展理念成为国际公共产品”这一现象。
2025西城二模 Q19(2),结合材料，运用《当代国际政治与经济》知识，说明我国对最不发达国家实行零关税待遇中的中国担当及世界意义。
2025西城期末 Q20(2),欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？
2025门头沟一模 Q19,结合材料，运用《当代国际政治与经济》的相关知识，分析中国做“赋能型大国”的世界意义。
2025顺义一模 Q20,结合材料，运用《当代国际政治与经济》知识，说明“小而美”项目为何成为中国开展国际发展合作的亮点和名片。
2026东城期末 Q20,结合材料，运用《当代国际政治与经济》知识，分析四大全球倡议如何系统推动构建人类命运共同体。
2026丰台一模 Q19,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。
2026延庆一模 Q19(2),结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的理论逻辑和价值意蕴。
2026房山一模 Q19,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。
2026朝阳一模 Q20,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
2026朝阳期中 Q17,结合材料，运用《当代国际政治与经济》知识，阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。
2026朝阳期末 Q20,结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。
