suite_id,year,stage,district,suite_name,priority_bucket,bundle_path,cache_status,supplemental_source,status,assigned_role,choice_status,subjective_status,evidence_status,notes
S001,2024,2024各区一模,海淀,2024海淀一模,1-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S002,2024,2024各区一模,西城,2024西城一模,1-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S003,2024,2024各区一模,东城,2024东城一模,1-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024东城一模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S004,2024,2024各区一模,朝阳,2024朝阳一模,1-4,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S005,2024,2024各区一模,丰台,2024丰台一模,1-5,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S006,2024,2024各区一模,石景山,2024石景山一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024石景山一模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S007,2024,2024各区一模,门头沟,2024门头沟一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__其他材料__202404各区一模试题分类_按模块.md,classification-bundle-supplement,C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf,pending,worker-2024,pending,pending,pending,Formal source-list row absent from standalone suite bundles; use classification bundle plus saved external answer PDF; subjective remains evidence-boundary candidate.
S008,2024,2024各区二模,海淀,2024海淀二模,2-1,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024海淀二模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S009,2024,2024各区二模,西城,2024西城二模,2-2,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024西城二模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
S010,2024,2024各区二模,东城,2024东城二模,2-3,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024东城二模.md,suite-bundle,,pending,worker-2024,pending,pending,pending,
