doc_order,entry_id,source_file,extract_path,line_range,exists,note
186,Q0186,SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_038/SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,341-356,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
186,Q0186,SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_038/SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,120-131,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
187,Q0187,SRC_EXAM_2026_CHAOYANG_QIZHONG_Q17.txt,05_source_backcheck/slice_038/SRC_EXAM_2026_CHAOYANG_QIZHONG_Q17.txt,148-170;243-245,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
187,Q0187,SRC_RUBRIC_2026_CHAOYANG_QIZHONG_Q17.txt,05_source_backcheck/slice_038/SRC_RUBRIC_2026_CHAOYANG_QIZHONG_Q17.txt,14-30,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
188,Q0188,SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,05_source_backcheck/slice_038/SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,251-262,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
188,Q0188,SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,05_source_backcheck/slice_038/SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,55-66,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
189,Q0189,SRC_EXAM_2024_CHAOYANG_YIMO_Q21.txt,05_source_backcheck/slice_038/SRC_EXAM_2024_CHAOYANG_YIMO_Q21.txt,372-376,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
189,Q0189,SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_DOCX.txt,05_source_backcheck/slice_038/SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_DOCX.txt,88-99,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
189,Q0189,SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_PPTX.txt,05_source_backcheck/slice_038/SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_PPTX.txt,1224-1228;1260-1317,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
190,Q0190,SRC_EXAM_2025_MENTOUGOU_YIMO_Q19.txt,05_source_backcheck/slice_038/SRC_EXAM_2025_MENTOUGOU_YIMO_Q19.txt,218-245;274-276,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
190,Q0190,SRC_RUBRIC_2025_MENTOUGOU_YIMO_Q19.txt,05_source_backcheck/slice_038/SRC_RUBRIC_2025_MENTOUGOU_YIMO_Q19.txt,26-38,True,copied from earlier verified slice-local source package; prompt uses selected line excerpts only
