source_id,source_file,source_kind,used_for,boundary_note
S01,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt,试题汇编+答案,2024一模法律与生活主干案例,"含题干和答案，可作答题链依据；非逐题评分细则"
S02,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b692254ceb1b8174_2024海淀一模细则.txt,细则,虚拟数字人Ada,"用于细化著作权/不正当竞争给分层次"
S03,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\f2e1772f20ed2085_2024西城二模细则.txt,细则,黄芪薏米饼干食品安全惩罚性赔偿,"可直接用于给分点"
S04,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0dbd7271f7bf108d_高三模拟测试思想政治试卷.txt,试题,黄芪薏米饼干题干,"与S03配套使用"
S05,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b2073bcc9e26f62_2024东城一模细则.txt,细则,诉讼时效与赡养,"用于细化时效/赡养给分点"
S06,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b22b6c78aaddb3e_2025海淀期末细则.txt,细则,土地权属与三权分置,"可直接用于给分点与失分边界"
S07,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.txt,教师版答案,土地权属/产品责任/竞业限制,"教师版答案，作为答题链依据"
S08,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\17cdecfbd774ee79_2025房山一模细则.txt,细则,技术秘密惩罚性赔偿,"可直接用于给分点"
S09,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e8823e6dc1a71cac_2025北京丰台高三一模政治_教师版.txt,教师版题干,技术秘密6.4亿余元案,"题干依据；细则以S08为主"
S10,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\086cafc0d843cdfd_2025届二模考试讲评0510.txt,讲评,海淀二模老字号商标抢注,"讲评材料，标注为讲评不冒充正式细则"
S11,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fc56fdd304fde118_2025海淀二模细则.txt,细则,海淀二模18回避/商标抢注,"部分文本编码污染，但关键给分点已与S10互证"
S12,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e4d67789c91d1b92_2026东城期末细则.txt,细则,无人机案及选择题解析,"可直接用于给分点和错项"
S13,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3a11db4bade216d1_2026朝阳一模细则.txt,细则,知识产权护航新质生产力,"可直接用于给分点"
S14,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt,细则+复练参考,公共场所摔倒/直播手串/虚拟数字人,"公共场所题为细则；复练题标注为参考答案"
S15,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9b5ac8fd0cfe59cb_2026海淀一模细则.txt,细则,隐私权与消费者虚假宣传,"可直接用于给分点"
S16,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\2e0f67df1ab78a60_2026延庆一模细则.txt,细则,AI合成形象虚假直播营销,"可直接用于给分点"
S17,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt,教师版试题,遗赠扶养协议选择题,"作为选择题素材"
S18,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\manifest.csv,缓存清单,三年题源盘点,"173行缓存；本轮先回填高置信法律题源"
