check_id,scope,result,severity,details
A01,evidence_pool,PASS,INFO,data_rows=74
A02,thinking_archive,PASS,INFO,data_rows=36
A03,reasoning_archive,PASS,INFO,data_rows=51
A04,cross_archive,PASS,INFO,data_rows=13
A05,control_freeze,PASS,INFO,"rows=362 counts={'L0_BLOCKED': 288, 'L3_A_PLUS_B_TARGET_CONFIRMED': 70, 'L4_LOCKED_FOR_FUSION': 4}"
A06,evidence_pool,PASS,INFO,duplicates=0
A07,evidence_pool,PASS,INFO,missing_required=[]
A08,student_permission,PASS,INFO,violations=[]
A09,L4_lock,PASS,INFO,"actual=['Q-2025海淀二模-20', 'Q-2025西城二模-16-2', 'Q-2025西城二模-16-3', 'Q-2026丰台一模-18-2'] expected=['Q-2025海淀二模-20', 'Q-2025西城二模-16-2', 'Q-2025西城二模-16-3', 'Q-2026丰台一模-18-2']"
A10,Q11_lock,PASS,INFO,Q11 wrong-pairing string absent and B=①③ retained
A11,Q12_Q13_locator,PASS,INFO,"Q12={'question_id': 'Q-2025海淀二模-12', 'suite_id': 'S-2025海淀二模', 'source_locator': 'supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 12.D); render_008_page_04.png=视觉确认Q12题目存在，主题耐心资本', 'question_type': '选择题', 'module': '思维', 'status': 'L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE', 'answer_locator': 'answer_confirmed_D_from_supplemental_key', 'rubric_locator': 'no_formal_rubric', 'visual_locator': 'VISUAL_CONFIRMED_RENDER_PAGE04', 'full_stem_status': 'excerpt_present', 'full_options_status': 'choice_options_or_subjective_prompt_present', 'student_permission': 'NO_STUDENT_DRAFT_YET_GPT_BLOCKED', 'risk_note': '①直接说耐心资本=新事物生命力过强，错误推断；②消除矛盾错误（矛盾不可消除）'}; Q13={'question_id': 'Q-2025海淀二模-13', 'suite_id': 'S-2025海淀二模', 'source_locator': 'supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 13.C); render_008_page_04.png=视觉确认Q13题目存在', 'question_type': '选择题', 'module': '推理', 'status': 'L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE', 'answer_locator': 'answer_confirmed_C_from_supplemental_key', 'rubric_locator': 'no_formal_rubric', 'visual_locator': 'VISUAL_CONFIRMED_RENDER_PAGE04', 'full_stem_status': 'excerpt_present', 'full_options_status': 'choice_options_or_subjective_prompt_present', 'student_permission': 'NO_STUDENT_DRAFT_YET_GPT_BLOCKED', 'risk_note': 'A分类混杂（语义模糊）；B充分条件过强；D把国际关系三形式作不相容穷尽选言（实为相容选言）'}"
A12,cross_double_mount,PASS,INFO,missing_double_mount=[]
A13,L0_retention,PASS,INFO,L0 summary reports 288 rows
A14,no_final_authorization,PASS,INFO,no positive final/student/Word authorization phrase found
