"hit_id","year","district","part_candidate","term","file_path","line","text"
"HIT00001","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\FINAL_ACCEPTANCE_REPORT.md","5","选必三《逻辑与思维》二线闭合学生版已经完成。最终交付以 `09_delivery/选必三_逻辑与思维_宝典_学生版.docx` 为主，以同目录 PDF 和 Markdown 为辅。 "
"HIT00002","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\PROGRESS.md","7","- 2026-05-06: 运行目录改为 `选必三_逻辑与思维_二线闭合_从0开始_2026-05-06`。 "
"HIT00003","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\PROGRESS.md","29","- primary_delivery: `09_delivery/选必三_逻辑与思维_宝典_学生版.docx` "
"HIT00004","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\PROGRESS.md","30","- support_delivery: `09_delivery/选必三_逻辑与思维_宝典_学生版.pdf`; `07_student_doc/选必三_逻辑与思维_宝典_学生版.md` "
"HIT00005","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\task_plan.md","3","Goal: 从 0 跑选必三《逻辑与思维》二线闭合：ClaudeCode 本机真实 B 线先产出厚内容矿，Codex 做源证据裁决、框架化、学生成品和验收。 "
"HIT00006","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\RUN_MANIFEST.json","2","  ""book"": ""选必三_逻辑与思维"",  "
"HIT00007","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\RUN_MANIFEST.json","3","  ""scope"": ""思维部分_推理部分_四线闭合"",  "
"HIT00008","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\RUN_MANIFEST.json","5","  ""run_dir"": ""C:\\Users\\Administrator\\Desktop\\飞哥的政治庄园\\reports\\选必三_逻辑与思维_四线闭合_2026-05-06"",  "
"HIT00009","2026","","选必三候选","逻辑与思维","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\TASK_BRIEF.md","3","- Book: 选必三_逻辑与思维  "
"HIT00010","2026","","推理候选","推理","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\TASK_BRIEF.md","4","- Scope: 思维部分_推理部分_四线闭合  "
"HIT00011","2024","海淀","思维候选","科学思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","40","科学思维角度（2分）  "
"HIT00012","2024","海淀","思维候选","发散思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","43","2.发散思维、聚合思维  "
"HIT00013","2024","海淀","思维候选","超前思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","44","3.超前思维  "
"HIT00014","2024","海淀","思维候选","创新思维","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\227192d22e10241b_2024海淀二模细则.md","45","注：3分情况：三新+材料分析或三新+某创新思维的具体做法  "
