"gap_id","scope","year","district","stage","question","part","gap_type","source_status","next_action","priority","owner","milestone","status"
"GAP001","2024朝阳二模 Q7","2024","朝阳","二模","7","","三段论选择题候选","Original paper/options and answer key source-locked as Q0029; objective answer D confirmed from reference-answer docx","Send Q0029 through GPT Pro and Claude V4/V5 review before release","P1","Codex A source-lock","before next source coverage report","closed_source_locked_pending_external_review"
"GAP002","2026海淀一模 Q17(1) questionnaire detail","2026","海淀","一模","17","(1)","划分/选言题原始问卷细节","Full questionnaire/options source-locked from rendered paper page 5; logic errors remain matched to official rubric","Send Q0022 full-questionnaire patch through GPT Pro and Claude V4/V5 review before release","P1","Codex A source-lock","before next reasoning/body review","closed_source_locked_pending_external_review"
"GAP003","2026顺义一模 choice corpus","2026","顺义","一模","Q1-Q15","","选择题陷阱语料","Q1-Q15 fully classified from paper cache and formal answer key; Q2-Q7 promoted as Q0031-Q0036; Q6 held as answer-conflict row only","Submit GAP003 rows through GPT Pro and Claude V4/V5 review before release; do not use Q0035 trap until conflict is resolved","P2","Codex A source scan","before full choice-trap chapter","closed_choice_corpus_classified_pending_external_review"
"GAP004","2026朝阳一模 choice corpus","2026","朝阳","一模","Q1-Q15","","选择题陷阱语料","Q1-Q15 fully classified from teacher-version paper cache and objective answer key; Q3/Q5/Q6/Q7 promoted as Q0037-Q0040; Q6 old-index conflict recorded but official key governs","Submit GAP004 rows through GPT Pro and Claude V4/V5 review before release; keep Q0039 conflict note visible","P2","Codex A source scan","before full choice-trap chapter","closed_choice_corpus_classified_pending_external_review"
"GAP005","2025 district backlog","2025","multiple","multiple","multiple","","年度套卷穷尽","2025西城二模 Q16(2) is already Q0008 and 2025顺义一模 Q7 is already Q0012; both are source-locked but promotion/external-review held. Q0041-Q0055 also lock 2025门头沟一模 Q21(1), 房山一模 Q16(2)/Q16(3), 东城期末 Q18(2), 昌平二模 Q19, 西城一模 Q17, 石景山一模 Q19, 丰台一模 Q18(1), 朝阳期末 Q19, 海淀期末 Q18, 东城一模 Q18(1), 朝阳一模 Q17(1), 朝阳二模 Q17, 延庆一模 Q18, and 海淀二模 Q20; 2025 suite-by-suite scan still incomplete","Continue suite-by-suite scan 2025 one/two/term papers for logic/thinking questions; send Q0008/Q0012 and Q0041-Q0055 through GPT Pro/Claude review as needed","P2","Codex A + ClaudeCode rerun","before any all-year coverage claim","open_partial_source_locked_pending_external_review"
"GAP006","2024 district backlog","2024","multiple","multiple","multiple","","年度套卷穷尽","2024朝阳一模 Q6/Q20, 2024海淀一模 Q18(2), 2024海淀二模 Q17(1), 2024.11朝阳期中 Q18/Q19, 2024朝阳二模 Q7, 2024顺义二模 Q16(2), 2024东城一模 Q6/Q7/Q8/Q18(3), 2024丰台一模 Q19(1)/Q19(2), 2024丰台二模 Q18(1)/Q18(2), 2024西城二模 Q18(1), 2024石景山一模 Q19(3), 2024西城一模 Q19(2)/Q19(3)/Q19(5), and 2024门头沟一模 Q20 plus 2024房山一模 Q20(1) from compilation cache are now locally source/support/compilation-locked; 2024套卷 scan still incomplete；2024石景山一模 Q6/Q7 已从教师版原卷和答案键支持锁定为 A-support（无独立正式细则）；2024西城一模 Q11/Q12/Q13 已从原卷、官方答案/评分参考、正式细则答案表和 Q11 渲染核验锁定为 A-formal answer-key rows；2024朝阳一模 Q7 已从原卷和官方答案锁定为 A-formal answer-key row；2024丰台一模 Q7 已从试题及答案 PDF、题面/答案渲染页支持锁定为 A-support（无独立选择题细则解释）；2024海淀一模 Q6/Q7 已从原卷和官方答案锁定为 A-formal answer-key rows；2024海淀一模 Q17(2) 已从原卷、官方答案和正式细则锁定为 A-formal 分析与综合主观题；2024朝阳二模 Q19(1)/Q19(2) 已从原卷和正式主观题阅卷总结锁定为 A-formal：Q0084 辩证思维动态性+类比推理双登记，Q0085 联言判断真值条件；2024顺义二模 Q3/Q5/Q6/Q7 已从原卷和独立参考答案键锁定：Q0086/Q0087 为 thinking choice-signal/trap，Q0088/Q0089 为 reasoning choice rows；2024丰台一模 Q10/Q11 已从试题及答案 PDF 支持锁定为 A-support：Q0090 抽象思维与形象思维互补，Q0091 必要条件判断；2024顺义二模 Q2 已从原卷和独立参考答案键锁定为 Q0092 抽象思维误挂 choice-trap row","Continue suite-by-suite scan 2024 one/two/term papers for logic/thinking questions; send Q0029/Q0056/Q0057/Q0058/Q0059/Q0060/Q0061/Q0062/Q0063/Q0064/Q0065/Q0066/Q0067/Q0068/Q0069/Q0070/Q0071/Q0072/Q0073 through GPT Pro/Claude review before release; keep Q0065 at A-support unless a formal rubric is recovered; keep Q0069/Q0070 at B-compilation unless raw district paper/formal rubric evidence is recovered；send Q0074/Q0075 through GPT Pro/Claude review before release；keep Q0074/Q0075 at A-support unless a formal rubric is recovered；send Q0076/Q0077/Q0078/Q0079 through GPT Pro/Claude review before release；keep 门头沟/房山 choice candidates unresolved until raw paper and official answer-key evidence are recovered；send Q0080 through GPT Pro/Claude review before release；keep Q0080 at A-support unless an independent objective-question explanation is recovered；send Q0081/Q0082 through GPT Pro/Claude review before release；send Q0083 through GPT Pro/Claude review before release；send Q0084/Q0085 through GPT Pro/Claude review before release；keep Q0084 as dual-registration only if external review accepts the placement；keep Q0085 in reasoning only；send Q0086/Q0087/Q0088/Q0089 through GPT Pro/Claude review before release；keep Q0086/Q0087 as choice-signal/trap rows only unless external review accepts stronger placement；send Q0090/Q0091 through GPT Pro/Claude review before release；keep Q0090/Q0091 at A-support unless independent objective-question explanation is recovered；send Q0092 through GPT Pro/Claude review before release；keep Q0092 as trap row only","P2","Codex A + ClaudeCode rerun","before any all-year coverage claim","open_partial_source_locked_pending_external_review"
"GAP007","北京高考 Q19(2) 青海防沙治沙","2024","北京","高考","19","(2)","高考真题线","Scoring-reference signal found in 2026丰台期末细则; checked public 2024北京高考 PDF mismatches; original question not locked","Recover original 2024北京高考 Q19(2) 青海防沙治沙 paper page or formal matched scoring source before promotion to main body","P1","Codex A source-lock","before final framework comparison","source_identified_original_question_not_locked"
"GAP008","规范选言推理代表题","2024-2026","multiple","multiple","Q0027/Q0028","reasoning","推理形式缺口","Q0027 locks an A-formal valid disjunctive-reasoning sample; Q0028 locks a B-choice-signal invalid trap sample","Send Q0027/Q0028 through GPT Pro and Claude V4 review before release","P0","Codex A source-lock","before GPT Pro/Claude V4 review","closed_source_locked_pending_external_review"
"GAP009","复合题同型扩容","2024-2026","multiple","multiple","unknown","","思维复合题缺口","Q0011, Q0041, and Q0046 now provide formal composite examples where prompt total hat differs from scoring sub-hats; Q0046 adds 2025西城一模 科学思维设问下客观性/辩证/创新复合","Search additional rubrics for 科学/创新/辩证 mixed scoring under one prompt; send Q0041/Q0046 through GPT Pro/Claude review","P1","Codex A source scan","before thinking handbook release gate","open_partial_source_locked_pending_external_review"
"GAP010","GPT Pro external review","2026","current run","external","V3/V4","","真实外审缺口","GPT Pro packets prepared but not submitted","Submit user-visible or explicitly accepted GPT Pro review and capture result","P0","User-visible GPT Pro lane","before any Governor/Confucius final gate","open"
"GAP011","2026门头沟一模 supplemental rows","2026","门头沟","一模","5/6/18(2)","thinking|reasoning","2026套卷补充锁源","2026门头沟一模 Q5/Q6/Q18(2) 已从原卷、正式答案表和 Q18(2) 细则锁定为 Q0095-Q0097：Q0095 为扬弃/逆向思维选择题信号，Q0096 为类比推理与换位/换质推理选择题，Q0097 为辩证思维+创新思维主观题","Submit Q0095-Q0097 through GPT Pro V47 / Claude V45 review; keep Q0095 as choice-signal until reviewed; keep all rows out of release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP012","2024海淀二模 Q5/Q6 late catch-up","2024","海淀","二模","5/6","reasoning","2024年度套卷补充锁源","2024海淀二模 Q5/Q6 已从原卷、独立参考答案和正式细则答案表锁定为 Q0093-Q0094：Q0093 为探求因果联系求异法，Q0094 为概念属性与换位推理边界","Submit Q0093-Q0094 through GPT Pro V47 / Claude V45 review; continue 2024 suite scan before any final coverage claim","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP013","2024海淀二模 Q17(2) late catch-up","2024","海淀","二模","17(2)","thinking","2024年度套卷补充锁源","2024海淀二模 Q17(2) 已从原卷、独立参考答案和正式细则锁定为 Q0098：认识发展历程，感性具体、思维抽象、思维具体及调查了解阶段与分析研究阶段关系","Submit Q0098 through GPT Pro V48 / Claude V46 review; do not merge it into Q0011 Q17(1)","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP014","2026门头沟一模 Q7 supplemental row","2026","门头沟","一模","7","thinking","2026套卷补充锁源","2026门头沟一模 Q7 已从原卷和正式答案表锁定为 Q0099：B-choice-signal 混合选择题，①为必修四实践第一观点，④为辩证思维整体性，②③为选必三术语误挂陷阱","Submit Q0099 through GPT Pro V49 / Claude V47 review; keep Q0099 as B-choice-signal and module-boundary row before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP015","2026延庆一模 Q18(2) supplemental row","2026","延庆","一模","18(2)","thinking","2026套卷补充锁源","2026延庆一模 Q18(2) 已从教师版原卷和正式细则锁定为 Q0100：虚拟数字人直播治理题，细则确认辩证思维、适度原则、创新思维/三新、辩证否定四选四","Submit Q0100 through GPT Pro V50 / Claude V48 review; keep Q0100 out of release claims until external review and B-line rerun","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP016","2026东城一模 Q19(4) supplemental row","2026","东城","一模","19(4)","thinking","2026套卷补充锁源","2026东城一模 Q19(4) 已从教师版原卷和正式答案/细则锁定为 Q0101：中关村把‘1’拉长推进题，细则确认系统观念知识、创新思维知识、对应分析分和动态性替代","Submit Q0101 through GPT Pro V51 / Claude V49 review; keep Q0101 out of release claims until external review and B-line rerun","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP017","2026房山一模 Q18(1) supplemental row","2026","房山","一模","18(1)","thinking","2026套卷补充锁源","2026房山一模 Q18(1) 已从原卷渲染页和正式细则锁定为 Q0102：常态蓝天治理题，细则确认系统治理触发整体性/分析综合/联系/系统优化，精准施策触发矛盾分析法/具体问题具体分析，久久为功触发动态性/质量互变/发展","Submit Q0102 through GPT Pro V52 / Claude V50 review; keep Q0102 out of release claims until external review and B-line rerun","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP018","2026石景山一模 supplemental rows","2026","石景山","一模","2/5/6/7/17(2)","thinking|reasoning","2026套卷补充锁源","2026石景山一模 Q2/Q5/Q6/Q7/Q17(2) 已从教师版原卷、正式答案表和 Q17(2) 细则锁定为 Q0103-Q0107：Q0103 为辩证思维混合选择题信号，Q0104 为换质位边界，Q0105 为必要条件判断，Q0106 为不完全归纳推理，Q0107 为创新思维建议主观题","Submit Q0103-Q0107 through GPT Pro V53 / Claude V51 review; keep Q0103 as B-choice-signal and Q21 as boundary before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP019","2025丰台二模 supplemental rows","2025","丰台","二模","12/13/14/16(2)/19(1)","thinking|reasoning","2025套卷补充锁源","2025丰台二模 Q12/Q13/Q14/Q16(2)/Q19(1) 已从教师版原卷答案、Q16(2) 阅卷评标和 Q19(1) 阅卷评标锁定为 Q0108-Q0112：Q0108 为逆向思维和动态性选择题，Q0109 为非传递关系，Q0110 为思维抽象和辩证思维，Q0111 为三段论构建，Q0112 为充分条件判断与辩证思维综合治理双登记","Submit Q0108-Q0112 through GPT Pro V54 / Claude V52 review; keep Q0108-Q0110 as A-support choice rows and Q0112 as dual-registration before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP020","2026丰台二模与2026东城二模 high-confidence supplemental rows","2026","丰台|东城","二模","丰台8/9/21; 东城12/18","thinking|reasoning","2026二模套卷补充锁源","2026丰台二模 Q8/Q9/Q21 与 2026东城二模 Q12/Q18 已锁定为 Q0113-Q0117：Q0113 为换位推理/三段论/矛盾关系选择题，Q0114 为真假话约束推理，Q0115 为乐学公园创新思维主观题，Q0116 为否定论断矛盾关系选择题，Q0117 为类比推理与超前治理双登记题","Submit Q0113-Q0117 through GPT Pro V55 / Claude V53 review; keep Q0113/Q0114/Q0116 as A-support choice rows and Q0117 as dual-registration before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP021","2026朝阳二模 supplemental rows","2026","朝阳","二模","5/6/7/19(1)","thinking|reasoning","2026二模套卷补充锁源","2026朝阳二模 Q5/Q6/Q7/Q19(1) 已锁定为 Q0118-Q0121：Q0118 为形象思维选择题，Q0119 为必要条件判断与双重否定选择题，Q0120 为创新思维思路多向性与跨越性选择题，Q0121 为种差加属概念定义方法主观题","Submit Q0118-Q0121 through GPT Pro V56 / Claude V54 review; keep Q0118-Q0120 as A-support choice rows and Q0121 as A-formal definition-method row before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP022","2026海淀二模 supplemental rows","2026","海淀","二模","3/4/5/6/7/18(1)/20(1)","thinking|reasoning","2026二模套卷补充锁源","2026海淀二模 Q3/Q4/Q5/Q6/Q7/Q18(1)/Q20(1) 已锁定为 Q0122-Q0128：Q0122-Q0123 为术语误挂陷阱，Q0124 为必要条件判断，Q0125 为演绎推理，Q0126 为不完全归纳推理，Q0127 为分析综合/联想/科学思维复合题，Q0128 为三段论构建题","Submit Q0122-Q0128 through GPT Pro V57 / Claude V55 review; keep Q0122-Q0123 as B-choice-signal traps, Q0124-Q0126 as A-support choice rows, and Q0127-Q0128 as A-formal main rows before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP023","2026房山二模 Q18(2) supplemental row","2026","房山","二模","18(2)","thinking","2026二模套卷补充锁源","2026房山二模 Q18(2) 已从原卷渲染页和正式评标细则锁定为 Q0129：OPC 的出现和发展辩证否定观题，细则确认否定分析、肯定分析、联系、发展、扬弃","Submit Q0129 through GPT Pro V58 / Claude V56 review; keep Q21 as boundary and keep Q0129 out of release claims until external review and B-line rerun","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP024","2026西城二模 supplemental rows","2026","西城","二模","5/6/18(4)","thinking|reasoning","2026二模套卷补充锁源","2026西城二模 Q5/Q6/Q18(4) 已锁定为 Q0130-Q0132：Q0130 为相容选言和必要条件推理，Q0131 为联想与创新思维选择题，Q0132 为人机协同新常态下科学思维客观性、辩证思维、创新思维复合主观题","Submit Q0130-Q0132 through GPT Pro V59 / Claude V57 review; keep Q0130-Q0131 as A-support choice rows and Q0132 as A-formal main-thinking row before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP025","2026石景山二模 supplemental rows","2026","石景山","二模","6/7/17(2)","thinking|reasoning","2026二模套卷补充锁源","2026石景山二模 Q6/Q7/Q17(2) 已锁定为 Q0133-Q0135：Q0133 为守岁诗形象思维选择题，Q0134 为食品标签同一律和概念确定性选择题，Q0135 为养老立法最大难点辩证分合/分析综合主观题","Submit Q0133-Q0135 through GPT Pro V60 / Claude V58 review; keep Q0133-Q0134 as A-support choice rows and Q0135 as A-formal main-thinking row before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
"GAP026","2026顺义二模 supplemental rows","2026","顺义","二模","5/6/7/18(1)/21","thinking|reasoning","2026二模套卷补充锁源","2026顺义二模 Q5/Q6/Q7/Q18(1)/Q21 已锁定为 Q0136-Q0140：Q0136 为定性分析与定量分析选择题，Q0137 为轻率概括误挂陷阱，Q0138 为准确运用概念混合选择题信号，Q0139 为矛盾律与科学思维客观性主观题，Q0140 为科学思维/超前思维综合题","Submit Q0136-Q0140 through GPT Pro V61 / Claude V59 review; keep Q0137-Q0138 as B-choice-signal rows and Q0140 as comprehensive-question sample before release claims","P1","Codex A source-lock","before any all-year coverage claim","closed_source_locked_pending_external_review"
