idx,node,title,diff_fields
1,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,
2,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,答案落点
3,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,设问;答案落点
4,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,答案落点
5,追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,答案落点
6,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,
7,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,答案落点
8,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,设问;答案落点
9,追求认识的客观性,9. 2025西城一模 第17题（主观题）,答案落点
10,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,答案落点
11,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,
12,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,
13,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,设问
14,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,设问;答案落点
15,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,答案落点
16,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,
17,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,设问
18,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,
19,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,
20,结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,答案落点
21,整体性,1. 2025海淀二模 第20题（主观题）,答案落点
22,整体性,2. 2025东城一模 第18题第（1）问（主观题）,答案落点
23,整体性,3. 2026东城一模 第19题第（4）问（主观题）,
24,整体性,4. 2026房山一模 第18题第（1）问（主观题）,答案落点
25,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,答案落点
26,整体性,6. 2025西城一模 第17题（主观题）,答案落点
27,整体性,7. 2026西城二模 第18题第（4）问（主观题）,答案落点
28,动态性,1. 2025海淀二模 第20题（主观题）,答案落点
29,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,答案落点
30,分析与综合,1. 2025海淀二模 第20题（主观题）,答案落点
31,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,设问
32,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,
33,分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,答案落点
34,分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,答案落点
35,分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,
36,分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,答案落点
37,矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,答案落点
38,矛盾分析法,2. 2025延庆一模 第18题（主观题）,答案落点
39,矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,答案落点
40,矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,答案落点
41,量变与质变,1. 2025海淀二模 第20题（主观题）,答案落点
42,量变与质变,2. 2025延庆一模 第18题（主观题）,答案落点
43,适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,答案落点
44,辩证否定,1. 2025海淀二模 第20题（主观题）,答案落点
45,辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,
46,辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,
47,辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,答案落点
48,认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,
49,三性与三新,1. 2025昌平二模 第19题（主观题）,答案落点
50,三性与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,答案落点
51,三性与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,答案落点
52,三性与三新,4. 2026延庆一模 第18题第（2）问（主观题）,答案落点
53,三性与三新,5. 2026石景山一模 第17题第（2）问（主观题）,答案落点
54,三性与三新,6. 2026丰台二模 第21题（主观题）,
55,三性与三新,7. 2026西城二模 第18题第（4）问（主观题）,答案落点
56,三性与三新,8. 2025西城一模 第17题（主观题）,答案落点
57,三性与三新,9. 2025石景山一模 第19题（主观题）,答案落点
58,联想思维,1. 2025海淀期末 第18题（主观题）,
59,联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,答案落点
60,联想思维,3. 2026东城一模 第19题第（4）问（主观题）,答案落点
