idx,module,node,title,refined_verdict,refined_note,prompt_verdict,front_note,audit_node_verdict,doc_prompt,source_prompt,source_summary,source_paths
1,一、科学思维,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_objectivity,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,科学思维追求认识的客观性；企业从老人真实生活场景与实际需求出发，深入调研、蹲点观察，立足实际设计产品功能。另有预见性、可检验性两点。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx
2,一、科学思维,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,P3_PROMPT_MINOR_DELTA,设问与源题基本一致，仅有题号/分值/前置句差异；终稿可按原卷统一。,contains_or_score_delta,none,supported_scientific_objectivity,结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）,（1）结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）,结论二“企业没有坚持实事求是”正确；科学思维追求认识客观性，必须从实际出发，如实反映客观对象；车企初期刻意回避系统缺陷。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc
3,一、科学思维,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,P2_PROMPT_RESTORE_EXACT,原题设问应保留（1）；5分来自细则，可放教师注，不宜塞进设问。,mismatch_needs_source_check,has_audit_note_in_answer,supported_scientific_objectivity,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,科学思维追求认识的客观性、结果的预见性和可检验性；我国从实际出发，准确预判人工智能发展趋势，提前部署，指明方向，分段规划，并在实践中检验发展成果。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx
4,一、科学思维,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,P1_NOTE_REPHRASE_FRAMEWORK,来源确有探索性/整体安排表述，但用户框架禁止把方法更新/整体安排作为科学思维节点；提示应改为“来源另有表述，勿升级为框架节点”。,exact,has_audit_note_in_answer,supported_scientific_objectivity,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,时间利用调查是为了全面、真实、准确了解我国居民时间利用情况，追求认识客观性；另含创新思维角度和辩证思维整体性角度。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx
5,一、科学思维,追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,supported_scientific_objectivity,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,逻辑错误：划分标准不一；选言判断遗漏其他有选择价值的情况。建议可从科学思维、逻辑规则、辩证思维、创新思维等角度；科学思维客观性示例要求从实际出发，了解真实存在的问题和需求，再据此设计选项。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf
6,一、科学思维,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,PASS_CORE_SUPPORTED,按已有回源材料，题面、节点和主答案未见新增硬错。,exact,none,supported_scientific_objectivity,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,获奖建议在实践中产生又接受实践检验，有些建议转化为惠及民生的具体措施，体现科学思维追求认识客观性、结果具有可检验性；另可答归纳推理和创新思维。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc
7,一、科学思维,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,contains_or_score_delta,has_audit_note_in_answer,supported_scientific_objectivity,在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）,（2）在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）,可从头脑风暴法、问卷调查法、访谈法等角度作答；理由可写科学思维追求客观性、预见性，通过有计划系统收集数据资料并分析综合比较归纳作出判断和预测。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf ; /Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx
8,一、科学思维,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,contains_or_score_delta,has_audit_note_in_answer,supported_scientific_objectivity,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,细则写遵循科学思维的客观性和预见性，立足实际或遵循客观规律并结合材料。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc
9,一、科学思维,追求认识的客观性,9. 2025西城一模 第17题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,supported_scientific_objectivity,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,可从追求认识的客观性、运用辩证思维方法、具有创新意识等角度作答；客观性角度强调从当地客观自然条件出发，遵循自然规律。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx
10,一、科学思维,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,条目主答案未见硬错；但【提示/红线】属于教师审计信息，不能直接留在学生版答案落点。,exact,has_audit_note_in_answer,supported_scientific_objectivity,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,细则页图显示角度1为追求认识的客观性：从实际出发，把握和遵循客观规律，尊重事实与证据，注重推理论证严谨性与实践检验必要性，通过多渠道交叉验证，避免虚假信息误导。另有辩证思维、创新思维角度。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx ; /Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf
