suite_id,year,suite,suite_root,parent_bucket,file_count,has_exam_paper,has_scoring_rubric,has_marking_summary,has_answer_key,has_other_material,read_status_summary,old_v3_exact_label_covered,repair_status
S001,2024,2024东城一模,/Users/wanglifei/Desktop/2024模拟题/2024东城一模,,3,Y,Y,N,N,N,ocr-needed:2;ok:1,Y,ocr-needed
S002,2024,2024朝阳一模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模,,4,Y,Y,N,N,Y,ok:4,Y,included
S003,2024,2024朝阳二模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模,,3,Y,Y,N,N,N,ok:3,Y,included
S004,2024,2024朝阳期中,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中,,5,Y,Y,Y,N,N,ok:5,Y,included
S005,2024,2024海淀一模,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模,,3,Y,Y,N,N,N,ok:3,Y,included
S006,2024,2024海淀期中,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中,,2,Y,Y,N,N,N,ok:2,Y,module-boundary-excluded
S007,2024,东城二模,/Users/wanglifei/Desktop/2024模拟题/东城二模,,15,Y,Y,Y,N,N,ocr-needed:2;ok:11;skip:2,Y,included
S008,2024,丰台一模,/Users/wanglifei/Desktop/2024模拟题/丰台一模,,3,Y,Y,N,N,N,ok:3,Y,included
S009,2024,丰台二模,/Users/wanglifei/Desktop/2024模拟题/丰台二模,,2,Y,Y,N,N,N,ocr-needed:1;ok:1,Y,needs_followup
S010,2024,海淀二模,/Users/wanglifei/Desktop/2024模拟题/海淀二模,,4,Y,Y,N,N,N,ok:4,Y,included
S011,2024,石景山一模,/Users/wanglifei/Desktop/2024模拟题/石景山一模,,2,Y,Y,N,N,N,ok:2,Y,included
S012,2024,西城一模,/Users/wanglifei/Desktop/2024模拟题/西城一模,,5,Y,Y,Y,N,Y,ok:3;skip:2,Y,included
S013,2024,西城二模,/Users/wanglifei/Desktop/2024模拟题/西城二模,,6,Y,Y,N,N,Y,ok:5;skip:1,Y,included
S014,2024,顺义思政二模,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模,,2,Y,Y,N,N,N,ok:2,Y,included
S015,2025,2025东城一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模,2025各区一模,3,Y,Y,N,N,N,ok:2;skip:1,N,included
S016,2025,2025丰台一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模,2025各区一模,2,Y,Y,N,N,N,ok:2,N,included
S017,2025,2025延庆一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模,2025各区一模,2,Y,Y,N,N,N,ok:2,N,included
S018,2025,2025房山一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模,2025各区一模,3,Y,Y,N,N,N,ok:2;skip:1,N,included
S019,2025,2025朝阳一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模,2025各区一模,6,Y,Y,Y,N,Y,"failed:Namespace prefix w for pos on tab is not defined, line 1, column 1202 (<string>, line 1):1;ocr-needed:1;ok:4",N,included
