suite_id,year,suite,suite_status,status_note,framework_entries,choice_rows,followup_rows,contamination_check
S001,2024,2024东城一模,ocr-needed,试卷.pdf 与答案 PDF 均 OCR-needed，无法读取选择题题干答案键和主观题完整设问；细则.pptx 虽可读，但只含分层评分要点而无设问与材料原文，按刚性规则（设问必须完整、题面+答案键齐全）不足以入框架，已转入 followup。,0,0,6,clean: provided suite bundle only
S002,2024,2024朝阳一模,included,本套卷可读，提取必修四哲学相关：选择题Q3（实现人生价值）、Q4（联系观）；主观题Q16（矛盾对立统一+内外因，含明确分点细则）入框架；Q18(2)虽明确要求《哲学与文化》知识但仅有参考答案与等级水平评标、缺分点给分细则，不入框架，作followup；其余题为模块边界。,1,2,19,clean: provided suite bundle only
S003,2024,2024朝阳二模,included,Q16(2)为开放性必修四哲学主观题，评分细则明确给出多角度可选哲学知识点，提取9条framework_entries对应矛盾、实践与认识、联系、发展、物质与意识、尊重规律与主观能动性、社会存在与社会意识、价值观、人民群众；Q1和Q6为必修四哲学相关选择题，提取2条choice_rows；Q16(1)经济、Q17法律、Q18政治、Q19选必三逻辑+文化、Q20国际政治、Q2哲学触发不闭环等列入followup_rows。,9,2,5,cache-assisted repair from same-suite cached result and same-suite source bundle only
S004,2024,2024朝阳期中,included,"2024朝阳期中Q16考改革开放以来党的十次三中全会的'变'与'不变',限定历史唯物主义,细则四个采分角度可拆为社会存在决定社会意识、人民群众史观、生产关系/上层建筑(社会基本矛盾)、改革动力,逐条入框架;Q17共8分=文化6分+哲学2分,哲学2分细则给出辩证否定观、对立统一/全面、具体问题具体分析、价值观导向、价值判断与价值选择、尊重规律发挥主观能动性等并列可选角度,作为alternative入框架;选择题Q1/Q3/Q4/Q5/Q10可触发必修四哲学;Q17文化6分及Q2、Q6-Q15属文化、经济、国际或选必三逻辑/创新思维模块边界,单列followup。",7,5,9,clean: cache-assisted repair from same-suite cached result and same-suite source bundle only
S005,2024,2024海淀一模,included,本套卷可读，仅Q16必修四《哲学与文化》8分主观题命中必修四哲学（细则为方向性列举：发挥主观能动性、联系、发展、实践、民族精神）；选择题Q2/Q3/Q5触发必修四哲学；其余主观题分别属经济、政治与法治、当代国际、法律与生活、选必三逻辑、党史活动设计，按模块边界排除。,4,3,19,cache-assisted repair from same-suite cached result and same-suite source bundle only
S006,2024,2024海淀期中,module-boundary-excluded,本套2024海淀期中高三思想政治试卷的细则首页明确题号分布仅覆盖必修2经济与社会、必修3政治与法治、选择性必修1当代国际政治与经济三个模块，全卷不含任何必修四哲学与文化题目。试卷文本抽取失败，但细则完整可读并重述了题面与给分口径，足以判定模块边界，整套卷整体排除在必修四哲学框架之外。,0,0,3,cache-assisted repair from same-suite cached result and same-suite source bundle only
S007,2024,东城二模,included,16题为运用《哲学与文化》知识的主观题，阅卷总结与阅卷讲评细则给出哲学层面三点给分口径，独立编入7条必修四哲学触发链；21题为综合运用所学的路径题，细则允许哲学角度作'措施'环节替代给分，纳入2条边界式触发；17/18/19/20题分别属《经济与社会》《逻辑与思维》《政治与法治》《法律与生活》《当代国际政治与经济》模块，已作模块边界排除；试卷文件与补充细则文件OCR待处理，导致选择题无法编制、各题材料原文不可直引。,9,0,9,cache-assisted repair from same-suite cached result and same-suite source bundle only
S008,2024,丰台一模,included,丰台一模2024入框架的主观题为18(1)（设问限定哲学+水平赋分细则）；选择题8、9为必修四正题；16/17/18(2)/19/20为模块边界；21为开放综合题作reference-only；其余选择题题面与第9题漫画图未在bundle抽取，需补OCR。,3,2,5,clean: provided suite bundle only
S009,2024,丰台二模,needs_followup,细则可读但试卷PDF标注ocr-needed；细则中可见两道必修四哲学等级赋分主观题——'统筹发展和安全'(8分)与'你的步伐就是中国的步伐'(7分)——但抽取文本中题号未明确显示，且评分均按等级赋分整体给分、未对具体哲学原理给出逐点分值口径，故先入followup；18(2)'运用科学思维评析'为选必三《逻辑与思维》模块边界排除；选择题题面与答案键缺失，需OCR后再补。,0,0,4,cache-assisted repair from same-suite cached result and same-suite source bundle only
S010,2024,海淀二模,included,选择题15道仅第4题(B)触发必修四唯物论；主观题第17(1)细则在辩证思维角度内明列整体部分/系统优化、矛盾分析法/具体问题具体分析(必修四联系/矛盾)，第17(2)细则明示替代答案为实践决定认识与认识反复性无限性上升性(必修四认识论)；第16题仅有参考答案、【细则】标签后空缺，作followup；第21题为综合开放题无强制必修四哲学节点，作followup,4,1,2,cache-assisted repair from same-suite cached result and same-suite source bundle only
