suite_id,status,year,district,stage,total_files,paper_count,scoring_count,reference_answer_count,teaching_or_lecture_count,unknown_count,paper_samples,scoring_samples,reference_samples,teaching_samples,unknown_samples,notes
2024_海淀_一模,not_started,2024,海淀,一模,3,1,2,0,0,0,2024海淀一模/试卷/试卷.pdf,2024海淀一模/细则/细则.docx | 2024海淀一模/细则/补充材料/一模政治-答案.docx,,,,
2024_海淀_二模,not_started,2024,海淀,二模,4,2,2,0,0,0,海淀二模/试卷/试卷.pdf | 海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,海淀二模/细则/细则.docx | 海淀二模/细则/补充材料/高三二模：政治答案(2).docx,,,,
2024_海淀_期中,not_started,2024,海淀,期中,2,1,1,0,0,0,2024海淀期中/试卷/试卷.pdf,2024海淀期中/细则/细则.pdf,,,,
2024_西城_一模,not_started,2024,西城,一模,5,2,3,0,0,0,西城一模/试卷/试卷.docx | 西城一模/其他材料/~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,西城一模/细则/细则.docx | 西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx | 西城一模/细则/补充材料/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,,,,
2024_西城_二模,not_started,2024,西城,二模,6,2,2,0,2,0,西城二模/试卷/试卷.docx | 西城二模/试卷/补充材料/~$模拟测试思想政治试卷.docx,西城二模/细则/细则.docx | 西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,,西城二模/其他材料/西城东城二模选择题讲评.pdf | 西城二模/其他材料/西城东城二模选择题讲评.pptx,,
2024_东城_一模,not_started,2024,东城,一模,3,1,2,0,0,0,2024东城一模/试卷/试卷.pdf,2024东城一模/细则/细则.pptx | 2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,,,,
2024_东城_二模,not_started,2024,东城,二模,13,1,12,0,0,0,东城二模/试卷/试卷.pdf,东城二模/细则/补充材料/细则.pdf | 东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx | 东城二模/细则/分题细则/阅卷总结/18题/18(1).docx | 东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,,,,
2024_朝阳_一模,not_started,2024,朝阳,一模,4,1,2,0,1,0,2024朝阳一模/试卷/试卷.pdf,2024朝阳一模/细则/细则.pptx | 2024朝阳一模/细则/补充材料/细则.docx,,2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,,
2024_朝阳_二模,not_started,2024,朝阳,二模,3,1,2,0,0,0,2024朝阳二模/试卷/试卷.pdf,2024朝阳二模/细则/细则.pdf | 2024朝阳二模/细则/补充材料/细则.docx,,,,
2024_朝阳_期中,not_started,2024,朝阳,期中,5,2,3,0,0,0,2024朝阳期中/试卷/试卷.pdf | 2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,2024朝阳期中/细则/细则.docx | 2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx | 2024朝阳期中/细则/补充材料/细则.rtf,,,,
2024_丰台_一模,not_started,2024,丰台,一模,3,1,1,1,0,0,丰台一模/试卷/试卷.pdf,丰台一模/细则/细则.docx,丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,,,
2024_丰台_二模,not_started,2024,丰台,二模,2,1,1,0,0,0,丰台二模/试卷/试卷.pdf,丰台二模/细则/细则.docx,,,,
2024_mixed_or_compilation_unknown_stage,needs_classification,2024,mixed,or,2,0,0,0,0,2,,,,,北京2024各区《经济与社会》考题-wlfwlf.docx | 北京及2024各区《经济与社会》考题-wlf.pdf,File-level metadata insufficient; classify manually.
2024_unknown_district_一模,needs_classification,2024,unknown,district,7,0,0,0,0,7,,,,,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx | 202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx | 202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx | 202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,File-level metadata insufficient; classify manually.
2024_石景山_一模,not_started,2024,石景山,一模,2,1,1,0,0,0,石景山一模/试卷/试卷.docx,石景山一模/细则/细则.pptx,,,,
2024_顺义_二模,not_started,2024,顺义,二模,2,1,1,0,0,0,顺义思政二模/试卷/试卷.docx,顺义思政二模/细则/细则.docx,,,,
2025_海淀_一模,not_started,2025,海淀,一模,3,2,1,0,0,0,2025各区一模/2025海淀一模/试卷/试卷.pdf | 2025各区一模/2025海淀一模/试卷/补充材料/EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,2025各区一模/2025海淀一模/细则/细则.docx,,,,
2025_海淀_二模,not_started,2025,海淀,二模,4,1,2,0,1,0,2025各区二模/2025海淀二模/试卷/试卷.pdf,2025各区二模/2025海淀二模/细则/细则.docx | 2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,,2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,,
2025_海淀_期中,not_started,2025,海淀,期中,2,1,1,0,0,0,2025各区期末/2025海淀期中/试卷/试卷.pdf,2025各区期末/2025海淀期中/细则/细则.docx,,,,
2025_海淀_期末,not_started,2025,海淀,期末,2,1,1,0,0,0,2025各区期末/2025海淀期末/试卷/试卷.docx,2025各区期末/2025海淀期末/细则/细则.pptx,,,,
2025_西城_一模,not_started,2025,西城,一模,2,1,1,0,0,0,2025各区一模/2025西城一模/试卷/试卷.pdf,2025各区一模/2025西城一模/细则/细则.docx,,,,
2025_西城_二模,not_started,2025,西城,二模,2,1,1,0,0,0,2025各区二模/2025西城二模/试卷/试卷.pdf,2025各区二模/2025西城二模/细则/细则.docx,,,,
2025_西城_期末,not_started,2025,西城,期末,2,1,1,0,0,0,2025各区期末/2025西城期末/试卷/试卷.pdf,2025各区期末/2025西城期末/细则/细则.pdf,,,,
2025_东城_一模,not_started,2025,东城,一模,2,1,1,0,0,0,2025各区一模/2025东城一模/试卷/试卷.pdf,2025各区一模/2025东城一模/细则/细则.pdf,,,,
2025_东城_二模,not_started,2025,东城,二模,2,1,1,0,0,0,2025各区二模/2025东城二模/试卷/试卷.pdf,2025各区二模/2025东城二模/细则/细则.pdf,,,,
2025_东城_期末,not_started,2025,东城,期末,3,1,2,0,0,0,2025各区期末/2025东城期末/试卷/试卷.pdf,2025各区期末/2025东城期末/细则/细则.pdf | 2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,,,,
2025_朝阳_一模,not_started,2025,朝阳,一模,6,1,4,0,1,0,2025各区一模/2025朝阳一模/试卷/试卷.pdf,2025各区一模/2025朝阳一模/细则/细则.pdf | 2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结19题 合同欺诈  阐释论证.doc | 2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc | 2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc,,2025各区一模/2025朝阳一模/其他材料/高三政治一模试卷讲评.pptx,,
2025_朝阳_二模,not_started,2025,朝阳,二模,3,2,1,0,0,0,2025各区二模/2025朝阳二模/试卷/试卷.pdf | 2025各区二模/2025朝阳二模/试卷/补充材料/扫描全能王 2025-05-13 21.42.pdf,2025各区二模/2025朝阳二模/细则/细则.docx,,,,
2025_朝阳_期末,not_started,2025,朝阳,期末,3,1,1,0,1,0,2025各区期末/2025朝阳期末/试卷/试卷.pdf,2025各区期末/2025朝阳期末/细则/细则.pdf,,2025各区期末/2025朝阳期末/其他材料/朝阳高三期末2025.pptx,,
2025_丰台_一模,not_started,2025,丰台,一模,2,1,1,0,0,0,2025各区一模/2025丰台一模/试卷/试卷.pdf,2025各区一模/2025丰台一模/细则/细则.docx,,,,
2025_丰台_二模,not_started,2025,丰台,二模,9,1,8,0,0,0,2025各区二模/2025丰台二模/试卷/试卷.pdf,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(2).docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(1).doc | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/17题.docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/18题 .docx,,,,
2025_丰台_期末,not_started,2025,丰台,期末,2,1,1,0,0,0,2025各区期末/2025丰台期末/试卷/试卷.pdf,2025各区期末/2025丰台期末/细则/细则.pptx,,,,
2025_延庆_一模,not_started,2025,延庆,一模,2,1,1,0,0,0,2025各区一模/2025延庆一模/试卷/试卷.pdf,2025各区一模/2025延庆一模/细则/细则.docx,,,,
2025_房山_一模,not_started,2025,房山,一模,2,1,1,0,0,0,2025各区一模/2025房山一模/试卷/试卷.pdf,2025各区一模/2025房山一模/细则/细则.pdf,,,,
