大类,小方法节点,挂载题数_主观题正例,挂载题数_选择题正例,索引题数,blocked或missing,代表题清单,备注
科学思维,客观性,3,1+,5+,2026二模待补,2026顺义一模19(2)·2024海淀二模17(1)·2025海淀期末17(1)·2026顺义一模21(怎么做),硬规则§十六SCIENCE_ONLY设问硬样本=2024海淀二模17(1)；三性硬样本=2026顺义一模19(2)
科学思维,预见性,2,1+,3,2026二模待补,2026顺义一模19(2)·2026顺义一模21(怎么做超前思维),细则原话:结果具有预见性
科学思维,可检验性,1,0,1,需扩展寻找更多可检验性专题,2026顺义一模19(2),教材标准三性中可检验性是最少出现的一性；本轮仅顺义一模19(2)有正例
科学思维,探索性/方法更新,1,0,2,—,2024海淀二模17(1)·2025东城期末16(由细则支持),028细则原文术语:思路新/方法新；非教材标准三性但被来源支持
科学思维,整体安排（被来源支持的扩展节点）,1,0,1,—,2024海淀二模17(1),028细则按辩证思维角度池给分,本轮放在科学思维设问下作来源支持落点
辩证思维,分析与综合（整体性·系统优化）,3,3+,8+,—,2025海淀二模20·2026朝阳期中20·2025丰台期末16·2026顺义一模3(选择题)·2026通州期末5·2026顺义一模19(2)的整体安排辅助,辩证思维多角度题最高频节点
辩证思维,整体性,3,3+,8+,—,同上,与"分析与综合"高度重叠;选择题"个体差异+民族整体"=2026通州期末8(辅助)
辩证思维,动态性,2,2+,5+,—,2025海淀二模20·2026朝阳期中20·2024朝阳一模19(1)·2025海淀期末22,硬样本动态性专题=2024朝阳一模19(1)
辩证思维,质量互变,2,1+,4,—,2025海淀二模20·2026朝阳期中20·2025丰台期末16,质量互变在哲学已熟,在选必三是辩证思维特征之一
辩证思维,辩证否定（扬弃）,2,0,3,—,2025海淀二模20·2025顺义一模16·2026朝阳期中20(替换),孤立挂载较少,多数与质量互变共生
辩证思维,矛盾分析法,2,0,3,—,2025海淀二模20(补充)·2026朝阳期中20·2026东城期末21(辅助),与必修四矛盾观高度重叠;答题术语必须是"辩证思维的整体性·动态性·矛盾分析法"
创新思维,三新（思路新/方法新/结果新）,2,0,4,—,2025东城期末16·2026朝阳期中21(2)·细则替换为"多向性·跨越性·独特性",硬样本=2026朝阳期中21(2)+2025东城期末16
创新思维,联想思维,2,1+,4+,—,2025东城期末16·2026朝阳期中21(2)·2025海淀期末18·2026朝阳期中13(选择题边界),硬规则§九:看到"合""融"不能直接选联想/系统整合
创新思维,发散思维,2,1+,4,—,2025东城期末16·2026朝阳期中21(2)·2025丰台期末8(选择题)·2026通州期末9(选择题边界陷阱),细则:发散+聚合相结合各得1分两全才得2分
创新思维,聚合思维,2,0,2,—,2025东城期末16·2026朝阳期中21(2),与发散思维共生
创新思维,超前思维,3,1+,5,—,2026朝阳期中21(2)·2025东城期末16·2026顺义一模21(怎么做)·2025丰台期末7(边界陷阱),硬规则§十八:2025丰台期末7=哲学唯物论伪装超前思维(边界陷阱)
创新思维,逆向思维,1,1,3,—,2026朝阳期中21(2)·2025顺义一模3(选择题)·2025海淀期末18,材料"反过来""冷转热"是触发口令
创新思维,迁移和想象,0,2,4,—,2026顺义一模6·2026顺义一模9(选择题)·2024朝阳期中9(选择题),专题选择题为主;主观题正例较弱
认识发展的历程,感性具体,2,3,4,—,2024海淀二模17(2)·2026通州期末11·2025丰台期末10·2024朝阳期中9,与"思维抽象""思维具体"三联挂载
认识发展的历程,思维抽象,2,3,4,—,同上,硬规则§九口令:杂多现象→抽出核心概念→回到完整整体图景
认识发展的历程,思维具体,2,3,4,—,同上,与思维抽象+感性具体三联
系统观念（导论联动）,—,1,2,4,—,2026东城期末21·2024朝阳一模9·2026通州期末5·2026朝阳期中19(2),系统观念在选必三导论;主链可作子角度2分
推理（边界索引,不进思维主链）,三段论,0,—,12+,—,2024朝阳二模7(小项不当扩大)·2026丰台一模18(2)(大项不当扩大)·2025顺义一模7(大项)·2026东城期末Q6(保真前提)·2026顺义一模19(1)·2024朝阳期中Q9(演绎)等,硬规则§十八/§十九锁定
推理（边界索引）,充分条件假言推理,0,—,5+,—,2025西城二模16(2)·2026丰台一模18(2)·2026通州期末19(2)①·2026东城期末17(2)主张2,—
推理（边界索引）,必要条件假言推理,0,—,4+,—,2026丰台一模18(2)·2026通州期末19(2)②·2026东城期末17(2)主张2(混淆陷阱),—
推理（边界索引）,联言判断,0,—,2+,—,2024朝阳一模19(2)·2026东城期末17(2)主张1(矛盾律+联言),—
推理（边界索引）,选言判断/换质换位/归纳/演绎/类比/概念/判断/逻辑规则,0,—,30+,—,广泛分布于2024-2026各区,—
其他模块边界,必修四哲学题,—,—,30+,—,2024海淀二模16/19(法律)、2025东城期末18·2025顺义一模16·2026朝阳期中18等,只作为题源记录;不进选必三主链
其他模块边界,选必一国政经,—,—,40+,—,2026朝阳期中17·2026顺义一模19(3)·2024朝阳二模等,—
其他模块边界,选必二法律,—,—,30+,—,2024海淀二模19·2026朝阳期中等,—
其他模块边界,经济与社会/政治与法治,—,—,50+,—,广泛分布,—
2026 二模,(整批),0,0,0,blocked,—,本轮 source roots 未发现
2026 石景山期末,(整批),0,0,0,excluded,—,用户裁定整模块排除（除非用户提供新评分细则源）
