entry_id,suite,year,district,stage,question_no,sub_question,完整设问,材料动作,总帽子,小方法,触发逻辑,答案句,框架落点,题型标签,证据等级,细则位置,源路径,备注
E-2024朝阳一模-19-1,2024朝阳一模,2024,朝阳,一模,19,(1),生生之宇宙观体现了辩证思维的____①____特征，人效法天地之德体现的推理类型是____②____推理。,生生之宇宙观把宇宙看成不断生发、变化、化育万物的过程；'人效法天地之德'是把天地的生发之德映射到人身上，由已知（天地）推出未知（人应当如何）。,辩证思维 + 类比推理,辩证思维 / 动态性 ; 类比推理,'生生'强调宇宙不断变化创造（动态性，不是静态平衡）；'效法'强调把对象A的属性迁移到对象B（类比推理）。,①动态性（替换：用变化发展的观点看问题、用矛盾运动的观点看问题、创新——替换给1分） ; ②类比推理（无变通）,辩证思维 / 动态性 ; 推理 / 类比推理（推理边界索引，不进思维主链正文）,辩证思维特征+推理形式填空,A-formal,2024朝阳一模 Q19(1) 阅卷总结：①动态性，替换：变化发展观/矛盾运动观/创新给1分；②类比推理，无变通。,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024朝阳一模/细则/2024朝阳一模细则.pptx,动态性挂思维主链；类比推理只挂推理边界索引。
E-2024朝阳一模-19-2,2024朝阳一模,2024,朝阳,一模,19,(2),'夫大人者，与天地合其德，与日月合其明，与四时合其序'是哪种复合判断？该复合判断为真的条件是什么？,句子由三组并列内容（天地合其德、日月合其明、四时合其序）构成同一主语下的多个支判断；几个支判断必须同时为真整个判断才为真。,形式逻辑（C-boundary——纯判断知识，不进选必三思维主链）,联言判断 ; 联言判断的真值条件,句子是用'与...合...'重复并列结构连接成的复合判断 → 联言判断。整体真值仅当各联言支都为真才为真。,该判断是联言判断（错别字'连言判断'不给分；表述不准确如'充分/必要条件联言判断'不给分）。 ; 当且仅当组成它的各（每）个联言支都是真的，这个联言判断才是真的。 ; 变通：如果有一个联言支是假的，这个联言判断就是假的（2分）；'全真才真，一假即假'（表述不规范2分）。,推理边界 / 复合判断 / 联言判断（仅推理索引，不进思维主链）,联言判断辨识+真值条件填空,A-formal,2024朝阳一模 Q19(2) 阅卷总结：写出联言判断2分；当且仅当各（1分）联言支都是真的（1分），这个联言判断才是真的（1分）。,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024朝阳一模/细则/2024朝阳一模细则.pptx,C-boundary：纯形式逻辑题，不进思维主观题主链。
E-2025东城期末-16,2025东城期末,2025,东城,期末,16,,（登月服设计）说明该登月服设计如何体现创新思维。,登月服把服装造型设计与火箭形象、传统文化联系起来；提前预判月面特殊环境和航天员登陆后需求，据此设计航天服细节；聚焦完成登月任务核心问题，综合考虑月面环境、航天员行走等不同需要。,创新思维,三新（思路新/方法新/结果新；或多向性、跨越性、独特性） ; 聚合思维 + 发散思维 ; 联想思维 ; 超前思维,'综合考虑月面环境与航天员行走等不同需要'→发散与聚合；'服装造型与火箭形象、传统文化联系'→联想思维（跨越性联结）；'提前预判月面特殊环境与登陆后需求'→超前思维。整套设计满足'思路新+方法新+结果新'三新特征。,登月服的设计体现了思路新、方法新、结果新（或'创新思维具有多向性、跨越性、独特性'，写出任一关键词1分）。 ; 聚焦完成登月任务核心问题，综合考虑月面环境、航天员行走等不同需要，体现了聚合思维和发散思维。 ; 把服装造型设计和火箭形象、传统文化联系起来，体现了联想思维。 ; 提前预判月面特殊环境和航天员登陆后需求，据此设计航天服细节，体现了超前思维。,创新思维 / 三新 ; 创新思维 / 发散与聚合 ; 创新思维 / 联想思维 ; 创新思维 / 超前思维,创新思维多角度（第一层三新1分，第二层具体方法 1点2分/2点3分，最高3分；通篇只答三新最多2分；无学科术语只析材料1分）,A-formal,2025东城期末 Q16 阅卷细则：第一层创新思维表现/特点1分；第二层具体方法（聚合发散、联想、超前）3点写对1点2分、2点3分；通篇只答创新思维表现+特点最多2分；无学科术语1分。,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025东城期末/细则/2025东城期末细则.pptx,易错：只答三新而不举出具体的发散/聚合、联想、超前；只举一种思维就停手。
E-2025丰台期末-16,2025丰台期末,2025,丰台,期末,16,,（多种'界'的联想）在社会生活中，无处不见'界'的存在，请你运用辩证思维谈谈对'界'的理解。,边防战士的'国界'、援外医生的'病毒无国界'、女排队员的'界内/界外'、法律人的'边界'、太空教师的'跨界'——多种'界'的并列与对照，引出'界'的辩证统一。,辩证思维,矛盾对立统一 ; 整体性 / 系统优化 ; 质量互变 / 适度原则 ; 动态性（界的扩张、跨界）,多种'界'之间存在区别（不同领域、对象、形式）和联系（都是分隔与连接的统一）；'守界与跨界'对立而又统一；女排'界内/界外'的反复争夺指向矛盾的对立统一；法律'守与越'指向适度原则与质量互变。,运用矛盾对立统一观：'界'与'非界'、'守界'与'跨界'是对立统一的关系，二者相互依存又相互转化，应在矛盾中把握'界'的本质。 ; 坚持系统观念与整体性：各种'界'共同构成社会生活的边界系统，要立足整体、系统结构有序，把不同领域的'界'统一在维护秩序与促进合作的整体目标上。 ; 遵循质量互变规律（适度原则）：'界'的存在体现量的规定性，越界与守界的关键在于度——既要尊重界限的边界值，也要在质变与量变之间保持动态平衡。 ; 用动态性思维（发展观）：'界'不是凝固不变的，随着实践和时代发展，国界在交往中互通、领域在跨界中融合，'界'本身也在生发新的内涵。,辩证思维 / 矛盾分析法 ; 辩证思维 / 整体性 ; 辩证思维 / 质量互变 ; 辩证思维 / 动态性,辩证思维多角度选答题（开放型）,A-support,2025丰台期末 Q16 评分标准：水平4（7-8分）从至少2个维度运用至少3个知识点，论证逻辑严密结合材料；水平3（4-6分）从至少2个维度运用至少2个知识点；水平2（1-3分）罗列知识最多3分。,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025丰台期末/细则/2025丰台期末细则.pptx,细则不是采点式，是采意分档；只标 A-support，因细则无明确给分点链。开放性辩证思维题，本题正例适合在'谈对X的理解'类题中迁移。
E-2026东城期末-21,2026东城期末,2026,东城,期末,21,,（区域发展势能转化）思维方法角度——运用系统观念/科学思维/辩证思维/矛盾观/尊重客观规律，谈谈如何把区域发展落差的势能转化为动能。,京津冀立足比较优势协作；长三角跨域审批协同；粤港澳金融科技多领域协同；东北/中部/西部各按定位协调推进——多个区域要素被纳入'势能转化'的整体战略。,系统观念 / 科学思维 / 辩证思维任一,系统观念 / 整体性 ; 辩证思维 / 矛盾分析法 ; 科学思维 / 尊重客观规律,多个区域被纳入一个国家战略 → 系统观念/整体性；区域发展不均衡而又共同推进 → 矛盾观；按区域客观条件谋势 → 尊重客观规律。,运用系统观念：立足整体、统筹全局，把京津冀、长三角、粤港澳、东北、中部、西部作为相互联系的部分，在整体最优中以优势地区带动其他地区发展。 ; 运用辩证思维（矛盾观）：抓住区域间发展不平衡这一主要矛盾，按比较优势分工协作，统筹东中西部、南北方，在矛盾的对立统一中实现协调发展。 ; 运用科学思维（尊重客观规律）：尊重各区域自然禀赋与发展基础的差异，按客观规律和当前发展阶段制定区域战略，使势能转化落到客观条件支持的领域。,系统观念 ; 辩证思维 / 矛盾分析法（辅助） ; 科学思维 / 尊重客观规律（辅助）,综合题中的思维方法角度（任一2分）,A-formal,2026东城期末 Q21 细则：思维方法角度（系统观念/科学思维/辩证思维/矛盾观/尊重客观规律），任意一点2分。,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026东城期末/细则/2026东城期末细则.pptx,本题主链是综合题（党/理念/人民立场/系统思维），思维方法只是一个2分子角度。可作系统观念辅助挂载。
E-2026顺义一模-21,2026顺义一模,2026,顺义,一模,21,二（怎么做）,运用'审势、乘势、驭势'的智慧，谈谈如何将'势'落到中国式现代化建设上（怎么做角度）。,'势'是事物发展的趋势和方向，具有客观规律性；推进中国式现代化建设的'势'是历史发展总趋势、时代前进大方向。题目要求从哲学/政治/经济/文化/国政经多角度落到'怎么做'。,科学思维 + 辩证思维（被来源支持的复合）,科学思维 / 客观性（充分调查研究、洞察百年变局） ; 科学思维 / 超前思维（事物发展趋势预判） ; 辩证思维 / 整体性（统筹中华民族伟大复兴战略全局与世界百年未有之大变局） ; 辩证思维 / 矛盾分析法（既两点论又重点论；前进性与曲折性） ; 辩证思维 / 量变质变 ; 辩证思维 / 内外因结合,'势'本身要求把握客观规律（科学思维客观性）和发展趋势（超前思维）；'统筹百年变局与民族复兴全局'→整体性；'迎难而上、应对风险'+'稳中求进'→矛盾分析+量变质变；'立足自身+主动融入世界'→内外因结合。,客观性：充分调查研究，深刻洞察百年变局、民族复兴全局与中国特色社会主义发展大势，了解国情、世情、党情、社情、民情，制定正确的发展战略和规划。 ; 辩证性：坚持两点论和重点论相结合，矛盾对立统一、要全面一分为二地看问题；统筹中华民族伟大复兴战略全局和世界百年未有之大变局；迎难而上沉着应对风险挑战。 ; 内外因结合：充分利用国内外有利条件，克服不利条件，既立足自身发展实际、依靠自身力量谋发展，又主动融入世界经济、在开放合作中实现发展。 ; 前进性曲折性 / 量变质变：把握历史发展总趋势是前进上升的，过程是曲折的；按阶段量的积累达到质的飞跃。,科学思维 / 客观性 ; 科学思维 / 超前思维（势的预判） ; 辩证思维 / 整体性 ; 辩证思维 / 矛盾分析法 ; 辩证思维 / 量变质变 ; 辩证思维 / 内外因结合,哲学+辩证思维多角度选答题（任意4个角度共8分）,A-formal,2026顺义一模 Q21（二·怎么做）：哲学/政治/经济/文化/国政经五角度，每角度2分，任意4个角度共8分。哲学层面包括客观性、辩证性、价值性、超前思维等。,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026顺义一模/细则/2026顺义一模细则.pptx,硬样本Q19(2)是科学思维三性专题；本题Q21把科学+辩证+超前混合在'势'主题下。
E-2025顺义一模-16,2025顺义一模,2025,顺义,一模,16,,（依细则确认设问要求'运用辩证否定观分析'，材料涉及对旧产业/旧模式的扬弃升级）,对原有产业/资源/模式的扬弃改造（材料以GitHub coverage 标记 '辩证否定' 节点）。,辩证思维,辩证否定 / 扬弃,既保留原有合理因素，又克服其局限，在更高层次上发展——这是辩证否定的核心机制。,辩证否定是事物自身的否定，是联系的环节、发展的环节，实质是扬弃。在材料中既保留了原有产业/模式的合理内核，也克服了其不适应新发展阶段的局限，并在融合现代要素中实现升级。,辩证思维 / 辩证否定,辩证否定/扬弃专题,A-support,2025顺义一模 Q16 细则.docx 注：本机已有 bef8332e23ce30ac_2025顺义一模细则.txt 缓存，本轮未单独打开核读全文，证据等级降为A-support，等待回源补完整给分点。,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区一模/2025顺义一模/细则/2025顺义一模细则.docx,标 A-support；下一轮 fusion 前必须回源把 6 分给分点链补完。
E-2025西城二模-16-2,2025西城二模,2025,西城,二模,16,(2),（充分条件假言推理形式逻辑题，原文涉及创新与某条件关系，按硬规则§十八仅挂充分条件假言推理）,材料给出条件结构：如果p，那么q。学生需判断推理形式正误。,形式逻辑（C-boundary——不进思维主链；只挂推理边界）,充分条件假言推理（硬规则§十八明文：本题只挂充分条件假言推理）,前件是后件的充分条件 → 肯前必肯后、否后必否前；不能从'否前'推出'否后'，也不能从'肯后'推出'肯前'。,充分条件假言推理的有效式：肯定前件式、否定后件式；无效式：否定前件式、肯定后件式。本题正/错按是否符合规则判定。,推理 / 充分条件假言推理（推理边界索引）,充分条件假言推理（硬样本）,A-formal,2025西城二模 Q16(2) 细则。硬规则§十八明文：'2025西城二模16(2)只挂充分条件假言推理'。,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025西城二模/细则/2025西城二模细则.docx,C-boundary。本轮未单独读细则全文核对每一分给分；进入选择题陷阱/推理形式索引而非思维主链。
E-2026丰台一模-18-2,2026丰台一模,2026,丰台,一模,18,(2),（必要条件假言推理 + 三段论大项不当扩大双重形式逻辑题）,题目同时设置必要条件假言判断和三段论的双重测试，需要识别推理形式与谬误。,形式逻辑（C-boundary）,必要条件假言推理 ; 三段论大项不当扩大,必要条件：否前必否后、肯后必肯前；三段论：大项在前提中不周延，结论中扩大 → 大项不当扩大谬误。,必要条件假言推理：'只有...才...'句式中前件是后件的必要条件；本题作答按规则识别推理是否有效。 ; 三段论大项不当扩大：大项在大前提中不周延，但在结论中周延（变成全称），即犯了大项不当扩大谬误。,推理 / 必要条件假言推理 ; 推理 / 三段论谬误 / 大项不当扩大,必要条件假言推理 + 三段论谬误双重题,A-formal,硬规则§十八明文：'2026丰台一模18(2)挂必要条件假言推理与三段论大项不当扩大'。,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026丰台一模/细则/2026丰台一模细则.pptx,C-boundary。本轮未读完整 pptx 给分点；下一轮 fusion 前补给分细则。
E-2026东城期末-17-2,2026东城期末,2026,东城,期末,17,(2),运用形式逻辑知识，论证三项主张是否符合逻辑。,主张1（既要保留一砖一瓦也要拆除改造）→ 矛盾律 / 联言判断；主张2（必须引入智能垃圾箱+如果引入就能提升效率）→ 充分vs必要条件假言推理混淆；主张3（有些科学民主方案是这种模式制定的+某方案是这种模式制定→某方案是科学民主方案）→ 三段论中项不周延。,形式逻辑（C-boundary）,矛盾律（联言判断不可同真） ; 充分条件假言推理混淆为必要条件（轻率概括） ; 三段论中项不周延,识别每个主张的逻辑形式，判断是否违反相应规则。,主张1违反矛盾律：'完整保留一砖一瓦'与'必要拆除改造'之间不能同真，自相矛盾（联言支不可能都为真）。 ; 主张2犯了把充分条件假言判断混淆为必要条件的错误：'如果引入智能垃圾箱，效率就能提升'是充分条件，肯前必肯后、否后必否前；从这一前提得出'要提升效率必须引入'是错误地把充分条件当成了必要条件。 ; 主张3犯了三段论中项不周延的错误：'有些科学民主方案是采用此模式制定的'，'此模式制定'作为中项在大前提和小前提中都不周延，因此结论不必然真。,推理 / 矛盾律 ; 推理 / 充分条件假言推理（与必要条件区分） ; 推理 / 三段论谬误 / 中项不周延,形式逻辑三主张诊断题,A-formal,2026东城期末 Q17(2) 细则：主张1矛盾律2分；主张2充分条件假言推理规则1分+解释1分（或'轻率概括'2分）；主张3中项不周延2分。,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026东城期末/细则/2026东城期末细则.pptx,C-boundary：不进思维主观题主链。但是本题在选择题陷阱与推理边界索引中是综合性硬样本：同时考三种逻辑规则识别。
E-2024朝阳期中-19,2024朝阳期中,2024,朝阳,期中,19,,（按 GitHub control matrix 标记：分析与综合、创新思维、发散思维、概念、科学思维、结论、联想思维、聚合思维、超前思维、辩证思维、迁移、逆向思维。设问完整文本待回源 RTF 文档核读。）,涉及多种思维方法的综合题（依签名标签）。,创新思维（多角度，依标签）,发散思维 ; 聚合思维 ; 联想思维 ; 超前思维 ; 逆向思维 ; 三新（推断）,按 GitHub coverage matrix 的标签字段，本题涉及多种创新思维方法。具体材料触发链需要回源 RTF 细则核读后确认。,（待回源补完整给分点链；本轮先记录题源已确认存在，但答案句未单独核对。）,创新思维 / 发散与聚合 ; 创新思维 / 联想思维 ; 创新思维 / 超前思维 ; 创新思维 / 逆向思维,创新思维多角度复合题,A-support,2024朝阳期中 Q19 细则.rtf（25b6e8c2207d9d9e_2024朝阳期中细则.txt 已缓存，但本轮未独立读完整 RTF 全文逐题对应）。,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区期中/2024朝阳期中/细则/2024朝阳期中细则.rtf,标 A-support；fusion 前必须回源把 RTF 拆开按题号对齐。本条目仅作为题源在册的占位与索引记录。
E-2025海淀期末-17,2025海淀期末,2025,海淀,期末,17,,（按 control matrix 标签：客观性、想象、科学思维。设问完整文本待回源细则.pptx 核读。）,涉及科学思维的客观性 + 想象（创新思维边界）。,科学思维,客观性 ; （边界：想象——属创新思维'迁移和想象'，需按设问归属）,待回源核读。,（待回源补完整给分点链。）,科学思维 / 客观性 ; 创新思维 / 迁移和想象（依设问归属，可能仅辅助）,科学思维主链 + 想象辅助,A-support,2025海淀期末 Q17 细则.pptx（4b22b6c78aaddb3e_2025海淀期末细则.txt 已缓存，本轮未独立按题号对齐）。,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025海淀期末/细则/2025海淀期末细则.pptx,占位+索引；fusion 前必须回源补完整给分点链与设问。
E-2024海淀二模-17-1,2024海淀二模,2024,海淀,二模,17,(1),结合材料，说明此次时间利用调查是如何体现科学思维的。,全国时间利用调查首次拓宽到全国、首次扩展至6周岁以上常住成员、首次全面使用电子化采集方式；与前两次相比内容更丰富、活动分类更细化；分阶段实施且每阶段任务明确（2024.2-4准备、2024.5-年底实施、2024年底-2025年资料开发应用）。,科学思维（设问硬锁定，不写成三模块并列）,客观性 ; 探索性/方法更新（细则术语：思路新/方法新/结果新） ; 整体安排（分阶段实施、任务明确——细则按辩证思维整体性给分池）,调查目的写明'全面、真实、准确了解我国居民时间利用情况'——指向认识的客观性；'调查思路新、方法新'、'电子化采集'、'敢用新手段试用新工具'——指向探索性/方法更新；'分阶段实施、每个阶段主要任务明确'——指向整体安排。三层都指向'让认识更接近客观真实'这一科学思维核心。,科学思维追求认识的客观性。本次时间利用调查为了全面、真实、准确了解居民时间利用情况，调查范围首次拓宽全国、调查对象首次扩展6周岁以上常住成员、首次全面使用电子化采集方式，使认识尽可能贴近实际居民生活，体现客观性要求。 ; 科学思维要求结果具有探索性、方法不断更新。本次调查采用全新思路与方法，敢用新手段、试用新工具，电子化采集替代传统纸质问卷，使数据获取与处理更高效、更细化，体现方法的探索性与创新性。 ; 科学思维要求按整体安排推进。本次调查工作分2024年2-4月准备、2024年5月至年底实施、2024年底至2025年资料开发应用三阶段，每个阶段主要任务明确、上下衔接，使整套调查作为一个有机整体被推进，体现思维的整体性安排。,科学思维 / 客观性 ; 科学思维 / 探索性与方法更新（来源支持的扩展节点） ; 科学思维 / 整体安排（细则在辩证思维角度池给分，本设问下可作为科学思维下落点）,科学思维三层硬样本（设问 SCIENCE_ONLY，但028细则在三角度池给分）,A-formal,2024海淀二模 Q17(1) 028细则：科学思维角度2分（客观性、预见性）；创新思维角度3分（三新、发散/聚合、超前）；辩证思维角度2分（整体性、分析与综合、矛盾分析法）。,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024海淀二模/细则/2024海淀二模细则.docx,硬规则§16锁定为SCIENCE_ONLY_SOURCE_SUPPORTED：原题只问科学思维，正文按科学思维设问下的来源支持落点写。028细则三角度是评卷时的得分宽容池，学生从客观性+探索性/方法更新+整体安排即可拿满。预见性028细则中提及但学生答案落点未单独列入（结果未明确指向预测）。
E-2024海淀二模-17-2,2024海淀二模,2024,海淀,二模,17,(2),调查研究过程一般可分为准备阶段、调查了解阶段、分析研究阶段、总结阶段。从认识发展的历程角度，说明'调查了解阶段'与'分析研究阶段'的关联。,调查研究流程从准备阶段→调查了解阶段→分析研究阶段→总结阶段；调查了解先采集事实信息，分析研究在事实基础上抽象本质并重建整体规律。,科学思维（认识发展的历程：感性具体→思维抽象→思维具体）,感性具体 ; 思维抽象 ; 思维具体 ; 二者相互依赖、不可分割（不能颠倒）,调查了解阶段的对象是表层、可直接观察的活动数据，是关于事物外部、整体的具体认识——属于感性具体；分析研究阶段把这些杂多现象抽出主要类型、规律性联系（思维抽象），并把这些抽象规律重新组织成对居民时间利用整体规律的理性把握（思维具体）。两阶段是认识发展上的依次递进、相互依赖。,调查了解阶段对事物的认识属于感性具体。 ; 认识要向前发展，就需要通过分析研究对事物进行思维抽象，并使认识发展到思维具体。 ; 调查研究的这两个阶段相互依赖、不可分割（次序不可颠倒）。,认识发展的历程 / 感性具体 ; 认识发展的历程 / 思维抽象 ; 认识发展的历程 / 思维具体,思维抽象与思维具体—两阶段关联硬样本,A-formal,2024海淀二模 Q17(2) 028细则：感性具体1分、思维抽象/思维具体（理性认识）1分、两阶段相互依赖2分。注释：关系不能颠倒，颠倒不给分。替代：实践决定认识1分，或认识具有反复性、无限性、上升性1分。,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024海淀二模/细则/2024海淀二模细则.docx,易错：颠倒次序——把分析研究当感性具体或调查了解当思维抽象，028细则明确'颠倒不给分'。可作为思维抽象/思维具体非选择题硬样本。
E-2025海淀二模-20,2025海淀二模,2025,海淀,二模,20,,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。,共享发展理念分为全民共享（人人共享）、全面共享（政治经济文化等各领域共享）、共建共享（人人参与）、渐进共享四个层级，从主体范围、领域、参与方式、推进节奏四方面递进展开。,辩证思维,分析与综合 / 系统优化 / 整体性 ; 质量互变 / 动态性 ; 辩证否定（评标实录补充） ; 矛盾分析法（补充，最多2分）,共享主体的全面（人人共享）+ 建设领域的全面（政治经济文化）+ 权利的全面+共建（人人参与）—— 每一项都把多个要素放在一起看（分析与综合/系统优化/整体性）；'渐进共享'同时涉及阶段性时代变化与连续性间断性的统一，对应质量互变与动态性；从已有共享理念到共建共享、新型共享是对旧共享形式的扬弃（辩证否定）；机遇/挑战或新/旧的关系是矛盾分析法的具体形态。,立足整体、联系，把握系统结构有序、整体最优，运用分析与综合（整体性、系统优化）：共享主体的全面（人人共享）、建设领域的全面（政治经济文化）、权利的全面、共建的全面（人人参与），把不同主体、不同领域、不同环节的共享统一在共同富裕这一整体目标上。 ; 遵循质量互变规律（动态性）：渐进共享体现连续性与间断性、渐进性与飞跃性的统一，发展步骤循序渐进，按阶段性时代变化推进，每一阶段量的积累达到时实现质的跃升，把共同富裕从局部成果推向全体人民。 ; 运用辩证否定（扬弃）：在保留以往共享成果的同时，克服平均主义和单一分配方式的局限，发展共建共享、按贡献分配和兜底保障相结合的新形态，使共享理念在继承中创新。 ; 坚持矛盾分析法：具体分析共享中各群体、各领域、各阶段的不同情况和主要矛盾，统筹兼顾发展和分配、效率与公平、当前与长远，推动共同富裕（最多2分）。,辩证思维 / 分析与综合（整体性） ; 辩证思维 / 质量互变（动态性） ; 辩证思维 / 辩证否定 ; 辩证思维 / 矛盾分析法（补充）,辩证思维多角度选答题（角度池3-4选）,A-formal,2025海淀二模 Q20 细则（fc56fdd304fde118）：可选知识角度1分+阐述层面2分；分析与综合/系统优化/整体性、质量互变/动态性、辩证否定 三角度池。补充：从矛盾分析法角度，理论正确、材料分析恰当则最多给2分。评标实录额外补充：辩证否定显然没问题，整体性、动态性、辩证否定 1+1+1判分。,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025海淀二模/细则/2025海淀二模细则.docx ; 评标：2025年海淀二模评标实录.docx,硬样本：辩证思维多角度题，不可写成'三角度全必答'。学生写出三角度即满分，矛盾分析法是补充最多2分。同时易错：把每一'共享'词面塞进系统优化（系统结构有序），但材料更明确支持的是分析与综合的整体性。
