entry_id,suite,year,district,stage,question_no,题干摘要,A选项,B选项,C选项,D选项,①选项,②选项,③选项,④选项,正确答案,答案源,正确项理由,陷阱解析,陷阱类型,可入学生稿,framework_target,备注
C-2024朝阳一模-6,2024朝阳一模,2024,朝阳,一模,6,要想准确鲜明地表达思想，思维必须合乎逻辑。下列表达中，符合逻辑规则的是,财产权可分为物权、债权、知识产权、著作权、商标权（越级划分）,我不赞成所有人都有崇高的理想，也不赞成所有人都没有崇高的理想（排中律）,所有的科技人员都是懂计算机的，并且有些不懂计算机的是科技人员（矛盾律）,我无法一天读完老舍的作品，《茶馆》是老舍的作品，因此我无法一天读完《茶馆》（四概念）,,,,,B,2024朝阳一模教师版（细则d64506799887753e附答案 Q6=B）,B 项'既不赞成全部都有也不赞成全部都没有'是合法的复合判断（同一主体的矛盾对立两端均不被本人采纳），不违反排中律——排中律要求'A 与非 A 不能同假'，但 B 项中的两支判断不是矛盾关系而是反对关系（'全部都有'与'全部都没有'可以同假），因此 B 不违反排中律，符合逻辑规则。,"{""A"": ""'财产权可分为物权、债权、知识产权、著作权、商标权'是越级划分错误——著作权和商标权属于知识产权下位概念，不能与上位概念并列分项。"", ""B"": ""正确：'反对关系'可以同假，本表达不违反排中律。"", ""C"": ""'所有科技人员都是懂计算机的'与'有些不懂计算机的是科技人员'矛盾——两个判断不能同真（前者全称肯定否定后者特称否定），违反矛盾律。"", ""D"": ""'老舍的作品'在第一句指作品集合（包含若干部）、第二句指单部作品《茶馆》——同一概念在不同前提中有不同外延，犯四概念错误。""}",边界陷阱 / 形式逻辑规则识别（C-boundary 推理边界）,yes（仅作推理形式选择题硬样本，不进思维主链）,推理 / 形式逻辑规则识别,C-boundary：进入推理边界索引，不进思维方法主观题主链。
C-2024朝阳二模-7,2024朝阳二模,2024,朝阳,二模,7,（依 GitHub control matrix 标签：判断;前提;归纳;推理;科学思维;结论。具体题面文本和选项需回源 9223488a4b5e6f80_003202405朝阳高三二模政治试题.txt 核对。）,（待回源补全）,（待回源补全）,（待回源补全）,（待回源补全）,,,,,待回源（依硬规则§十八：'2024朝阳二模7必须锁定为小项扩大：小项是娱乐工具，在前提中不周延而在结论中扩大'。这与GitHub coverage matrix 上的'归纳/前提/结论'标签存在冲突，按硬规则裁定为三段论小项不当扩大谬误识别题）,硬规则§十八明文,按硬规则锁定：本题考三段论谬误名称纠错——小项'娱乐工具'在前提中不周延而在结论中扩大，犯小项不当扩大错误。,"{""通用"": ""易错把小项不当扩大误称为中项不周延或大项不当扩大；硬规则§十八明文：'小项不当扩大不能回流为中项不周延'。""}",边界陷阱 / 三段论小项不当扩大（推理边界）,yes（推理形式硬样本）,推理 / 三段论谬误 / 小项不当扩大,C-boundary。fusion 前需回源补完整题面与选项；硬规则锁定为小项不当扩大。
C-2025丰台期末-7,2025丰台期末,2025,丰台,期末,7,（依 GitHub control matrix 标签：超前思维。硬规则§十八明文：'2025丰台期末7只能挂边界陷阱/选必三干扰项/哲学唯物论伪装'。）,,,,,,,,,待回源,2025丰台期末教师版PDF,按硬规则裁定本题不是创新思维/超前思维正例，而是哲学唯物论披着选必三外壳的边界陷阱选择题。需要识别看似超前思维实则唯物论的伪装。,"{""通用"": ""易错把'未来规划'材料一律挂超前思维；本题陷阱在于材料其实指向哲学唯物论而非选必三超前思维。""}",边界陷阱 / 选必三干扰项 / 哲学唯物论伪装,yes（仅作边界陷阱）,边界 / 选必三干扰项库,硬规则§十八锁定。本轮未独立回读PDF原题；fusion 前必须回源补完整题面、四个选项、答案。
C-2025丰台期末-10,2025丰台期末,2025,丰台,期末,10,（依 GitHub control matrix 标签：归纳;思维具体;思维抽象;感性具体;推理;演绎推理;类比。题面待回源核对）,,,,,,,,,待回源,2025丰台期末教师版PDF,涉及思维抽象/思维具体/演绎/类比/归纳推理形式辨识。,"{""通用"": ""易错点：把'感性具体→思维抽象→思维具体'与'演绎推理'或'类比推理'混淆。""}",思维抽象与思维具体 vs 演绎推理（推理边界与认识发展历程的区分）,yes（认识发展历程辅助索引）,认识发展的历程 / 思维抽象与思维具体（辅助）,待回源补全。
C-2026顺义一模-3,2026顺义一模,2026,顺义,一模,3,（依 GitHub control matrix 标签：分析与综合;判断;动态性;整体性;质量互变。原卷答案 Q3=C）,,,,,,,,,C,2026顺义一模教师版PDF（缓存答案 Q3=C）,涉及辩证思维方法的多角度选择（分析与综合、动态性、整体性、质量互变）。,"{""通用"": ""易错点：在分析与综合 vs 整体性 vs 动态性 vs 质量互变中选错对应——需要严格对应材料动作。""}",辩证思维多角度区分,yes（辩证思维选择题正例，待回源补完整选项）,辩证思维 / 分析与综合 / 整体性 / 动态性 / 质量互变,待回源补完整选项。
C-2026顺义一模-5,2026顺义一模,2026,顺义,一模,5,（依 GitHub control matrix 标签：判断;发散思维;周延。原卷答案 Q5=D）,,,,,,,,,D,2026顺义一模教师版PDF（缓存答案 Q5=D）,涉及'判断的周延性 + 发散思维'混合考查。,"{""通用"": ""周延性是形式逻辑概念；发散思维是创新思维方法。本题易错把判断周延性误识为某种思维方法。""}",边界陷阱 / 形式逻辑判断周延 + 发散思维区分,yes（边界辅助）,推理边界 / 周延性,待回源补完整选项。
C-2026朝阳期中-13,2026朝阳期中,2026,朝阳,期中,13,（依 GitHub control matrix 标签：思维抽象;感性具体;推理;类比;联想思维。原卷答案 Q13=D）,,,,,,,,,D,2026朝阳期中教师版PDF（缓存答案 Q13=D）,涉及思维抽象 vs 类比推理 vs 联想思维 vs 感性具体的辨识。,"{""通用"": ""易错：把类比推理或联想思维误归为思维抽象与思维具体（硬规则§九：思维抽象与思维具体的口令是'杂多现象→抽出核心概念→回到完整整体图景'，不是类比或联想）。""}",思维抽象与思维具体 vs 联想思维 vs 类比推理,yes（思维抽象与思维具体辅助选择题）,认识发展的历程 / 思维抽象与思维具体,待回源补完整选项。
C-2026东城期末-Q-逻辑思维,2026东城期末,2026,东城,期末,Q（逻辑思维选项辨识题，原卷见'第6题解析：根据设问，可知该题型为加入前提使得三段论推理保真'）,乌毛蕨形成的镧独居石具有绿色提取前景；乌毛蕨形成的镧独居石（是）纯净无辐射的独居石。需要选出符合三段论推理规则的大前提。,有绿色提取前景的是纯净无辐射的独居石（必要条件假言判断；推论犯中项不周、大项不当扩大）,纯净无辐射的独居石具有绿色提取前景（√）,（中项在前提中至少周延一次，C选项错误）,（三段论只能有三个不同的项，D选项错误）,,,,,B,2026东城期末教师版PDF（细则Q6解析）,B 项'纯净无辐射的独居石（中项 - 全周延）具有绿色提取前景（大项）'符合三段论中项至少周延一次、不犯四概念、不犯中项不周延的规则。,"{""A"": ""必要条件假言判断'肯定后件必定肯定前件'的形式，犯中项不周延 + 大项不当扩大。"", ""B"": ""正确。"", ""C"": ""中项'纯净无辐射的独居石'在前提中不周延。"", ""D"": ""违反三段论只能含三个不同的项的规则（四概念）。""}",边界陷阱 / 三段论保真大前提选项辨识,yes（推理形式硬样本，C-boundary）,推理 / 三段论 / 保真前提选择,原卷题号需根据完整题号映射；本条目按'加入前提使三段论保真'类型识别。
C-2024朝阳一模-9,2024朝阳一模,2024,朝阳,一模,9,几名中学生针对许多小区存在闲置车辆长期占用车位...在模拟政协活动中提出解决该问题的提案...从'模拟提案'到'正式提案'的探索,,,,,需要针对所研究的问题制定具体政策，协调多方利益,有益于提高学生引领社会治理、参与政治生活的能力,需要坚持系统观念，有序地完成调查研究和思考任务,有益于增进学生对于中国特色社会主义制度的特点和优势的理解,D（③④）,2024朝阳一模教师版（细则d64506799887753e Q9=D）,③对应'调查研究、充实内容、完善提案'→ 系统观念；④对应'政协-人大-党委协同、模拟提案到正式提案'→ 中国特色社会主义制度的特点和优势。,"{""①"": ""中学生不能'制定具体政策'，他们提出的是建议；该项主体错位。"", ""②"": ""中学生通过模拟政协是'参与'政治生活，不是'引领社会治理'，主体能力定位错误。"", ""③"": ""正确。"", ""④"": ""正确。""}",选择题陷阱 / 系统观念正例 + 主体定位陷阱（中学生不能'制定政策''引领治理'）,yes（系统观念正例）,系统观念（导论联动）,系统观念是选必三导论概念；本题在选择题层面把系统观念落到学生参与政协实践。
C-2026通州期末-11,2026通州期末,2026,通州,期末,11,'河'者，水德流润，载物通变也；'合'者，百川归海，众志凝也；'和'者，阴阳相济，万物谐也。大运河（通州段）贯通古今，融水脉、文脉、人脉于一身，承古开新，化身为文化之河、生态之河、发展之河、民生之河。此'河—合—和'理念，既赓续传统智慧，亦映照时代精神，其诠释过程：,实现了对运河文化从感性认识到理性认识的迁移和飞跃,展现了从分析到综合、从普遍—特殊—普遍的思维进阶,体现了从感性具体到思维抽象再到思维具体的发展过程,呈现了对'水脉—文脉—人脉'进行类比推理与系统整合,,,,,C,2026通州期末教师版PDF（参考答案 第一部分Q11=C）,'河'是大运河可观察的水流物理形态、'合'与'和'是从这些杂多现象中抽出的核心精神（百川归海、阴阳相济），'文化之河/生态之河/发展之河/民生之河'是把抽象出来的'合''和'内核又重新落回到大运河多元整体图景。这个过程严格符合教材'感性具体→思维抽象→思维具体'的认识发展链条。,"{""A"": ""'迁移'是创新思维的术语，不是认识发展过程的术语；'感性认识到理性认识的飞跃'忽略了思维抽象与思维具体的细分。把感性具体当成感性认识、把思维抽象等同于'飞跃'是常见错读。"", ""B"": ""'普遍—特殊—普遍'是分析与综合中演绎归纳一类的描述，不是思维抽象与思维具体的核心机制。该项是把分析综合伪装成思维抽象具体，需要按硬规则区分。"", ""C"": ""正确：'杂多现象→抽出核心概念→回到完整整体图景'三段链条完整。"", ""D"": ""类比推理是把已知规律迁移到不同对象，本题不是把'河'与'合''和'类比；'系统整合'是把要素协同形成机制，更接近系统思维而非思维抽象与思维具体。""}",思维抽象与思维具体 vs 分析与综合（B错） ; 思维抽象与思维具体 vs 创新思维下的迁移/飞跃（A错） ; 思维抽象与思维具体 vs 类比推理 + 系统整合（D错）,yes,认识发展的历程 / 感性具体→思维抽象→思维具体,硬样本Q11：永久硬规则规定口令为'杂多现象→抽出核心概念→回到完整整体图景'。看到'合'、'和'、'融于一身'、'整体'不能直接选系统整合/分析综合/联想。
