moved_at,category,from,to
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude1120260602.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude1120260602.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude1120260602.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude1120260602.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude11_20260602.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude11_20260602.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude11_20260602.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude11_20260602.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude12_20260603.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude12_20260603.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude12_20260603.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude12_20260603.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude12_残留17条硬模板_建议替换句_20260603.md,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude12_残留17条硬模板_建议替换句_20260603.md
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude13_20260603.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude13_20260603.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude13_20260603.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude13_20260603.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude14_20260603.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude14_20260603.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude14_20260603.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude14_20260603.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude15_20260603.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude15_20260603.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude15_20260603.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude15_20260603.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude16_20260603.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude16_20260603.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude16_20260603.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude16_20260603.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude17_20260603.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude17_20260603.docx
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/Claude17_20260603.pdf,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/Claude17_20260603.pdf
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/claude_v6_residuals_20260602.md,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/claude_v6_residuals_20260602.md
2026-06-03T20:13:56,07_渲染检查,/Users/wanglifei/Desktop/xb1_round18_render,/Users/wanglifei/Desktop/桌面整理_20260603/07_渲染检查/xb1_round18_render
2026-06-03T20:13:56,07_渲染检查,/Users/wanglifei/Desktop/xb1_round19_final_render,/Users/wanglifei/Desktop/桌面整理_20260603/07_渲染检查/xb1_round19_final_render
2026-06-03T20:13:56,07_渲染检查,/Users/wanglifei/Desktop/xb1_round19_render,/Users/wanglifei/Desktop/桌面整理_20260603/07_渲染检查/xb1_round19_render
2026-06-03T20:13:56,06_视频与自媒体,/Users/wanglifei/Desktop/利物浦点球争议_真实素材版_v1.mp4,/Users/wanglifei/Desktop/桌面整理_20260603/06_视频与自媒体/利物浦点球争议_真实素材版_v1.mp4
2026-06-03T20:13:56,06_视频与自媒体,/Users/wanglifei/Desktop/利物浦点球争议_评论短视频_v1.mp4,/Users/wanglifei/Desktop/桌面整理_20260603/06_视频与自媒体/利物浦点球争议_评论短视频_v1.mp4
2026-06-03T20:13:56,02_Claude送审与复核,/Users/wanglifei/Desktop/给Claude上传_最新_选必一讲义二级框架_Claude排版.docx,/Users/wanglifei/Desktop/桌面整理_20260603/02_Claude送审与复核/给Claude上传_最新_选必一讲义二级框架_Claude排版.docx
