ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_CC0002_2024_丰台_一模_17_01,CC0002_2024_丰台_一模_17,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8
A_CC0011_2024_丰台_二模_17_01,CC0011_2024_丰台_二模_17,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,论证,法律与生活,yes,yes,uncertain,no,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,F0048:rendered paper page 5; F0047/F0270:rubric text.
A_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用。,论证,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用。,F0015:paper page 7 lines 249-265; rendered/text source recovered after Cowork.
A_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",意义,法律与生活(默认),yes,yes,uncertain,no,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2
A_CC0040_2024_海淀_一模_19_01,CC0040_2024_海淀_一模_19,运用《法律与生活》知识，谈谈对本案判决的认识。,综合,法律与生活,uncertain,uncertain,yes,no,运用《法律与生活》知识，谈谈对本案判决的认识。,F0025:text | F0026:page 7 | F0249:text | F0251:page 7
A_CC0045_2024_海淀_二模_19_01,CC0045_2024_海淀_二模_19,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7
A_CC0054_2024_石景山_一模_17_01,CC0054_2024_石景山_一模_17,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,论证,不确定,uncertain,yes,uncertain,no,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,F0056:text | F0276:text
A_CC0061_2024_西城_一模_18_01,CC0061_2024_西城_一模_18,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,综合,法律与生活(默认),uncertain,uncertain,yes,no,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text
A_CC0063_2024_西城_二模_16_01,CC0063_2024_西城_二模_16,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,F0064:text | F0065:text | F0067:text | F0286:text | F0287:text | F0288:text
A_CC0077_2025_东城_一模_19_01,CC0077_2025_东城_一模_19,阅读材料，完成下表。,综合,法律与生活,yes,uncertain,uncertain,no,阅读材料，完成下表。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
A_CC0084_2025_东城_二模_19_01,CC0084_2025_东城_二模_19,阅读材料，完成下表。,综合,法律与生活,yes,uncertain,uncertain,no,阅读材料，完成下表。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
A_CC0092_2025_东城_期末_19_1_01,CC0092_2025_东城_期末_19_1,运用《法律与生活》和《政治与法治》知识，完成任务：（1）写出该方案遇到的法律问题。,综合,法律与生活,yes,uncertain,uncertain,no,运用《法律与生活》和《政治与法治》知识，完成任务：（1）写出该方案遇到的法律问题。,F0130:paper page 6 lines 199-227.
A_CC0103_2025_丰台_一模_19_01,CC0103_2025_丰台_一模_19,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,意义,法律与生活(默认),yes,yes,uncertain,no,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text
A_CC0119_2025_丰台_期末_19_01,CC0119_2025_丰台_期末_19,请运用《法律与生活》相关知识阐释法院的裁判理由。,论证,法律与生活,yes,uncertain,yes,no,请运用《法律与生活》相关知识阐释法院的裁判理由。,F0132:paper page 7 lines 255-280; F0131:rubric slides 45-47.
A_CC0125_2025_延庆_一模_19_01,CC0125_2025_延庆_一模_19,"运用《法律与生活》知识，说明你会如何进行调解并说
明理由。",原因,法律与生活,uncertain,uncertain,uncertain,yes,"运用《法律与生活》知识，说明你会如何进行调解并说
明理由。",F0078:page 7 | F0078:page 9
A_CC0131_2025_房山_一模_19_01,CC0131_2025_房山_一模_19,结合材料，谈谈“真创新”受到“真保护”的法治价值。,论证,法律与生活,yes,yes,uncertain,no,结合材料，谈谈“真创新”受到“真保护”的法治价值。,F0081:paper page 6 lines 227-236.
A_CC0137_2025_昌平_二模_20_01,CC0137_2025_昌平_二模_20,运用《法律与生活》知识，完成裁判理由。,原因,法律与生活,uncertain,uncertain,uncertain,no,运用《法律与生活》知识，完成裁判理由。,F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12
A_CC0143_2025_朝阳_一模_19_01,CC0143_2025_朝阳_一模_19,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,原因,法律与生活,yes,uncertain,yes,no,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text
A_CC0150_2025_朝阳_二模_20_01,CC0150_2025_朝阳_二模_20,"结合材料,运用《法律与生活》知识,分析上述案例。",说明,法律与生活,yes,uncertain,uncertain,no,"结合材料,运用《法律与生活》知识,分析上述案例。",F0117:text | F0119:page 6 | F0119:page 9
A_CC0157_2025_朝阳_期末_20_01,CC0157_2025_朝阳_期末_20,了解案件，分析事实，印证法理，参考示例，完成下表。,综合,法律与生活,yes,uncertain,uncertain,no,了解案件，分析事实，印证法理，参考示例，完成下表。,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20
A_CC0162_2025_海淀_一模_18_01,CC0162_2025_海淀_一模_18,运用《法律与生活》知识，谈谈对本案判决的认识。,综合,法律与生活,uncertain,uncertain,yes,no,运用《法律与生活》知识，谈谈对本案判决的认识。,F0089:page 2 | F0090:page 5 | F0090:page 8
A_CC0180_2025_海淀_期末_20_01,CC0180_2025_海淀_期末_20,下表列出了《解释》部分条款。参考示例，完成下表。,综合,法律与生活,yes,uncertain,uncertain,no,下表列出了《解释》部分条款。参考示例，完成下表。,F0139:paper text around Q20 and attached table.
A_CC0181_2025_海淀_期末_21_01,CC0181_2025_海淀_期末_21,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,原因,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,F0139:text
A_CC0189_2025_石景山_一模_20_01,CC0189_2025_石景山_一模_20,阅读材料，参考示例，完成下表。,综合,法律与生活,yes,uncertain,uncertain,no,阅读材料，参考示例，完成下表。,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
A_CC0195_2025_西城_一模_20_01,CC0195_2025_西城_一模_20,结合材料，综合运用经济和法律的知识，说明上述做法能促进社会公平与经济效率的平衡。,说明,法律与生活,yes,uncertain,uncertain,no,结合材料，综合运用经济和法律的知识，说明上述做法能促进社会公平与经济效率的平衡。,F0094:paper page 7 lines 276-283.
A_CC0200_2025_西城_二模_18_01,CC0200_2025_西城_二模_18,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,说明,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text
A_CC0206_2025_西城_期末_19_01,CC0206_2025_西城_期末_19,运用法律知识分析法院的判决。,说明,法律与生活(默认),uncertain,uncertain,uncertain,no,运用法律知识分析法院的判决。,F0140:page 3 | F0141:page 6 | F0141:page 9 | F0351:page 3
A_CC0213_2025_门头沟_一模_20_01,CC0213_2025_门头沟_一模_20,请结合以下案例，参照所给示例完成下表。,综合,法律与生活,yes,uncertain,uncertain,no,请结合以下案例，参照所给示例完成下表。,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20
A_CC0214_2025_门头沟_一模_20_2_01,CC0214_2025_门头沟_一模_20_2,请结合案例二，参照所给示例完成裁判要点中的裁判理由②。,综合,法律与生活,yes,uncertain,yes,no,请结合案例二，参照所给示例完成裁判要点中的裁判理由②。,F0096:paper pages 7-8 lines 305-344.
