framework_node,parent_path,入正文题,选择题陷阱题,辅助挂载题,辅助理解题,同类索引题,blocked题,excluded题,证据等级集合,备注
推理-演绎推理-充分条件假言推理（否定后件式）,推理>演绎>充分条件,Q-2024朝阳一模-20-1,,,,,,,A-formal,§十八硬样本；考古论证型
推理-演绎推理-必要条件假言推理（肯定后件式）,推理>演绎>必要条件,Q-2024朝阳一模-20-2,,,,,,,A-formal,§十八硬样本；考古论证型
辩证思维-动态性,辩证思维>动态性,Q-2024朝阳二模-19-1;Q-2026朝阳期中-20,,,,,,,A-formal,生生之宇宙观+变易不息 / 变局加速演进+主动应变
推理-类比推理（同属性相同推同·或然性）,推理>类比,Q-2024朝阳二模-19-1;Q-2024朝阳期中-18,,,,,,,A-formal,人效法天地+从已知属性推未知属性 / 晏子用橘枳类比齐人楚人+水土改变属性
形式逻辑-判断-联言判断（真值条件）,形式逻辑>判断>联言,Q-2024朝阳二模-19-2,Q-2026朝阳期中-15,,,,,,A-formal;B-choice-signal,夫大人者三个判断并列+全真才真一假即假 / 小华联言判断+小浩否定一个支判断=否定整个
推理-归纳推理-不完全归纳推理·轻率概括,推理>归纳>不完全归纳,Q-2024朝阳期中-18,,,,,,,A-formal,楚王仅凭一个齐人下全称结论=轻率概括/以偏概全
推理-归纳推理-不完全归纳推理·或然性,推理>归纳>不完全归纳,,Q-2026朝阳期中-14,,,,,,B-choice-signal,天气谚语未考察全部对象+结论或然
创新思维-超前思维,创新思维>超前思维,Q-2024朝阳期中-19;Q-2026朝阳期中-21-2,,,,,,,A-formal,业态规划提前布局 / 预测消费趋势+提前作发展理念转变
创新思维-逆向思维,创新思维>逆向思维,Q-2024朝阳期中-19;Q-2026朝阳期中-21-2,,,,,,,A-formal,先做流量再做生意/邀国际品牌设首店 / 冷资源转热经济+静态建筑转动态文化场景
创新思维-联想思维（同化性迁移）,创新思维>联想,Q-2024朝阳期中-19;Q-2026朝阳期中-21-2,Q-2026朝阳期中-13,,,,,,A-formal;B-choice-signal,策展型零售+城市森林意象迁移 / 冰雪+音乐文化叙事跨界 / 石榴籽与民族关系联结
创新思维-发散思维与聚合思维,创新思维>发散与聚合,Q-2024朝阳期中-19;Q-2026朝阳期中-21-2,,,,,,,A-formal,商圈品牌客群多因素+聚焦到价值耦合 / 多角度挖掘文旅经济潜力+聚焦到融合模式街区
创新思维-思路新方法新结果新（三新）,创新思维>三新,,,Q-2026朝阳期中-21-2,,,,,A-support,突破单一物理景观+复合型文化空间+跨越性发展（最多3分辅助）
辩证思维-矛盾分析法（对立统一·辩证否定观）,辩证思维>矛盾分析法,Q-2026朝阳期中-20,,,,,,,A-formal,机遇与挑战相伴相生+相互转化+一分为二
辩证思维-分析与综合（整体性）,辩证思维>分析综合,Q-2026朝阳期中-20,,,,,,,A-formal,分析机遇因素+综合考量+从整体把握建设规律
辩证思维-质量互变·渐进性与飞跃性的统一,辩证思维>质量互变,Q-2026朝阳期中-20,,,,,,,A-formal,持续投入科研技术突破质变+逐步优化产业稳健发展
形式逻辑-逻辑规则综合（越级划分/排中律/矛盾律/四概念）,形式逻辑>规则综合,,Q-2024朝阳一模-6,,,,,,B-choice-signal,A越级划分+B排中律下反对+C矛盾律+D四概念综合
创新思维-多角度+创新思维与逻辑思维边界,创新思维>多角度,,Q-2024朝阳一模-7,,,,,,B-choice-signal,创新思维子方法是否归为逻辑思维+绝对化错项识别
推理-演绎推理-三段论（小项不当扩大）,推理>演绎>三段论·小项扩大,,Q-2024朝阳二模-7,,,,,,B-choice-signal,§十八永久硬样本；A自媒体三段论小项S未周延而结论中扩大
推理-演绎推理-三段论（第三格AAI式）,推理>演绎>三段论·第三格,,Q-2024朝阳期中-7,,,,,,B-choice-signal,MAN+MAP→PIN第三格有效式识别
形式逻辑-判断-必要条件假言判断（等价表达·肯否前件后件）,形式逻辑>判断>必要条件假言,,Q-2024朝阳期中-8,,,,,,B-choice-signal,没有X就没有Y+X离不开Y+只有X才Y三种等价
推理-归纳推理-共变法（因果探求三法之一）,推理>归纳>共变法,,Q-2024朝阳期中-9,,,,,,B-choice-signal,空气量与铃声响度持续共变+因果对应
形式逻辑-概念-外延关系（属种关系）,形式逻辑>概念>外延关系,,Q-2024朝阳期中-10,,,,,,B-choice-signal,中国式现代化⊂现代化+种概念vs属概念
推理-演绎推理-三段论（第二格AAI式补大前提）,推理>演绎>三段论·第二格,,Q-2026朝阳期中-11,,,,,,B-choice-signal,MAP大前提配SiM小前提推SiP+第二格AAI式
形式逻辑-判断-相容选言判断,形式逻辑>判断>选言,,Q-2026朝阳期中-12,,,,,,B-choice-signal,或者P或者Q+至少一个为真且可同真
认识发展历程-感性具体/思维抽象,认识发展历程>感性具体>思维抽象,,Q-2026朝阳期中-13,,,,,,B-choice-signal,从石榴具体形象抽出"紧密相连"本质属性
创新思维-改变创造条件·建立新的具体联系,创新思维>改变条件,,,,,Q-2024朝阳一模-4,,,boundary,根据事物属性建立新联系+草盐地粮联结=创新思维信号但题目主线为必修四改造自然
选必三导论-系统观念,导论>系统观念,,,Q-2024朝阳一模-9,,,,,B-choice-signal,③系统观念+有序完成调查研究=选必三导论信号但题目主线为必修三模拟提案
形式逻辑-推理-必要条件假言推理（误用·肯定前件错推）,形式逻辑>推理>必要条件,,,,Q-2024朝阳二模-7,,,,B-choice-signal,选项C陷阱"善于性质则善于关系判断"=必要条件假言推理-肯定前件式无效
