code_id,comparison_id,gpt_observation_id,claude_observation_id,decision,match_type,supporting_question_ids,supporting_rubric_atom_ids,supporting_material_atom_ids,source_note
CB01,CV001,S01,OBS_S10,merge,similar,,,,双模型均发现法理依据与现实意义不能揉杂；以共同结构保留，题型边界由源题限定。
CB01,CV002,S01,OBS_S06,merge,similar,,,,意义层可与法理层拆分后合并成更朴素观察。
CB02,CV003,S02,OBS_S13,split,similar,CC0025_2024_朝阳_二模_17,,,劳动题簇过宽，代码本应拆为平台劳动关系/劳动合同解除/竞业限制小观察。
CB03,CV004,S03,OBS_S13,merge,similar,CC0119_2025_丰台_期末_19 ; CC0213_2025_门头沟_一模_20 ; CC0214_2025_门头沟_一模_20_2,,,劳动合同解除路径可保留为劳动题子代码。
CB04,CV005,S04,OBS_S13,split,similar,CC0181_2025_海淀_期末_21,,,竞业限制证据独立，应从劳动大簇中拆出。
CB05,CV006,S05,OBS_S03,merge,similar,CC0244_2026_东城_期中_18,R_CC0244_2026_东城_期中_18_05,,合同题可作为法律定性入口下的专门分支。
CB05,CV007,S05,OBS_S15,merge,similar,CC0143_2025_朝阳_一模_19,R_CC0143_2025_朝阳_一模_19_17,,复合合同题需要先分项再定性。
CB05,CV011,S08,OBS_S03,merge,similar,CC0084_2025_东城_二模_19 ; CC0244_2026_东城_期中_18 ; CC0254_2026_丰台_二模_18,R_CC0244_2026_东城_期中_18_05 ; R_CC0254_2026_丰台_二模_18_02,,法律路径定性是强共享入口观察。
CB05,CV013,S08,OBS_S15,merge,similar,CC0084_2025_东城_二模_19,,,分项审题与路径选择可共同进入代码本。
CB06,CV009,S07,OBS_S01,keep,same,CC0084_2025_东城_二模_19,R_CC0084_2025_东城_二模_19_07,,强共享且formal支撑，优先进代码本。
CB06,CV010,S07,OBS_S04,merge,similar,CC0084_2025_东城_二模_19,R_CC0084_2025_东城_二模_19_11,,身份/权利名精度可拆为两个相邻代码。
CB07,CV008,S06,OBS_S12,merge,similar,CC0063_2024_西城_二模_16 ; CC0143_2025_朝阳_一模_19,,,共同支持惩罚性赔偿、经营者身份、市场秩序/创新价值的观察。 待回源/模块混杂编号已从本证据映射支持字段剔除。
CB07,CV014,S09,OBS_S12,merge,similar,CC0103_2025_丰台_一模_19 ; CC0131_2025_房山_一模_19 ; CC0283_2026_朝阳_一模_18,,,知识产权题源簇共享。
CB07,CV015,S10,OBS_S12,merge,similar,CC0131_2025_房山_一模_19 ; CC0238_2026_东城_二模_19,,,反不正当竞争可作为知识产权/市场秩序子簇。
CB08,CV012,S08,OBS_S07,merge,similar,,,,程序/救济类观察共享，需保留具体可写动作。
CB08,CV016,S11,OBS_S07,keep,same,CC0245_2026_东城_期中_18_2,R_CC0245_2026_东城_期中_18_2_01,,强共享且formal支撑，优先进代码本。
CB09,CV018,S12,OBS_S14,keep,same,CC0223_2025_顺义_一模_19 ; CC0364_2026_通州_期中_19_1,R_CC0223_2025_顺义_一模_19_M17_02 ; R_CC0364_2026_通州_期中_19_1_01,,强共享且formal支撑。
CB09,CV019,S12,OBS_S05,merge,similar,CC0011_2024_丰台_二模_17 ; CC0223_2025_顺义_一模_19 ; CC0364_2026_通州_期中_19_1,R_CC0011_2024_丰台_二模_17_01 ; R_CC0223_2025_顺义_一模_19_M17_03 ; R_CC0364_2026_通州_期中_19_1_01,,民法基本原则可作为价值收束的法律接口。
CB10,CV020,S13,OBS_S09,keep,same,CC0084_2025_东城_二模_19 ; CC0143_2025_朝阳_一模_19,R_CC0084_2025_东城_二模_19_09 ; R_CC0143_2025_朝阳_一模_19_11 ; R_CC0143_2025_朝阳_一模_19_17,,强共享且formal支撑。
