suite_id,question,book_module,question_type,evidence_source,status,artifact_location,decision_reason,next_action
project,ClaudeCode v2 正文,必修四哲学,control,audit report + claudecode final,blocked,artifacts/删除与降级清单.md,正文与 Git 正本 SHA/cmp 完全一致; 不能作为独立重跑证据,后续只吸收控制层和渲染层记录
2026西城期末,第21题,必修四哲学,subjective,西城高三期末评标.pptx worker report,included,旧产物核验表.md,评标明确列实事求是和发展的观点; 但属于角度清单不是逐句细则,保留但标 B 级并注明材料链为整理者解释
2026石景山期末,第18(1);第20题,必修四哲学/文化,subjective,答案及评分参考 + user boundary,reference-only,artifacts/删除与降级清单.md,用户确认无详细评标细则; 可保留方向但不得写成详细细则支持,修正文案并降级为 D/reference-direction
2024石景山一模,第16;第20题,必修四哲学/文化,subjective,教师版参考答案 + 讲评 PPT,reference-only,artifacts/删除与降级清单.md,旧框架已写非逐点评分细则; v3 应继续降级标识,保留方向但不得算主观题细则闭环
2024门头沟一模,第16-21题,必修四哲学/跨模块,subjective,worker_2024_mentougou_yimo.md,reference-only,旧产物核验表.md,主观题只有参考答案方向和等级描述; worker 明确不能入正式哲学框架,保留边界; 不入正式主观细则链
2024朝阳二模,第16(2)题,必修四哲学,subjective,2024朝阳二模细则/阅卷总结抽查报告,included,旧产物核验表.md,旧抽查显示细则中确有物质意识/主能规律/价值观等角度,后续 STEP_02 仍需回源逐条复核
framework_all,496 entries,必修四哲学,mixed,artifacts/all_framework_entry_source_reaudit.csv,source-reviewed,artifacts/all_source_reaudit_summary.md,A126 B143 C186 D12 E29; 所有旧框架条目均有 v3 来源状态,按全来源复核 CSV 进入 STEP_07 草案
framework_DE,41 entries,必修四哲学,mixed,artifacts/全来源复核_边界与缺口清单.md,blocked,artifacts/全来源复核_边界与缺口清单.md,D/E 已复核为证据边界; 不得进入正式 v3 正文,删除/降级/补证后再处理
wrong_option_all,1583 rows,必修四哲学,choice,artifacts/wrong_option_source_reaudit.csv,source-reviewed,artifacts/all_source_reaudit_summary.md,C_verified_choice_source1434 C_worker_report_source23 E_choice_key_not_detected126,按 E 分组补答案键或降级
suite_inventory_all,56 rows,必修四哲学,mixed,artifacts/suite_inventory_reaudit.csv,source-reviewed,artifacts/all_source_reaudit_summary.md,20 source-reviewed 23 angle-boundary 3 reference-boundary 8 needs-boundary-or-evidence 2 excluded,旧已闭环口径需按 v3 verdict 改写
content_backtrace_all,496 entries,必修四哲学,mixed,artifacts/content_backtrace_review.csv,content-reviewed,artifacts/content_backtrace_summary.md,SUPPORTED_DIRECT_RUBRIC202 SUPPORTED_DIRECT_CHOICE_TEXT75 non_direct219,按原题/细则是否真的支撑原理方法论复核
content_backtrace_non_direct,219 entries,必修四哲学,mixed,artifacts/content_backtrace_non_direct_full.md,blocked,artifacts/content_backtrace_non_direct_full.md,WEAK_INFERRED97 NEEDS_HUMAN75 BLOCKED_SOURCE29 WEAK_REFERENCE12 BLOCKED_NO_KEY6,不得自动进入 v3 正文
