suite_id,year,stage,district,suite_name,bundle_present,paper_chars,answer_chars,rubric_chars,choice_keys_decoded,main_questions_decoded,framework_entries_used,repair_state,repair_note
S001,2024,2024各区一模,海淀,2024海淀一模,yes,8265,1641,3032,15,5,0,as-cached,
S002,2024,2024各区一模,西城,2024西城一模,yes,7314,1760,3145,15,4,0,as-cached,
S003,2024,2024各区一模,东城,2024东城一模,yes,96,96,9254,15,0,12,merged,S003 2024东城一模：合并 ClaudeCode v5 OCR rerun 的客观题答案键(1C 2B 3A 4A 5D 6D 7A 8D 9B 10C 11A 12B 13D 14C 15C)与必修四主索引(Q2、Q3、Q15 客观；Q16、Q21 主观)，已写入学生版与错肢版。
S004,2024,2024各区一模,朝阳,2024朝阳一模,yes,10935,1902,10935,15,6,0,as-cached,
S005,2024,2024各区一模,丰台,2024丰台一模,yes,984,8880,4579,0,6,0,merged,S005 2024丰台一模：paper 仅 984 字符 + 答案 8880 字符 + 细则 4579 字符；本轮以答案与细则为主合并，已贡献必修四主索引与错肢示例。
S006,2024,2024各区一模,石景山,2024石景山一模,yes,0,9185,0,15,5,0,as-cached,
S007,2024,2024各区一模,门头沟,2024门头沟一模,yes,12578,0,0,0,0,0,as-cached,
S008,2024,2024各区二模,海淀,2024海淀二模,yes,8074,1718,2684,15,6,2,as-cached,
S009,2024,2024各区二模,西城,2024西城二模,yes,7323,1989,3637,15,4,2,as-cached,
S010,2024,2024各区二模,东城,2024东城二模,yes,96,96,1952,0,0,0,merged,S010 2024东城二模：细则 1952 字符可读，paper 占位符；合并细则中可解码的 Q19 等条目，未越界进入主索引体。
S011,2024,2024各区二模,朝阳,2024朝阳二模,yes,8895,1791,5871,15,5,8,as-cached,
S012,2024,2024各区二模,丰台,2024丰台二模,yes,96,0,3784,0,2,0,blocked-with-explicit-reason,S012 2024丰台二模：缓存 bundle 仅细则可读，paper 占位符 96 字节；'统筹发展和安全''你的步伐就是中国的步伐'两道哲学等级赋分题缺设问/材料完整边界，本轮按规则不入正文，留待官方完整 OCR。
S013,2024,2024各区二模,顺义,2024顺义思政二模,yes,7986,0,2145,15,5,0,as-cached,
S014,2024,2024各区期中,海淀,2024海淀期中,yes,470,0,14297,0,1,0,as-cached,
S015,2024,2024各区期中,朝阳,2024朝阳期中,yes,7923,0,186917,0,5,0,as-cached,
S016,2025,2025各区一模,海淀,2025海淀一模,yes,9016,0,1755,15,6,0,as-cached,
S017,2025,2025各区一模,西城,2025西城一模,yes,9612,0,4269,15,6,8,as-cached,
S018,2025,2025各区一模,东城,2025东城一模,yes,7822,0,5623,0,6,8,merged,S018 2025东城一模：paper 与细则可读，已抽取 Q16-Q21 进入主索引；选择题答案键暂未通过本轮解码捕获，列入审计待补。
S019,2025,2025各区一模,朝阳,2025朝阳一模,yes,12633,0,96,15,4,0,merged,S019 2025朝阳一模：paper 与细则可读，已抽取 Q16/Q17/Q19/Q21 进入主索引；选择题答案键暂未捕获。
S020,2025,2025各区一模,丰台,2025丰台一模,yes,8547,0,6053,0,6,8,as-cached,
S021,2025,2025各区一模,延庆,2025延庆一模,yes,9399,0,2621,15,6,2,as-cached,
S022,2025,2025各区一模,房山,2025房山一模,yes,15900,0,3400,0,5,6,as-cached,
S023,2025,2025各区一模,石景山,2025石景山一模,yes,10216,0,2826,15,6,4,as-cached,
S024,2025,2025各区一模,门头沟,2025门头沟一模,yes,10024,0,3451,15,6,0,as-cached,
S025,2025,2025各区一模,顺义,2025顺义一模,yes,18486,0,3898,15,6,4,as-cached,
S026,2025,2025各区二模,海淀,2025海淀二模,yes,11705,0,2509,0,2,0,merged,S026 2025海淀二模：paper 与细则可读，已抽取 Q17/Q20 进入主索引。
S027,2025,2025各区二模,西城,2025西城二模,yes,9481,0,4463,15,5,6,as-cached,
S028,2025,2025各区二模,东城,2025东城二模,yes,7964,0,5398,14,6,6,as-cached,
S029,2025,2025各区二模,朝阳,2025朝阳二模,yes,9536,0,8011,0,6,4,as-cached,
S030,2025,2025各区二模,丰台,2025丰台二模,yes,9314,0,7586,0,6,0,as-cached,
S031,2025,2025各区二模,昌平,2025昌平二模,yes,9421,0,7786,15,6,4,as-cached,
S032,2025,2025各区期末,海淀,2025海淀期中,yes,9551,0,1463,15,6,0,as-cached,
S033,2025,2025各区期末,海淀,2025海淀期末,yes,10021,0,12421,15,6,8,as-cached,
S034,2025,2025各区期末,西城,2025西城期末,yes,7990,0,3952,15,6,10,as-cached,
S035,2025,2025各区期末,东城,2025东城期末,yes,21307,0,3707,0,6,0,as-cached,
S036,2025,2025各区期末,朝阳,2025朝阳期末,yes,9565,0,96,15,6,0,merged,S036 2025朝阳期末：paper 9565 字符可读，细则占位符；本轮以 paper 内自带的参考答案/细则补全为主。
S037,2025,2025各区期末,丰台,2025丰台期末,yes,17199,0,9690,0,6,4,as-cached,
S038,2026,2026各区一模,海淀,2026海淀一模,yes,96,0,2132,15,6,0,merged,S038 2026海淀一模：客观题 1-15 答案键已稳定解码；Q16 物质决定意识/一切从实际出发节点保持开放，待回源 OCR 完整试卷确认勿臆补。
S039,2026,2026各区一模,西城,2026西城一模,yes,7904,0,2590,0,6,2,blocked-with-explicit-reason,S039 2026西城一模：本地 paper 与细则可读但未发现可信 1-15 客观题答案键；按规则保持答案键缺失，仅主观题进入主索引。
S040,2026,2026各区一模,东城,2026东城一模,yes,7954,0,5432,0,5,2,as-cached,
S041,2026,2026各区一模,朝阳,2026朝阳一模,yes,13902,0,4549,0,6,0,as-cached,
S042,2026,2026各区一模,丰台,2026丰台一模,yes,96,0,9370,0,3,0,blocked-with-explicit-reason,S042 2026丰台一模：paper 占位符 96 字节；细则可读 9370 字符，但 Q16 与'积极识变应变求变'的设问未闭环，无法独立提供完整设问，本轮排除主观题入正文。
S043,2026,2026各区一模,延庆,2026延庆一模,yes,9656,0,2341,15,5,8,as-cached,
S044,2026,2026各区一模,房山,2026房山一模,yes,96,0,3769,0,4,0,blocked-with-explicit-reason,S044 2026房山一模：paper 占位符 96 字节；细则可读 3769 字符，无 1-15 客观题答案键。Q16(2)、Q18(1)、Q20 等暂留细则，未入正文。
S045,2026,2026各区一模,石景山,2026石景山一模,yes,9841,0,3176,15,6,4,as-cached,
S046,2026,2026各区一模,门头沟,2026门头沟一模,yes,8521,0,4809,15,6,2,as-cached,
S047,2026,2026各区一模,顺义,2026顺义一模,yes,9619,0,4071,0,3,0,merged,S047 2026顺义一模：paper 9619 字符，细则 4071 字符，可读；Q17/Q20/Q21 已纳入抽取并参与主索引。Q16'破窗效应'若评分点存在但本轮未独立解析则继续以审计身份留出。
S048,2026,2026各区期末和期中,海淀,2026海淀期中,yes,9012,0,96,15,6,4,as-cached,
S049,2026,2026各区期末和期中,海淀,2026海淀期末,yes,1790,0,1616,15,6,0,merged,S049 2026海淀期末：paper 1790 字符（前 8 页 OCR 缺失部分仍可挖出 Q16/Q17/Q21 部分内容），细则 1616 字符；已尽量解析，原本 OCR-needed 的部分 Q 与选择题留待补 OCR。
S050,2026,2026各区期末和期中,西城,2026西城期末,yes,2850,0,96,15,6,0,blocked-with-explicit-reason,S050 2026西城期末：paper 仅 2850 字符，细则占位符；缺设问/材料完整边界，主观题不入正文。
S051,2026,2026各区期末和期中,东城,2026东城期末,yes,7681,0,17693,0,6,0,as-cached,
S052,2026,2026各区期末和期中,朝阳,2026朝阳期中,yes,8056,0,4793,15,6,8,as-cached,
S053,2026,2026各区期末和期中,朝阳,2026朝阳期末,yes,96,0,96,0,0,0,blocked-with-explicit-reason,S053 2026朝阳期末：paper 与细则均为占位符 96 字节，本轮无法解码任何题面/答案/细则；保留 source-missing。
S054,2026,2026各区期末和期中,丰台,2026丰台期末,yes,96,0,9018,0,2,0,blocked-with-explicit-reason,S054 2026丰台期末：paper 占位符 96 字节，细则 9018 字符可读，'留白'综合题完整设问与材料缺失，本轮按规则不入正文。
S055,2026,2026各区期末和期中,石景山,2026石景山期末,yes,1618,0,0,15,5,0,blocked-with-explicit-reason,S055 2026石景山期末：paper 1618 字符且无可读细则；本地仅有答案/细则不全，按规则保留 source-missing。
S056,2026,2026各区期末和期中,通州,2026通州期末,yes,8285,0,6773,15,6,0,as-cached,
