canonical_question_id,suite_id,qno,codexA_before_level,codexA_batch02_status,laneB_result,laneB_evidence_level,laneB_can_enter_fusion,merged_level,merged_fusion_status,conflict_or_note,source_evidence
Q-2026朝阳期中-12,S-2026朝阳期中,12,L3_A_PLUS_B_TARGET_CONFIRMED,not_in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,B=相容选言判断（或者你说错了或者我听错了）：两支可并存；C违反分类标准一致性；D违反矛盾律；全部选项和答案独立读取source 003确认,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 137-147; 答案表lines 297-326 Q12=B
Q-2026朝阳期中-14,S-2026朝阳期中,14,L1_A_ONLY_PENDING_B_TARGET,not_in_addendum,B_TARGET_CONFIRMED_BATCH02_RECONFIRM,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer B paired✓ no conflict with Codex A✓ scope=推理/归纳明确✓。所有升级条件满足。,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 159-168; 答案表lines 297-326 Q14=B
Q-2026朝阳期中-15,S-2026朝阳期中,15,L1_A_ONLY_PENDING_B_TARGET,not_in_addendum,B_TARGET_CONFIRMED_BATCH02_RECONFIRM,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer D paired✓ no conflict with Codex A✓ scope=推理/联言判断明确✓。所有升级条件满足。,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 169-175; 答案表lines 297-326 Q15=D
Q-2026丰台一模-4,S-2026丰台一模,4,not_in_batch01_control_base,in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,promotion_requires_GPT_review,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q4=A; 题干见page2文字
Q-2026丰台一模-7,S-2026丰台一模,7,not_in_batch01_control_base,in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,promotion_requires_GPT_review,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q7=B; 题干见page2-3文字
Q-2026丰台一模-8,S-2026丰台一模,8,not_in_batch01_control_base,in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,promotion_requires_GPT_review,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q8=C; 题干见page3文字（北京志愿者标识）
Q-2026丰台一模-9,S-2026丰台一模,9,not_in_batch01_control_base,in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,promotion_requires_GPT_review,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q9=D; 题干见page3文字（元宵节灯谜）
Q-2025海淀二模-12,S-2025海淀二模,12,not_in_batch01_control_base,in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,promotion_requires_GPT_review,supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 12.D); render_008_page_04.png=视觉确认Q12题目存在，主题耐心资本
Q-2025海淀二模-13,S-2025海淀二模,13,not_in_batch01_control_base,in_addendum,B_TARGET_CONFIRMED,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,promotion_requires_GPT_review,supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 13.C); render_008_page_04.png=视觉确认Q13题目存在
Q-2024西城一模-11,S-2024西城一模,11,L0_BLOCKED,not_in_addendum,B_TARGET_CONFIRMED_WITH_CONFLICT,B-choice-signal,yes,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock_batch02,CONFLICT: 任务描述称answer B=①④，但Lane B独立从DOCX XML提取显示B=①③（A=①② B=①③ C=②④ D=③④）。Codex A原声明存在选项归属错误。正确答案B=①③，即完全归纳推理两例。can_enter_fusion=yes，但必须在fusion中使用正确选项归属B=①③。,DOCX=/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx (python3 zipfile XML textbox extraction); 答案表025=025_Desktop_2024模拟题_西城一模_细则_细则.docx.txt line6 Q11=B; 026=026_Desktop_2024模拟题_西城一模_细则_补充材料_2024.4高三统一测试思想政治答案.docx.txt line6 Q11=B
