suite,qno,status,a_scope,b_scope,a_block,b_block,notes
2024朝阳一模,7,AGREE_OR_NEEDS_FIELD_DIFF,思维,思维部分_创新思维,pending_pairing,CLEAR,
2024朝阳二模,6,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_概念,pending_pairing,CLEAR,
2024朝阳二模,7,AGREE_OR_NEEDS_FIELD_DIFF,交叉,推理部分_合乎逻辑,pending_pairing,CLEAR,
2024朝阳期中,11,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_逻辑规则,pending_pairing,CLEAR,
2024朝阳期中,18,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_归纳+类比,pending_pairing,CLEAR,
2024朝阳期中,19,AGREE_OR_NEEDS_FIELD_DIFF,交叉,思维部分_创新思维,pending_pairing,CLEAR,
2024朝阳期中,7,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_三段论,pending_pairing,CLEAR,
2024朝阳期中,8,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_假言,pending_pairing,CLEAR,
2024朝阳期中,9,AGREE_OR_NEEDS_FIELD_DIFF,交叉,推理部分_归纳,pending_pairing,CLEAR,
2024海淀二模,6,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_概念,pending_pairing,CLEAR,
2025东城期末,13,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_三段论,pending_pairing,CLEAR,
2025东城期末,14,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_概念,pending_pairing,CLEAR,
2025东城期末,15,AGREE_OR_NEEDS_FIELD_DIFF,推理,推理部分_假言推理,pending_pairing,CLEAR,
2025东城期末,18(2),AGREE_OR_NEEDS_FIELD_DIFF,交叉,思维部分_创新思维,pending_pairing,CLEAR,
2025丰台期末,10,AGREE_OR_NEEDS_FIELD_DIFF,交叉,推理部分_类比/归纳,pending_pairing,CLEAR,
2025丰台期末,7,AGREE_OR_NEEDS_FIELD_DIFF,思维,思维部分_超前思维,pending_pairing,CLEAR,
2025丰台期末,8,AGREE_OR_NEEDS_FIELD_DIFF,思维,思维部分_形象思维,pending_pairing,CLEAR,
2025丰台期末,9,AGREE_OR_NEEDS_FIELD_DIFF,待判,推理部分_选言,pending_pairing,CLEAR,
