canonical_question_id,suite_id,qno,codexA_before_level,laneB_result,laneB_evidence_level,merged_level,merged_fusion_status,conflict_or_note
Q-2024西城一模-11,S-2024西城一模,11,L1_A_ONLY_PENDING_B_TARGET,B_TARGET_BLOCKED,C-none,L0_BLOCKED,blocked_after_laneB_batch01,答案B已从026确认；但无选项内容即无法提取推理陷阱；必须视觉读取024 renders后才能入矩阵
Q-2025海淀二模-20,S-2025海淀二模,20,L4_LOCKED_FOR_FUSION,B_TARGET_CONFIRMED,A-formal,L4_LOCKED_FOR_FUSION,locked_for_fusion_after_laneB_batch01,维持LOCKED_FOR_FUSION；Phase03 Lane B已做视觉确认；009+010+011三源完全一致；角度池赋分6分从3选2；上限6分
Q-2025海淀期末-2,S-2025海淀期末,2,L0_BLOCKED,B_TARGET_CONFIRMED,B-choice-signal,L2_PENDING_SCOPE_DECISION,conditional_fusion_pending_scope_decision,选项②联想思维场景迁移+③辩证思维整体性均为选必三思维部分词汇；答案C=②③从paper answer key确认；boundary仍需scope决策；options无视觉阻塞(docx文字清晰)
Q-2025西城二模-16-2,S-2025西城二模,16(2),L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,A-formal,L4_LOCKED_FOR_FUSION,locked_for_fusion_after_laneB_batch01,4分：结论1分+判断类型1分+规则+分析2分；037原卷题干完整；038细则A-formal；Lane B独立读源确认与Codex完全一致
Q-2025西城二模-16-3,S-2025西城二模,16(3),L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,A-formal,L4_LOCKED_FOR_FUSION,locked_for_fusion_after_laneB_batch01,4分：程序性1分+解决方案2分+人文关怀生态意识1分；Lane B独立读源确认与Codex完全一致；A/B分类冲突已由子问拆分解决
Q-2025西城二模-7,S-2025西城二模,7,L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,A-formal,L1_A_ONLY_PENDING_B_TARGET,pending_B_target_verification,
Q-2026丰台一模-18-2,S-2026丰台一模,18(2),L4_LOCKED_FOR_FUSION,B_TARGET_CONFIRMED,A-formal,L4_LOCKED_FOR_FUSION,locked_for_fusion_after_laneB_batch01,维持Phase03 LOCKED_FOR_FUSION状态；Lane B已在Phase03确认视觉；043 SLIDE35-36 A-formal完整；suite-level其余题目：042 scan_blocked无法确认choice questions
Q-2026朝阳期中-11,S-2026朝阳期中,11,L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,B-choice-signal,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock,答案A从003 paper answer table确认；选项ABCD完整；Lane B独立复核与Codex Patch PATCH_READY_FOR_MATRIX完全一致
Q-2026朝阳期中-13,S-2026朝阳期中,13,L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,B-choice-signal,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock,"答案D从003 paper answer table确认；Lane B分析：③④均为思维部分内容；Codex分类""联想/类比/感性具体边界""需关注②是诱惑而非答案"
Q-2026朝阳期中-14,S-2026朝阳期中,14,L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,B-choice-signal,L1_A_ONLY_PENDING_B_TARGET,pending_B_target_verification,
Q-2026朝阳期中-15,S-2026朝阳期中,15,L1_A_ONLY_PENDING_B_TARGET,B_TARGET_CONFIRMED,B-choice-signal,L1_A_ONLY_PENDING_B_TARGET,pending_B_target_verification,
Q-2026朝阳期中-12,S-2026朝阳期中,12,L0_BLOCKED_as_待判_before_patch,B_TARGET_CONFIRMED_IN_REPORT_NOT_RESULTS_CSV,B-choice-signal,L3_A_PLUS_B_TARGET_CONFIRMED,confirmed_for_evidence_fusion_pending_formal_lock,ClaudeCode report found Q12 as missing from in-scope index; Codex patched it to 推理 with answer B from 003 answer table; needs formal reconciliation in Batch02.
Q-2024西城一模-11,,,post_laneB_codexA_new_evidence,B_TARGET_BLOCKED,C-none,L0_BLOCKED,blocked_after_laneB_batch01,"Codex A recovered all four options from Word XML text boxes after Lane B had marked options as image-blocked; keep pending B recheck, not locked."
Q-2025海淀二模-12,,,post_laneB_codexA_new_evidence,B_TARGET_BLOCKED,C-none,not_in_control,not_in_control,"Codex A visually read page_04 after Lane B run and recovered full options; answer source still missing, so remains blocked."
Q-2025海淀二模-13,,,post_laneB_codexA_new_evidence,B_TARGET_BLOCKED,C-none,not_in_control,not_in_control,"Codex A visually read page_04 after Lane B run and recovered full options; answer source still missing, so remains blocked."
