title,status,reasons,missing_count,forbidden_count,answer_chars,trigger_chars
1. 2026 顺义一模 第19题第(2)问（主观题）— 科学思维三特征 硬样本,PASS,,0,0,229,138
2. 2025 东城期末 第18题第(2)问（主观题）— 创新思维 硬样本（联想 + 发散与聚合）,PASS,,0,0,253,101
3. 2026 通州期末 第11题（选择题）— 思维抽象与思维具体 永久硬样本,PASS,,0,0,374,92
4. 2026 东城期末 第17题第(2)问（主观题）— 纯形式逻辑 / 推理 边界样本,FAIL,missing_headings=【设问】;【为什么能想到】;【答案落点】 | blocked_source_leak | answer_too_short,3,0,0,540
节点 A：科学思维（客观性、预见性、可检验性）,PASS,,0,0,115,60
节点 B：辩证思维（整体性 + 分析与综合）,PASS,,0,0,117,61
节点 C：创新思维（发散与聚合 / 新方法、新工具、新设计）,PASS,,0,0,191,62
6. 2025 海淀期末 第18题（主观题）— 创新思维（逆向思维 + 联想思维）,PASS,,0,0,190,84
7. 2026 朝阳期中 第20题（主观题）— 辩证思维（矛盾对立统一 + 整体性 + 动态性）,PASS,,0,0,188,111
8. 2025 海淀二模 第20题（主观题）— 多节点同题：辩证思维角度池,FAIL,missing_headings=【为什么能想到】;【答案落点】 | blocked_source_leak | answer_too_short,2,0,0,54
9. 2025 顺义一模 第7题（选择题）— 三段论谬误判断纠错（推理部分样本）,PASS,,0,0,204,81
10. 2026 丰台一模 第18题第(2)问（主观题）— 推理：必要条件假言推理 + 三段论,FAIL,missing_headings=【为什么能想到】;【答案落点】 | blocked_source_leak | answer_too_short,2,0,0,81
