title,status,reasons,missing_count,forbidden_count,answer_chars,trigger_chars
2025 东城期末第18题第(2)问,PASS,,0,0,146,74
2024 海淀二模第17题第(1)问,PASS,,0,0,145,105
2024 海淀二模第17题第(2)问,PASS,,0,0,119,62
2026 顺义一模第19题第(2)问,PASS,,0,0,172,107
2024 朝阳一模第7题,PASS,,0,0,127,82
2025 海淀期末第18题,PASS,,0,0,135,55
2025 丰台期末第8题,PASS,,0,0,110,60
2026 通州期末第11题,PASS,,0,0,149,68
2026 朝阳期中第20题,PASS,,0,0,184,113
2026 东城一模第19题第(4)问,PASS,,0,0,203,72
2025 海淀期末第17题第(1)问,PASS,,0,0,134,88
2024 朝阳一模第20题第(1)问,PASS,,0,0,137,92
2025 顺义一模第7题,PASS,,0,0,183,104
2026 朝阳期中第21题第(2)问,PASS,,0,0,212,136
2025 西城二模第16题第(3)问,PASS,,0,0,162,116
2024 朝阳一模第9题,PASS,,0,0,160,102
2024 朝阳一模第20题第(2)问,PASS,,0,0,141,100
2025 东城期末第13题,PASS,,0,0,141,124
2024 朝阳期中第7题,PASS,,0,0,138,117
2024 西城一模第19题第(2)问,PASS,,0,0,112,91
2024 西城一模第19题第(3)问,PASS,,0,0,86,77
2024 西城一模第19题第(5)问,PASS,,0,0,141,104
2025 西城二模第16题第(2)问,PASS,,0,0,111,117
2026 通州期末第19题第(2)问,PASS,,0,0,141,124
2024 朝阳二模第19题第(1)问,PASS,,0,0,97,80
2024 朝阳二模第19题第(2)问,PASS,,0,0,77,80
2024 朝阳期中第9题,PASS,,0,0,118,79
2026 顺义一模第19题第(1)问,PASS,,0,0,147,122
2025 丰台期末第7题,PASS,,0,0,94,84
