原题源,统一后题源,处理状态,六要素,小框架,术语标题
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,时代背景,机遇,和平与发展是时代的主题
2026西城期末 Q20,2026西城期末 第20题,已统一,时代背景,机遇,和平与发展是时代的主题
2024西城二模 Q19,2024西城二模 第19题,已统一,时代背景,机遇,和平与发展是时代的主题
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,时代背景,机遇,和平与发展是时代的主题
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,时代背景,机遇,和平与发展是时代的主题
2025丰台期末 Q20,2025丰台期末 第20题,已统一,时代背景,机遇,和平与发展是时代的主题
2026通州期末 Q20,2026通州期末 第20题,已统一,时代背景,机遇,和平与发展是时代的主题
2026顺义一模 Q20,2026顺义一模 第20题,已统一,时代背景,机遇,和平与发展是时代的主题
2025西城期末 Q20(2),2025西城期末 第20题第（2）问,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2025东城期末 Q20,2025东城期末 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2024朝阳二模 Q20,2024朝阳二模 第20题,已统一,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义
2024东城二模 Q20,2024东城二模 第20题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2026西城期末 Q20,2026西城期末 第20题,已统一,理论,共同利益,共同利益是国家间合作的基础
2025西城一模 Q21(1),2025西城一模 第21题第（1）问,已统一,理论,共同利益,共同利益是国家间合作的基础
2025东城一模 Q20,2025东城一模 第20题,已统一,理论,共同利益,共同利益是国家间合作的基础
2025朝阳二模 Q21,2025朝阳二模 第21题,已统一,理论,共同利益,共同利益是国家间合作的基础
2026石景山一模 Q20,2026石景山一模 第20题,已统一,理论,共同利益,共同利益是国家间合作的基础
2026顺义一模 Q20,2026顺义一模 第20题,已统一,理论,共同利益,共同利益是国家间合作的基础
2026延庆一模 Q19(2),2026延庆一模 第19题第（2）问,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2025延庆一模 Q20(2),2025延庆一模 第20题第（2）问,已统一,理论,共同利益,共同利益是国家间合作的基础
2025海淀期中 Q21(2),2025海淀期中 第21题第（2）问,已统一,中国,一条历史线,中国的综合国力增强 / 国际地位提升
2024西城一模 Q19(6),2024西城一模 第19题第（6）问,已统一,中国,一条历史线,中国的综合国力增强 / 国际地位提升
2026朝阳一模 Q20,2026朝阳一模 第20题,已统一,中国,一条历史线,中国的综合国力增强 / 国际地位提升
2026朝阳期末 Q20,2026朝阳期末 第20题,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2025房山一模 Q18(2),2025房山一模 第18题第（2）问,已统一,理论,共同利益,维护本国利益的同时兼顾他国合理关切
2025丰台期末 Q20,2025丰台期末 第20题,已统一,理论,共同利益,共同利益是国家间合作的基础
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,理论,国家安全,国家安全是最高国家利益
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,理论,国家安全,国家安全是最高国家利益
2026朝阳期中 Q17,2026朝阳期中 第17题,已统一,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放
