六要素,小框架,答题术语,PDF页码,PDF原始表述,规范化表述,是否为PDF原框架,是否进入正文,备注
时代背景,机遇,和平与发展是时代的主题,2,机遇：和平与发展是时代的主题,和平与发展是时代的主题,是,是,
时代背景,机遇,经济全球化与政治多极化深入发展,2,经济全球化与政治多极化深入发展,经济全球化与政治多极化深入发展,是,是,
时代背景,挑战,霸权主义,2,挑战：霸权主义、强权政治,霸权主义,是,是,
时代背景,挑战,强权政治,2,挑战：霸权主义、强权政治,强权政治,是,是,
理论,国家安全,国家安全是最高国家利益,2,国家安全——国家安全是最高国家利益,国家安全是最高国家利益,是,是,
理论,国家安全,种子安全,2,eg. 种子安全、粮食安全、信息安全、网络安全,种子安全,是,否,本轮旧稿主观题素材池未提供完整主观题挂载。
理论,国家安全,粮食安全,2,eg. 种子安全、粮食安全、信息安全、网络安全,粮食安全,是,否,本轮旧稿主观题素材池未提供完整主观题挂载。
理论,国家安全,信息安全,2,eg. 种子安全、粮食安全、信息安全、网络安全,信息安全,是,否,本轮旧稿主观题素材池未提供完整主观题挂载。
理论,国家安全,网络安全,2,eg. 种子安全、粮食安全、信息安全、网络安全,网络安全,是,否,本轮旧稿主观题素材池未提供完整主观题挂载。
理论,国家安全,重要组成部分,2,重要组成部分,重要组成部分,是,否,作为国家安全相关表述保留在 PDF recheck，不单列正文术语。
理论,共同利益,共同利益是国家间合作的基础,2,共同利益——共同利益是国家间合作的基础,共同利益是国家间合作的基础,是,是,
理论,共同利益,合作的原因,2,合作的原因,合作的原因,是,否,作为共同利益术语的解释，不单列正文术语。
理论,共同利益,维护本国利益的同时兼顾他国合理关切,2,维护本国利益的同时兼顾他国合理关切,维护本国利益的同时兼顾他国合理关切,是,是,
经济全球化,民,民生福祉,3,民：民生福祉,民生福祉,是,是,
经济全球化,民,增加就业岗位,3,增加就业岗位,增加就业岗位,是,是,
经济全球化,民,提高居民收入,3,提高居民收入,提高居民收入,是,是,
经济全球化,民,完善基础设施,3,完善基础设施,完善基础设施,是,是,
经济全球化,国,推动成员国经济复苏,3,国：推动成员国经济复苏,推动成员国经济复苏,是,是,
经济全球化,国,共建国家经济增长,3,共建国家经济增长,共建国家经济增长,是,是,
经济全球化,环,经济环节,3,环：经济环节,经济环节,是,否,小框架总括词，不单列正文术语。
经济全球化,环,促进要素自由流动,3,促进要素自由流动,促进要素自由流动,是,是,
经济全球化,环,人员、商品、资金、技术、服务流动,3,人员、商品、资金、技术、服务,人员、商品、资金、技术、服务流动,是,是,
经济全球化,环,拉动投资和消费,3,拉动投资和消费,拉动投资和消费,是,是,
经济全球化,环,开拓市场,3,开拓市场,开拓市场,是,是,
经济全球化,环,产业结构优化升级,3,产业结构优化升级,产业结构优化升级,是,是,
经济全球化,营,优化营商环境,3,营：优化营商环境,优化营商环境,是,是,
经济全球化,营,国际化、市场化、法治化营商环境,3,国际化、市场化、法治化,国际化、市场化、法治化营商环境,是,是,
经济全球化,配,优化资源配置,3,配：优化资源配置,优化资源配置,是,是,
经济全球化,贸资,推动贸易投资自由化便利化,4,贸资——推动贸易投资自由化便利化,推动贸易投资自由化便利化,是,是,
经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,4,总——推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,是,是,
经济全球化,开,发展更高层次的开放型经济,4,开——开放：发展更高层次的开放型经济,发展更高层次的开放型经济,是,是,
经济全球化,开,坚持引进来和走出去相结合,4,坚持引进来、走出去相结合,坚持引进来和走出去相结合,是,是,
经济全球化,开,推进我国高水平对外开放,4,推进我国高水平对外开放,推进我国高水平对外开放,是,是,
经济全球化,兼,充分利用国内国际两种资源,4,兼——充分利用国内国际两种资源、两个市场,充分利用国内国际两种资源,是,是,
经济全球化,兼,充分利用国内国际两个市场,4,兼——充分利用国内国际两种资源、两个市场,充分利用国内国际两个市场,是,是,
政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系,5,新国关：有利于构建相互尊重、公平正义、合作共赢的新型国际关系,有利于构建相互尊重、公平正义、合作共赢的新型国际关系,是,是,
政治多极化,完善全球治理,完善全球治理,5,完善全球治理,完善全球治理,是,是,
政治多极化,完善全球治理,倡导共商共建共享的全球治理观,5,倡导共商共建共享的全球治理观,倡导共商共建共享的全球治理观,是,是,
政治多极化,共体,有利于构建人类命运共同体,5,共体：有利于构建人类命运共同体,有利于构建人类命运共同体,是,是,
政治多极化,单边,反对单边主义和贸易保护主义,5,单边：反对单边主义和贸易保护主义,反对单边主义和贸易保护主义,是,是,
政治多极化,单边,反对霸权主义和强权政治,5,反对霸权主义和强权政治,反对霸权主义和强权政治,是,是,
政治多极化,单边,坚持真正的多边主义,5,坚持真正的多边主义,坚持真正的多边主义,是,是,
政治多极化,多极化,坚持平等有序的多极化,5,多极化：坚持平等有序的多极化,坚持平等有序的多极化,是,是,
政治多极化,民主,推动国际关系民主化,5,民主：推动国际关系民主化,推动国际关系民主化,是,是,
中国,政策,我国奉行独立自主的和平外交政策,6,政策：我国奉行独立自主的和平外交政策,我国奉行独立自主的和平外交政策,是,是,
中国,政策,坚持和平共处五项原则,6,坚持和平共处五项原则,坚持和平共处五项原则,是,是,
中国,政策,坚持独立自主的基本立场,6,坚持独立自主的基本立场,坚持独立自主的基本立场,是,是,
中国,政策,维护世界和平、促进共同发展,6,宗旨：维护世界和平、促进共同发展,维护世界和平、促进共同发展,是,是,
中国,智慧,中国智慧,6,智慧：中国智慧、中国方案；eg. 脱贫攻坚,中国智慧,是,是,
中国,智慧,中国方案,6,智慧：中国智慧、中国方案；eg. 脱贫攻坚,中国方案,是,是,
中国,智慧,脱贫攻坚,6,eg. 脱贫攻坚,脱贫攻坚,是,否,PDF中为例子，本轮不单列目录术语。
中国,责任,承担大国责任,6,责任：承担大国责任、发挥建设性作用,承担大国责任,是,是,
中国,责任,发挥建设性作用,6,责任：承担大国责任、发挥建设性作用,发挥建设性作用,是,是,
中国,责任,世界第一大发展中国家,6,世界第一大发展中国家,世界第一大发展中国家,是,是,
中国,责任,世界第二大经济体,6,第二大经济体,世界第二大经济体,是,是,
中国,一条历史线,中国的综合国力增强,6,一条历史线：中国的综合国力增强,中国的综合国力增强,是,是,
中国,一条历史线,国际地位提升,6,国际地位提升,国际地位提升,是,是,
中国,一条主线,习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南,6,一条主线：习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南,习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南,是,是,
联合国,联合国原框架术语,践行多边主义的最佳场所,7,联合国：践行多边主义的最佳场所,践行多边主义的最佳场所,是,是,PDF 未显示更细小框架，暂以联合国原框架术语承接。
联合国,联合国原框架术语,遵循联合国宪章宗旨原则,7,遵循联合国宪章宗旨原则,遵循联合国宪章宗旨原则,是,是,PDF 未显示更细小框架，暂以联合国原框架术语承接。
