suite_id,year,district,exam_type,question_no,module_status,contains_xuanbiyi_subjective,paper_source_ids,scoring_source_ids,verified_evidence_counts,status,blocker
2024_海淀_一模,2024,海淀,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 2}",not_started,
2024_海淀_二模,2024,海淀,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 2}",not_started,
2024_海淀_期中,2024,海淀,期中,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2024_西城_一模,2024,西城,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 3}",not_started,
2024_西城_二模,2024,西城,二模,,pending_question_scan,unknown,,,"{""P2_teaching_or_lecture_pending_role_check"": 2, ""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 2}",not_started,
2024_东城_一模,2024,东城,一模,Q16;Q20,source_checked,yes,SRC_a1c55f582bad,SRC_1f17f2c91d92,"{""P0_current_run_source_checked"": 3}",source_checked,
2024_东城_二模,2024,东城,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 12}",not_started,
2024_朝阳_一模,2024,朝阳,一模,,pending_question_scan,unknown,,,"{""P2_teaching_or_lecture_pending_role_check"": 1, ""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 2}",not_started,
2024_朝阳_二模,2024,朝阳,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 2}",not_started,
2024_朝阳_期中,2024,朝阳,期中,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 3}",not_started,
2024_丰台_一模,2024,丰台,一模,,pending_question_scan,unknown,,,"{""P1_reference_answer"": 1, ""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2024_丰台_二模,2024,丰台,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2024_mixed_or_compilation_unknown_stage,2024,mixed,or,,pending_question_scan,unknown,,,"{""unknown_needs_visual_check"": 2}",needs_classification,File-level metadata insufficient; classify manually.
2024_unknown_district_一模,2024,unknown,district,,pending_question_scan,unknown,,,"{""unknown_needs_visual_check"": 7}",needs_classification,File-level metadata insufficient; classify manually.
2024_石景山_一模,2024,石景山,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2024_顺义_二模,2024,顺义,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_海淀_一模,2025,海淀,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 1}",not_started,
2025_海淀_二模,2025,海淀,二模,,pending_question_scan,unknown,,,"{""P2_teaching_or_lecture_pending_role_check"": 1, ""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 2}",not_started,
2025_海淀_期中,2025,海淀,期中,Q16(2);Q21(2),选必一,yes,SRC_e3da1b6b45ca,SRC_cda046c2d36d,"{""P0_verified_rubric"": 1, ""P3_paper_only"": 1}",codex_source_checked,
2025_海淀_期末,2025,海淀,期末,Q22,source_checked_with_header_anomaly,yes,SRC_1bd40d845040,SRC_61b68f14212d,"{""P2_current_run_source_checked_with_header_anomaly"": 1}",source_checked,scoring PPT header anomaly; Q22 slides align with paper
2025_西城_一模,2025,西城,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_西城_二模,2025,西城,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_西城_期末,2025,西城,期末,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_东城_一模,2025,东城,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_东城_二模,2025,东城,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_东城_期末,2025,东城,期末,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 2}",not_started,
2025_朝阳_一模,2025,朝阳,一模,,pending_question_scan,unknown,,,"{""P2_teaching_or_lecture_pending_role_check"": 1, ""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 4}",not_started,
2025_朝阳_二模,2025,朝阳,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 2, ""pending_content_recheck"": 1}",not_started,
2025_朝阳_期末,2025,朝阳,期末,,pending_question_scan,unknown,,,"{""P2_teaching_or_lecture_pending_role_check"": 1, ""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_丰台_一模,2025,丰台,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_丰台_二模,2025,丰台,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 8}",not_started,
2025_丰台_期末,2025,丰台,期末,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_延庆_一模,2025,延庆,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_房山_一模,2025,房山,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_昌平_二模,2025,昌平,二模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
2025_石景山_一模,2025,石景山,一模,,pending_question_scan,unknown,,,"{""P3_paper_only_pending_question_scan"": 1, ""pending_content_recheck"": 1}",not_started,
