question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck,primary_source
Q-2024海淀二模-1,S-2024海淀二模,1,选择题,blocked,excluded,028海淀二模细则确认答案C，但题干为马克思主义政党/为人民求解放，属必修一中特/必修三中特(政党理论)；非选必三思维范畴；不入主链。,no,batch01_haidian_xicheng
Q-2024海淀二模-2,S-2024海淀二模,2,选择题,blocked,excluded,答案D；古建筑与生活方式融合，属必修四文化传承/创造性转化；选必三思维信号不足。,no,batch01_haidian_xicheng
Q-2024海淀二模-3,S-2024海淀二模,3,选择题,blocked,excluded,答案C；东西方绘画交融，属必修四文化交流互鉴；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-4,S-2024海淀二模,4,选择题,excluded,excluded,答案B；指尖形式主义/一切从实际出发实事求是，属必修四唯物论；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-5,S-2024海淀二模,5,选择题,blocked,入正文,答案A求异法；细则028确认；属选必三科学思维归纳推理求异法节点；可入正文，仅作choice-trap而非主观题主链。,yes,batch01_haidian_xicheng
Q-2024海淀二模-6,S-2024海淀二模,6,选择题,入正文,入正文,答案C；考查概念间外延关系(矛盾/种属)与换位推理；选必三逻辑与思维概念部分；细则028确认C。,no,batch01_haidian_xicheng
Q-2024海淀二模-7,S-2024海淀二模,7,选择题,blocked,excluded,答案D；行政复议法/全国人大常委会监督权，属必修三政治与法治；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-8,S-2024海淀二模,8,选择题,excluded,excluded,答案B；社区协商议事/价值观共识，属必修四+必修三；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-9,S-2024海淀二模,9,选择题,blocked,excluded,答案D；民商事判决互认/一国两制，属必修三政治与法治；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-10,S-2024海淀二模,10,选择题,blocked,excluded,答案B；个人信息保护/隐私权，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-11,S-2024海淀二模,11,选择题,blocked,excluded,答案A；业主共有权/排除妨碍，属选必二法律与生活；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-12,S-2024海淀二模,12,选择题,blocked,excluded,答案B；营商环境改革，属必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-13,S-2024海淀二模,13,选择题,blocked,excluded,答案A；物流降本，属必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-14,S-2024海淀二模,14,选择题,excluded,excluded,答案C；欧盟关键原材料法案/经济全球化，属选必一当代国际政治与经济；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-15,S-2024海淀二模,15,选择题,blocked,excluded,答案D；联合国世界水日/人类命运共同体，属选必一；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-16,S-2024海淀二模,16,主观题,excluded,excluded,028细则确认；运用哲学角度+联系普遍性+矛盾对立统一+人生价值，属必修四哲学；非选必三思维主链。,no,batch01_haidian_xicheng
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),主观题,入正文,入正文,028细则确认；原题设问为'如何体现科学思维'；按硬规则十六SCIENCE_ONLY_SOURCE_SUPPORTED锁定：028细则三角度的客观性/三新-探索性/整体安排作为科学思维设问下的来源支持落点写，不冒充三模块并列设问；A-formal。,no,batch01_haidian_xicheng
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),主观题,入正文,入正文,028细则确认；'认识发展的历程'设问；调查了解阶段=感性具体，分析研究阶段=思维抽象+思维具体；硬规则九专项；A-formal；关系颠倒不给分。,no,batch01_haidian_xicheng
Q-2024海淀二模-18-1,S-2024海淀二模,18(1),主观题,excluded,excluded,028细则只写'可从时代主题、世界多极化、人类命运共同体、国际组织等角度作答'；属选必一当代国际政治与经济；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-18-2,S-2024海淀二模,18(2),主观题,excluded,excluded,028细则确认；运用《政治与法治》知识谈中国民主独特实践，属必修三；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-19-1,S-2024海淀二模,19(1),主观题,excluded,excluded,028细则确认；运用《法律与生活》分析判决社会价值，属选必二；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-19-2,S-2024海淀二模,19(2),主观题,excluded,excluded,实际细则只有19(1)；无19(2)子题；matrix行为冗余条目；按matrix状态保留excluded标签。,yes,batch01_haidian_xicheng
Q-2024海淀二模-20,S-2024海淀二模,20,主观题,excluded,excluded,028细则确认；运用《经济与社会》分析中部地区崛起，属必修二经济与社会；非选必三思维。,no,batch01_haidian_xicheng
Q-2024海淀二模-21,S-2024海淀二模,21,主观题,blocked,excluded,028细则确认；综合运用所学循新出发/2024政府工作报告热词，属综合短文不限选必三；可作为综合题同类索引，不入选必三主链正文。,no,batch01_haidian_xicheng
