question_id,suite_id,original_qno,question_type,base_conclusion,batch_decision,primary_source,source_id,stable_locator,duplicate_or_reference,base_decision_reason
Q-2024朝阳一模-1,S-2024朝阳一模,1,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q1,no,phase12_action=blocked_keep_out；phase12_category=blocked；blocker=scope pending or boundary row；note=范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳一模-2,S-2024朝阳一模,2,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q2,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-3,S-2024朝阳一模,3,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q3,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-4,S-2024朝阳一模,4,选择题,blocked,同类索引,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q4,no,phase12_action=blocked_keep_out；phase12_category=blocked；blocker=scope pending or boundary row；note=范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳一模-5,S-2024朝阳一模,5,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q5,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-6,S-2024朝阳一模,6,选择题,入正文,入正文,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q6,no,phase12_action=body_after_362_repair；phase12_category=new_body_candidate；blocker=scope pending or boundary row；note=逻辑规则选择题，讲评材料给出答案和 A/B/C/D 逻辑诊断，可转 review-only 正文。
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,入正文,入正文,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7,no,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。
Q-2024朝阳一模-8,S-2024朝阳一模,8,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q8,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,入正文,同类索引,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9,no,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。
Q-2024朝阳一模-10,S-2024朝阳一模,10,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q10,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-11,S-2024朝阳一模,11,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q11,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-12,S-2024朝阳一模,12,选择题,blocked,excluded,batch02_chaoyang_controlled_input,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q12,no,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。
