question_id,year,district,exam_stage,question_no,evidence_status,当前主入口,当前副入口,当前禁止命中,缺什么,可疑污染风险,是否适合回填,优先级,建议处理,原因
CC0077_2025_东城_一模_19,2025,东城,一模,19,PASS,完成表格,,单一合同主轴|万能纠纷解决|必修三公正司法,设问,页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,原卷表格、三案材料和阅卷报告均可锁定。
CC0084_2025_东城_二模_19,2025,东城,二模,19,PASS,完成表格,,平台用工|普通合同万能化|知识产权主轴,设问,页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,原卷和阅卷报告能锁定三案与表格设问。
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,PASS,裁判理由,材料证明,平台用工|三从属性|只写诚信经营,设问,页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,题面和裁判要点表格可锁定，细则有具体法理与事实采点。
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,PASS_RECOVERED,意义,规则意义,平台用工|三从属性|只写诚信经营,设问,未见明显文本污染，但仍需回源,yes,A,回源重写,原卷表格与正式细则均可锁定。
CC0206_2025_西城_期末_19,2025,西城,期末,19,PASS,问裁判,,合同万能化|平台用工|必修三法治套话,材料,页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,原卷案情、设问与正式口径可锁定。
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,PASS,裁判理由,材料证明,普通合同成立|消费者欺诈|知识产权,设问,页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,原卷表格和细则均可锁定；CC0214 是其子项补链。
CC0277_2026_房山_二模_18,2026,房山,二模,18,PASS,问法律边界及应对措施,,平台劳动|消费者三倍赔偿|普通合同,设问/材料,答案/解析混入或原题材料未锁定,no,A,待用户确认,不能把“风险1/2/3”的评分表当原题材料；先降入无法回填清单。
CC0317_2026_海淀_期中_18,2026,海淀,期中,18,PASS,问合同条款效力,,平台用工|消费者三倍赔偿|知识产权,设问/材料,答案/解析混入或原题材料未锁定,no,A,待用户确认,F0217标为试卷但文本显示为参考答案页；F0215不是对应法律题原卷，不能硬写。
CC0319_2026_海淀_期中_19,2026,海淀,期中,19,PASS,问行为评价,,消费者欺诈三倍赔偿|平台劳动|知识产权主轴,设问/材料,答案/解析混入或原题材料未锁定,no,A,待用户确认,不能用答案反推题面；不进入v12正文。
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,PASS,问举证责任,,合同成立|知识产权主轴|消费者,设问,页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,原卷表格和评分参考均可锁定。
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,PASS_RECOVERED,问观点评析,行为评价,相邻关系|生态绿色|纠纷解决万能化,局部核验,页码/幻灯片残留；OCR/串页风险,yes,B,回源重写,虽模块边界偏综合，但题源和给分口径可锁定，保留为低频婚姻家庭/良法评析题链。
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,PASS,问法院裁判理由,规则意义,平台用工三从属性|消费者|知识产权,局部核验,答案/解析混入；页码/幻灯片残留；OCR/串页风险；讲评分析混入,yes,B,回源重写,原卷题面和PPT细则均可锁定。
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,PASS,消费者权益保护,,平台用工|三从属性|只写诚信经营,设问,未见明显文本污染，但仍需回源,yes,B,回源重写,原卷题表和讲评细则已锁定。
CC0195_2025_西城_一模_20,2025,西城,一模,20,PASS,平台用工,,普通合同成立|消费者欺诈|知识产权,设问,未见明显文本污染，但仍需回源,yes,B,回源重写,题面明确综合经济法律；在v12中只回填法律主轴，保留边界提醒。
CC0245_2026_东城_期中_18_2,2026,东城,期中,18,PASS,待回源补设问,,万能合同|万能纠纷|万能意义,设问,页码/幻灯片残留；OCR/串页风险,yes,B,回源重写,F0205同页含题面和明确口径；可作为讲评明确给分口径回填。
CC0276_2026_房山_二模_17,2026,房山,二模,17,PASS_RECOVERED,问作用,,合同成立|消费者|平台用工,设问/材料,答案/解析混入或原题材料未锁定,no,B,待用户确认,缺原题材料和明确设问；不得仅凭答案/评标写题链。
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,PASS,问法院如何依法保护知识产权,规则意义,消费者|平台用工|普通合同,局部核验,答案/解析混入；讲评分析混入,yes,B,回源重写,原卷材料、设问、细则全部可锁定。
CC0318_2026_海淀_期中_18_2,2026,海淀,期中,18,PASS_RECOVERED,问规定意义,,合同成立具体争议|平台用工|消费者欺诈,设问/材料,答案/解析混入或原题材料未锁定,no,B,待用户确认,不能把答案当材料；不进入v12正文。
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,PASS,消费者权益保护,,平台用工|三从属性|只写诚信经营,设问,未见明显文本污染，但仍需回源,yes,A,回源重写,原卷第19题材料和设问已由 F0015 锁定，F0014/F0240 有正式细则与评标。
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,PASS_RECOVERED,问具体方案涉及哪些法律问题,,合同成立|消费者|平台用工,设问 / 材料,答案/解析混入；细则/评标混入；页码/幻灯片残留；OCR/串页风险,yes,A,回源重写,原卷锁定小问和资料卡，细则明确法律问题识别口径。
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,PASS,裁判理由,材料证明,普通合同成立|消费者欺诈|知识产权,设问,未见明显文本污染，但仍需回源,yes,C,回源重写,虽原题行由细则间接拆出，但可回到F0096同一表格案例二锁定。
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,PASS,问诉求能否支持,规则意义,万能意义价值|必修三公正司法|平台用工,局部核验,答案/解析混入；页码/幻灯片残留；OCR/串页风险；讲评分析混入,yes,C,回源重写,原卷两个案例与细则可锁定；注意不把第(2)问价值套话混入第(1)问材料触发。
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,PASS,问理由,,非本题讲评材料|平台用工|消费者乱套,设问/材料,答案/解析混入或原题材料未锁定,no,C,待用户确认,原卷材料缺失且串页污染明显；不得硬写。
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,PASS,问裁判理由,材料证明,逻辑小问|合同|消费者,局部核验,答案/解析混入；页码/幻灯片残留；OCR/串页风险,yes,C,回源重写,讲评PPT同时含完整题面、法律依据和细则，可作为正式明确口径回填。
