framework_point,作为主入口题数,作为副入口题数,作为主材料触发题数,作为副材料触发题数,formal_count,recovered_count,open_reference_count,典型题,是否核心,是否仅参考,禁止误用说明
侵权责任/安全保障,0,0,26,0,21,4,1,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19,是,否,仅在材料事实满足触发条件时使用。
法律制度意义/规则价值,0,0,22,0,16,3,3,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0054_2024_石景山_一模_17|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19,是,否,不得裸写价值，必须从规则和材料推出。
知识产权/不正当竞争,0,0,21,0,14,4,3,CC0011_2024_丰台_二模_17|CC0040_2024_海淀_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20,是,否,仅在材料事实满足触发条件时使用。
合同/违约,0,0,15,0,13,2,0,CC0019_2024_朝阳_一模_19|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19,是,否,不得把所有协议/诉讼都塞入合同主轴。
劳动关系/劳动纪律,0,0,10,0,8,1,1,CC0025_2024_朝阳_二模_17|CC0077_2025_东城_一模_19|CC0119_2025_丰台_期末_19|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2,是,否,仅在材料事实满足触发条件时使用。
消费者权益/格式条款,0,0,9,0,8,1,0,CC0019_2024_朝阳_一模_19|CC0063_2024_西城_二模_16|CC0084_2025_东城_二模_19|CC0125_2025_延庆_一模_19|CC0143_2025_朝阳_一模_19|CC0180_2025_海淀_期末_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2,是,否,仅在材料事实满足触发条件时使用。
纠纷解决/程序路径,0,0,9,0,8,1,0,CC0077_2025_东城_一模_19|CC0125_2025_延庆_一模_19|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0245_2026_东城_期中_18_2|CC0254_2026_丰台_二模_18|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18,是,否,不得见法院就写程序，先看具体私法规则。
人格权/名誉/隐私,0,0,4,0,2,1,1,CC0084_2025_东城_二模_19|CC0289_2026_朝阳_二模_18|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,是,否,仅在材料事实满足触发条件时使用。
相邻关系/共有部分,0,0,4,0,3,1,0,CC0092_2025_东城_期末_19_1|CC0223_2025_顺义_一模_19|CC0289_2026_朝阳_二模_18|CC0364_2026_通州_期中_19_1,是,否,仅在材料事实满足触发条件时使用。
完成举证责任表,1,0,0,0,1,0,0,CC0325_2026_石景山_一模_18,是,否,仅在材料事实满足触发条件时使用。
完成表格 / 一格一链,1,0,0,0,1,0,0,CC0077_2025_东城_一模_19,是,否,仅在材料事实满足触发条件时使用。
完成表格 / 一案一原则,1,0,0,0,1,0,0,CC0084_2025_东城_二模_19,是,否,仅在材料事实满足触发条件时使用。
