rel_path,suffix,status,chars,extract_file,note
2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf,.pdf,ok,5756,2026各区一模_2026东城一模_其他材料_26东城一模细则.pdf.txt,
2026各区一模\2026东城一模\其他材料\东城一模细则.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区一模\2026东城一模\试卷\2026东城一模 原卷扫描版.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,.pdf,ok,8321,2026各区一模_2026东城一模_试卷_2026北京东城高三一模政治（教师版）.pdf.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\16.pptx,.pptx,ok,1915,2026各区一模_2026东城一模_细则_2026东城一模细则_16.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\17.pptx,.pptx,ok,1262,2026各区一模_2026东城一模_细则_2026东城一模细则_17.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\18+选择7、13.pptx,.pptx,ok,1495,2026各区一模_2026东城一模_细则_2026东城一模细则_18+选择7、13.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\19（1）.pptx,.pptx,ok,154,2026各区一模_2026东城一模_细则_2026东城一模细则_19（1）.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\19（2）.pptx,.pptx,ok,1483,2026各区一模_2026东城一模_细则_2026东城一模细则_19（2）.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\19（3）.pptx,.pptx,ok,1335,2026各区一模_2026东城一模_细则_2026东城一模细则_19（3）.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\19（4）.pptx,.pptx,ok,1261,2026各区一模_2026东城一模_细则_2026东城一模细则_19（4）.pptx.txt,
2026各区一模\2026东城一模\细则\2026东城一模细则\20.pptx,.pptx,ok,1022,2026各区一模_2026东城一模_细则_2026东城一模细则_20.pptx.txt,
2026各区一模\2026丰台一模\细则\2026丰台一模细则.pptx,.pptx,ok,10427,2026各区一模_2026丰台一模_细则_2026丰台一模细则.pptx.txt,
2026各区一模\2026丰台一模\试卷\丰台一模.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区一模\2026延庆一模\细则\2026延庆一模细则.docx,.docx,ok,2599,2026各区一模_2026延庆一模_细则_2026延庆一模细则.docx.txt,
2026各区一模\2026延庆一模\试卷\2026北京延庆高三一模政治（教师版）.pdf,.pdf,ok,9981,2026各区一模_2026延庆一模_试卷_2026北京延庆高三一模政治（教师版）.pdf.txt,
2026各区一模\2026房山一模\细则\2026房山一模细则.docx,.docx,ok,3585,2026各区一模_2026房山一模_细则_2026房山一模细则.docx.txt,
2026各区一模\2026房山一模\试卷\2026北京房山高三一模政治.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区一模\2026朝阳一模\其他材料\chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,.docx,ok,4512,2026各区一模_2026朝阳一模_其他材料_chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx.txt,
2026各区一模\2026朝阳一模\细则\2026朝阳一模细则.docx,.docx,ok,4512,2026各区一模_2026朝阳一模_细则_2026朝阳一模细则.docx.txt,
2026各区一模\2026朝阳一模\试卷\2026北京朝阳高三一模政治（教师版）.pdf,.pdf,ok,14340,2026各区一模_2026朝阳一模_试卷_2026北京朝阳高三一模政治（教师版）.pdf.txt,
2026各区一模\2026海淀一模\细则\2026海淀一模细则.pdf,.pdf,ok,2247,2026各区一模_2026海淀一模_细则_2026海淀一模细则.pdf.txt,
2026各区一模\2026海淀一模\试卷\2026海淀一模 试卷扫描版_去水印.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区一模\2026石景山一模\细则\2026石景山一模细则.doc,.doc,unsupported_doc,0,,old .doc requires Word/LibreOffice conversion if needed
2026各区一模\2026石景山一模\试卷\2026北京石景山高三一模政治（教师版）.pdf,.pdf,ok,10175,2026各区一模_2026石景山一模_试卷_2026北京石景山高三一模政治（教师版）.pdf.txt,
2026各区一模\2026西城一模\细则\2026西城一模细则.docx,.docx,ok,2574,2026各区一模_2026西城一模_细则_2026西城一模细则.docx.txt,
2026各区一模\2026西城一模\试卷\2026北京西城高三一模政治.pdf,.pdf,empty_or_scan,0,,no text extracted; needs visual/OCR if relevant
2026各区一模\2026西城一模\试卷\高三统一测试思想政治试卷.docx,.docx,ok,6142,2026各区一模_2026西城一模_试卷_高三统一测试思想政治试卷.docx.txt,
2026各区一模\2026门头沟一模\细则\2026门头沟一模细则.docx,.docx,ok,4941,2026各区一模_2026门头沟一模_细则_2026门头沟一模细则.docx.txt,
2026各区一模\2026门头沟一模\试卷\门头沟区高三政治一模试卷.pdf,.pdf,ok,8859,2026各区一模_2026门头沟一模_试卷_门头沟区高三政治一模试卷.pdf.txt,
2026各区一模\2026顺义一模\细则\2026顺义一模细则.pptx,.pptx,ok,4544,2026各区一模_2026顺义一模_细则_2026顺义一模细则.pptx.txt,
2026各区一模\2026顺义一模\试卷\2026顺义一模.pdf,.pdf,ok,9804,2026各区一模_2026顺义一模_试卷_2026顺义一模.pdf.txt,
2026各区期末和期中\2026东城期末\细则\2026东城期末细则.pptx,.pptx,ok,19813,2026各区期末和期中_2026东城期末_细则_2026东城期末细则.pptx.txt,
