suite,bundle_dir,paper_files,rubric_files,status
2024.11朝阳期中,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中,"/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf","/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf",matched
2024东城一模,/Users/wanglifei/Desktop/2024模拟题/2024东城一模,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx
/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf",matched
2024东城二模,/Users/wanglifei/Desktop/2024模拟题/东城二模,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx",matched
2024丰台一模,/Users/wanglifei/Desktop/2024模拟题/丰台一模,"/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf
/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf","/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf",matched
2024丰台二模,/Users/wanglifei/Desktop/2024模拟题/丰台二模,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,matched
2024朝阳一模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx
/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx",matched
2024朝阳二模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf
/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx",matched
2024海淀一模,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx",matched
2024海淀二模,/Users/wanglifei/Desktop/2024模拟题/海淀二模,"/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf
/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx","/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx",matched
2024石景山一模,/Users/wanglifei/Desktop/2024模拟题/石景山一模,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,matched
