question_id,year,district,exam_stage,question_no,reason_false_positive_or_overincluded,likely_true_module,evidence_issue,recommended_action,source_locator
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,"设问明确为'运用法治知识'（政治与法治 — 必修三 良法概念），不是'运用《法律与生活》知识'。材料的婚姻法/民法典/夫妻共同债务条文是评析'良法符合国情'的素材，不是问合同/婚姻法律规则本身。Codex 自己在 notes 里也写'必修三化风险'。2025海淀期中 Q21(1) 是完全相同的问题（同一题材重复使用），Codex 把它判为 midterm_mixed_law_reference_not_core 不入核心。同一题型在 2024 入核心、2025 不入，标准内部矛盾。",必修3 政治与法治 (良法/科学立法主题) + 必修4 哲学（与时俱进）混合，与选必二《法律与生活》直接对应弱。,"虽然 evidence_level=formal（讲评有评分维度），但 module 归类与 2025 同题不一致；并且 confidence=medium、自我备注 module_boundary_risk='选必二'但带'必修三化风险'，证据稳定性弱于其它 formal。",降级为 boundary/mixed 或移入 reference_only_supplement，至少不要单独支撑'婚姻法律/良法'框架核心；与 2025海淀期中 Q21(1) 统一处理。,F0027:page 50/52 | F0252:page 50/52 (2024海淀期中 细则.pdf)
RECOVER_2024_顺义_二模_17,2024,顺义,二模,17,"设问'结合材料，运用所学知识，说明我国财产制度改革如何助力经济社会发展'明确指向'经济社会发展'，没有'运用《法律与生活》知识'限定。答案围绕产权制度、所有制经济组织、市场主体投资交易预期、创新驱动发展、社会主义市场经济基石展开，是典型必修2《经济与社会》论证语言；'物权平等保护原则''民事主体的财产关系'只是法条性引述，不是法律规则讲解。本题核心叙事归属为经济社会改革。",必修2 经济与社会（产权制度改革/社会主义市场经济），仅边缘引用物权平等保护表述。,"evidence_level=reference_only；module_boundary_risk 标 '选必二' 但 ask 与 answer 主轴均是经济社会发展；属于 boundary_recovered 时被强行拉入。",降级出核心66，转入 boundary_mixed 表或经济社会观察池；不允许以此推导《法律与生活》'物权/财产权制度'核心句式。,F0069:lines 112-113 | F0068:lines 17-20 (2024 顺义二模 答案+试卷)
CC0311_2026_海淀_二模_18,2026,海淀,二模,18,"该 row 把14分Q18 整体拉入核心（含 Q18(1) 6分逻辑思维 + Q18(2) 8分法律），question_no=18 / sub_question_no='' 导致 ask_atom/material_atom 里 18(1) 逻辑思维 内容混入'法律与生活'语料。Q18(2) 才是 法律与生活（知识产权、民法典、公司法、专利法、职务发明），Q18(1) 是逻辑思维。",Q18(2)=选必二《法律与生活》知识产权与财产权章；Q18(1)=选必三《逻辑与思维》。,"evidence_level=reference_only；question_no/sub_question_no 未拆分，导致跨模块串题。",拆分为两条 row：一条 18_2（保留核心、evidence_level 视细则升 formal 或保持 reference_only）；一条 18_1 移出核心至 boundary 或非法律侧。,F0197:text Q18 answer (2026海淀二模 教师版.docx)
CC0244_2026_东城_期中_18,2026,东城,期末_BUT_LABELED_期中,18,"exam_stage 标错：source_paper_file 明确是 '2026各区期末和期中/2026东城期末/试卷/试卷.pdf' (F0206)，rubric 是 '2026东城期末/细则/细则.pptx' (F0205)。Codex matrix 把 2026 东城期末 直接挂在 '期中' 行下。题目内容本身是有效的核心法律主观题，问题在于阶段标签错。这不是 false positive in module sense，但 stage_mapping 错误会影响'期中是否有法律题'的统计与用户判断。",选必二 法律与生活（题目本身正确，只是阶段标错。stage 应为 期末。),stage_mapping_conflict，并入 boundary_review 不会改变核心数量，但需修正 exam_stage 字段。,将 exam_stage 由 '期中' 改为 '期末'，并在 suite 矩阵中新建独立的 2026 东城 期末 suite，从'2026 东城 期中'移除。,F0205:slide 49/55 | F0206:page 6/8
CC0245_2026_东城_期中_18_2,2026,东城,期末_BUT_LABELED_期中,18,同 CC0244 — 阶段标签错（实为 期末）。,选必二 法律与生活（同上）。,stage_mapping_conflict。,修正 exam_stage 为 期末。,F0205:slide 56
CC0317_2026_海淀_期中_18,2026,海淀,期末_BUT_LABELED_期中,18,"source_paper_file = '2026海淀期末/试卷/试卷.pdf' (F0217)，rubric = '2026海淀期末/细则/细则.pdf' (F0216)。实际为期末，stage 标错。F0215 (2026海淀期中真试卷) 主观题为 16-22 经济社会/政治法治/当代国际，没有 法律与生活 — 故海淀真期中 = 无核心法律主观题；CC0317-319 全部来自海淀期末。",选必二 法律与生活（题目正确）。,stage_mapping_conflict。,修正 exam_stage 为 期末；同时在 suite 矩阵中新建 2026 海淀 期末 suite。,F0216:page 2 | F0217:page 10 | F0396:page 2
CC0318_2026_海淀_期中_18_2,2026,海淀,期末_BUT_LABELED_期中,18,同 CC0317 — 阶段标签错。,选必二 法律与生活。,stage_mapping_conflict。,修正 exam_stage 为 期末。,F0216:page 2 | F0396:page 2
CC0319_2026_海淀_期中_19,2026,海淀,期末_BUT_LABELED_期中,19,同 CC0317 — 阶段标签错。,选必二 法律与生活。,stage_mapping_conflict。,修正 exam_stage 为 期末。,F0216:page 3 | F0217:page 10 | F0396:page 3
CC0353_2026_西城_期中_17,2026,西城,期末_BUT_LABELED_期中,17,"rubric_file 路径明确为 '2026西城期末/细则/补充材料/高三思想政治参考答案.pdf' (F0221)。题目实质为反不正当竞争法 + 未成年人保护法 + 侵权责任评析。stage 标错。evidence_level=reference_only，证据偏弱，但内容确属法律与生活。",选必二 法律与生活（反不正当竞争、未成年人保护、侵权责任）。,stage_mapping_conflict；evidence_level=reference_only（参考答案而非阅卷细则）。,修正 exam_stage 为 期末；保留 reference_only；如能拿到正式阅卷细则可升 formal。,F0221:page 11
CC0364_2026_通州_期中_19_1,2026,通州,期末_BUT_LABELED_期中,19,rubric_file 明确为 '2026通州期末/细则/细则.pptx' (F0223)，stage 标错。,选必二 法律与生活。,stage_mapping_conflict。,修正 exam_stage 为 期末；suite 矩阵中新建 2026 通州 期末。,F0223:slide 11 | F0403:slide 11
