suite_audit_id,year,district,exam_stage,codex_suite_status,claudecode_suite_status,codex_core_question_ids,claudecode_core_question_ids_confirmed,missed_core_candidate_ids,false_positive_question_ids,boundary_case_ids,source_file_ids_checked,paper_files_checked,rubric_files_checked,non_midterm_without_core,midterm_without_core,user_claim_assessment,source_or_ocr_blocker,decision,reason,source_locator
A_2024_东城_一模,2024,东城,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2024_东城_一模_19,RECOVER_2024_东城_一模_19,,,,F0009;F0010;F0011;F0234;F0235;F0236,F0011 (ocr_blocked rendered),F0009;F0010;F0234;F0235,no,n/a,consistent_with_user_claim,试卷PDF OCR blocked 但 rendered+answer+rubric 已覆盖,confirm_codex,Q19 法律与生活 formal 已入核心；定位与证据皆可信。,suite_exhaustion_matrix row 2
A_2024_东城_二模,2024,东城,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,RECOVER_2024_东城_二模_19_1;RECOVER_2024_东城_二模_19_2,RECOVER_2024_东城_二模_19_1;RECOVER_2024_东城_二模_19_2,,,UNCERTAIN_2024_东城_二模_18_2_MIXED,F0029-F0042;F0254-F0266,F0043 F0254,F0030-F0042;F0255-F0266,no,n/a,consistent_with_user_claim,试卷PDF OCR blocked 但rubric.docx 覆盖,confirm_codex,Q19(1)(2) 入核心；Q18(2) 保留 boundary。,row 3
A_2024_丰台_一模,2024,丰台,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0002,CC0002,,,,F0044;F0045;F0046;F0267-F0269,F0046 F0269,F0044 F0045 F0267 F0268,no,n/a,consistent,none,confirm_codex,Q17 入核心。,row 4
A_2024_丰台_二模,2024,丰台,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0011,CC0011,,,,F0047 F0048 F0270 F0271,F0048 F0271,F0047 F0270,no,n/a,consistent,paper ocr blocked 但 rubric ok,confirm_codex,Q17 入核心。,row 5
A_2024_朝阳_一模,2024,朝阳,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0019,CC0019,,,,F0012-F0015;F0237-F0240,F0015 F0237,F0013 F0014 F0239 F0240,no,n/a,consistent,none,confirm_codex,Q19 入核心。,row 6
A_2024_朝阳_二模,2024,朝阳,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0025,CC0025,,,,F0016-F0018;F0241-F0243,F0018 F0241,F0016 F0017 F0242 F0243,no,n/a,consistent,none,confirm_codex,Q17 入核心。,row 7
A_2024_朝阳_期中,2024,朝阳,期中,no_law_subjective_confirmed,no_law_subjective_confirmed,,,,,,F0019-F0023;F0244-F0248,F0022 F0023 F0246 F0247,F0019 F0020 F0021 F0244 F0245 F0248,n/a,yes,consistent_with_user_claim,paper 文本可读，逐题核对，无法律与生活,confirm_codex,Q16 历史唯物 Q17 哲学与文化 Q18 逻辑 Q19 创新思维 Q20 经济+国际，无法律。,row 8
A_2024_海淀_一模,2024,海淀,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0040,CC0040,,,,F0024-F0026;F0249-F0251,F0026 F0251,F0024 F0025 F0249 F0250,no,n/a,consistent,evidence_level=reference_only 已正确标注,confirm_codex_with_caveat,Q19 显式'运用《法律与生活》'，但仅参考答案级证据，reference_only 标注合理。,row 9
A_2024_海淀_二模,2024,海淀,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0045,CC0045,,,,F0051-F0054;F0272-F0275,F0053 F0054 F0274 F0275,F0051 F0052 F0272 F0273,no,n/a,consistent,none,confirm_codex,Q19 入核心。,row 10
A_2024_海淀_期中,2024,海淀,期中,has_suite_exhaustive_core_rows,suspicious_inconsistent_with_2025_海淀_期中,CC0051_2024_海淀_期中_21_1,CC0051 (建议降级 — 与 2025 同题不同口径),,CC0051_2024_海淀_期中_21_1,,F0027 F0028 F0252 F0253,F0028 F0253,F0027,n/a,no_BUT_DISPUTED,partially_supports_user_claim,none,downgrade_or_force_consistency,设问'运用法治知识'（必修3 良法），与 2025海淀期中 同题被 Codex 排除为 boundary。建议把 CC0051 降为 boundary 或把 2025 同题升入核心，统一处理。,row 11
A_2024_石景山_一模,2024,石景山,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0054,CC0054,,,,F0055 F0056 F0276 F0277,F0056 F0277,F0055 F0276,no,n/a,consistent,none,confirm_codex,Q17 入核心。,row 12
A_2024_西城_一模,2024,西城,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0061,CC0061,,,,F0057-F0061;F0278-F0282,F0057 F0060 F0061 F0280-F0282,F0058 F0059 F0278 F0279,no,n/a,consistent,~$ lock files extract failed but not material,confirm_codex,Q18 入核心。,row 13
A_2024_西城_二模,2024,西城,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0063,CC0063,,,,F0064-F0067;F0283;F0286-F0288,F0066 F0067 F0283 F0288,F0064 F0065 F0286 F0287,no,n/a,consistent,none,confirm_codex,Q16 入核心。,row 14
A_2024_顺义_二模,2024,顺义,二模,has_suite_exhaustive_core_rows,boundary_recovered_overreach,RECOVER_2024_顺义_二模_17,RECOVER_2024_顺义_二模_17 (建议改 boundary),,RECOVER_2024_顺义_二模_17,,F0068 F0069 F0289 F0290,F0069 F0289,F0068 F0290,no,n/a,partially_supports_user_claim,none,downgrade_to_boundary,设问'运用所学知识'+'经济社会发展'，答案围绕产权制度/市场主体/社会主义市场经济基石；法律与生活仅边缘语汇'物权平等保护'；evidence_level=reference_only。降级出核心。,row 15
A_2025_东城_一模,2025,东城,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0077,CC0077,,,,F0072-F0074;F0291;F0292,F0074 F0291,F0073 F0292,no,n/a,consistent,none,confirm_codex,,row 16
A_2025_东城_二模,2025,东城,二模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0084,CC0084,,,,F0100 F0101 F0316 F0317,F0101 F0316,F0100 F0317,no,n/a,consistent,none,confirm_codex,,row 17
A_2025_东城_期末,2025,东城,期末,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0092_2025_东城_期末_19_1,CC0092,,,,F0127-F0130;F0338-F0340,F0130 F0339 F0340,F0128 F0129,no,n/a,consistent,none,confirm_codex,Q19(1) 入核心。,row 18
A_2025_丰台_一模,2025,丰台,一模,has_suite_exhaustive_core_rows,has_suite_exhaustive_core_rows,CC0103,CC0103,,,,F0075 F0076 F0293 F0294,F0076 F0293,F0075 F0294,no,n/a,consistent,none,confirm_codex,,row 19
