priority,question_id,parent_question_id,source_batch,type,framework_node,evidence_level,decision,decision_reason,source_evidence,patch_needed,can_enter_fusion
P1,Q-2024朝阳期中-18-晏子推理,Q-2024朝阳期中-18,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,confirmed_with_patch,材料以两个对象在部分属性上的相同或相似，推出另一属性上的相同或相似，触发类比推理；同时要说明或然性和论证效果。,017 support 2024.11期中政治朝阳评标docx.docx.txt::18题阅卷细则1: 晏子属于类比推理；相同推相同；说明如何类比；虽为或然推理但增强论证说服力。,yes,yes
P1,Q-2024朝阳期中-18-楚王推理,Q-2024朝阳期中-18,batch02_chaoyang_controlled_input,main_thinking,推理>归纳>不完全归纳·轻率概括,A-formal,confirmed_with_patch,材料由部分对象推出一般结论，触发不完全归纳；样本过少又触发轻率概括/以偏概全。,017 support 2024.11期中政治朝阳评标docx.docx.txt::18题阅卷细则1: 楚王属于不完全归纳推理；前提只涉及部分对象所以是或然推理；犯轻率概括；应考察更多对象提高可靠程度。,yes,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,confirmed_with_patch,拓展应用场景、优化服务是发散；围绕成果转化轴心整合资源是聚合。,046 support 19（4）.pptx.txt::SLIDE 4-5: 坚持发散与聚合思维统一，发散拓展应用场景，聚合围绕科技成果转化轴心整合多方资源。,yes,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>思路新方法新结果新（实践基础+创新思维特征）,A-formal,confirmed_with_patch,实践基础、敢用新手段和大胆试验，对应创新思维思路新、方法新、结果新。,046 support 19（4）.pptx.txt::SLIDE 4-5: 创新思维知识含实践、思路多向性、步骤跨越性、结果独特性、思路新方法新结果新，并要求结合原创技术落地分析。,yes,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,confirmed_with_patch,对科技转化矛盾作理性分析、正确预见并提前制度布局，触发超前思维。,046 support 19（4）.pptx.txt::SLIDE 4-5: 坚持超前思维，理性分析科技转化内在矛盾，健全评价、产权激励、转化推广制度，谋划长远布局。,yes,yes
P1,Q-2026东城一模-19-4,Q-2026东城一模-19-4,batch03_dongcheng,main_thinking,辩证思维>整体性·分析与综合（同类索引到必修四系统观念）,A-formal,downgrade_to_index,该点正式细则存在，但主要作为系统观念/必修四同类索引；在选必三正文中只挂接到辩证思维整体性、分析与综合。,046 support 19（4）.pptx.txt::SLIDE 3-5: 系统观念要求立足整体、综合思维、结构优化，统筹基础研究、技术研发、成果转化、产业应用和多方资源。,yes,yes
P1,Q-2025丰台期末-18-1,Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,confirmed_with_patch,必要条件假言判断要求前件是后件的必要条件。,040 support 2025丰台期末细则.pptx.txt::SLIDE 18: 必要条件假言判断1分；保真条件是前件是后件的必要条件1分。,yes,yes
P1,Q-2025丰台期末-18-1,Q-2025丰台期末-18-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>联言判断,A-formal,confirmed_with_patch,联言判断为真，当且仅当各联言支都为真。,040 support 2025丰台期末细则.pptx.txt::SLIDE 18: 联言判断1分；保真条件是当且仅当各个联言支都是真的1分。,yes,yes
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>充分条件假言判断,A-formal,confirmed_with_patch,'如果p那么q'触发充分条件假言判断；甲真时不能否定后件。,035 support 2025顺义一模细则.docx.txt::17(1)评分细则: 甲为充分条件假言判断，三位同学判断类型全部准确给1分，并可结合判断类型分析。,yes,yes
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>假言判断>必要条件假言判断,A-formal,confirmed_with_patch,'除非p否则不q'可转化为只有p才q，触发必要条件假言判断。,035 support 2025顺义一模细则.docx.txt::17(1)评分细则: 乙为必要条件假言判断；由甲乙均真可推出杭州既获得科创基金支持又成为科创人才高地。,yes,yes
P1,Q-2025顺义一模-17-1,Q-2025顺义一模-17-1,batch04_fengtai_shunyi_tongzhou,main_thinking,推理边界>判断>复合判断>相容选言判断,A-formal,confirmed_with_patch,'或者...或者...'且可同时成立，触发相容选言判断。,035 support 2025顺义一模细则.docx.txt::17(1)评分细则: 丙为相容选言判断，至少一个选言支真即可为真，也可以都真。,yes,yes
