question_id,label,question_type,include_status,legal_scope_method,front_domain,framework_domain,result_landing,evidence_type,evidence_status,answer,candidate_answer,rubric_source
2024_东城_一模_001_Q9,2024 东城 一模 2024东城一模 第9题,choice,included,choice_whole_question,物权相邻继承家庭,财产权、物权与相邻关系,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf
2024_东城_一模_001_Q10,2024 东城 一模 2024东城一模 第10题,choice,included,choice_whole_question,物权相邻继承家庭,婚姻家庭与继承扶养,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf
2024_东城_一模_001_Q11,2024 东城 一模 2024东城一模 第11题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,生态公益、新业态与法治价值,客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,A,,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf
2024_东城_一模_001_Q19,2024 东城 一模 2024东城一模 第19题,subjective,included,fallback_legal_prompt,纠纷解决生态公益与新业态,纠纷解决与程序救济,诉讼救济,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf
2024_朝阳_二模_003_Q11,2024 朝阳 二模 2024朝阳二模 第11题,choice,included,choice_whole_question,物权相邻继承家庭,婚姻家庭与继承扶养,客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,B,,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京朝阳高三二模政治试题及答案_vision.txt
2024_朝阳_二模_003_Q12,2024 朝阳 二模 2024朝阳二模 第12题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,official_answer_key,objective_answer_locked,C,,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京朝阳高三二模政治试题及答案_vision.txt
2024_朝阳_二模_003_Q17,2024 朝阳 二模 2024朝阳二模 第17题,subjective,included,whole_question_no_explicit_legal_small_question,合同消费者劳动,劳动就业与职业边界,补偿或经济补偿、权利/财产/遗产归属、劳动仲裁或纠纷解决路径、价值意义,formal_or_scoring_source,formal_scoring_matched,,,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf
2024_海淀_一模_005_Q8,2024 海淀 一模 2024海淀一模 第8题,choice,excluded_by_curation,choice_whole_question,纠纷解决生态公益与新业态,生态公益、新业态与法治价值,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
2024_海淀_一模_005_Q10,2024 海淀 一模 2024海淀一模 第10题,choice,included,choice_whole_question,合同消费者劳动,劳动就业与职业边界,客观判断落点：D；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,D,,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
2024_海淀_一模_005_Q11,2024 海淀 一模 2024海淀一模 第11题,choice,included,choice_whole_question,纠纷解决生态公益与新业态,纠纷解决与程序救济,客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。,formal_or_scoring_source,objective_answer_locked,C,,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
