severity,idx,node,title,issue_type,evidence,action
P2,60,联想思维,3. 2026朝阳一模 第17题第（1）问后半（主观题）,adjudication_order_mismatch,MD order 60 line 655 != CSV row idx 60 发散思维与聚合思维 / 3. 2026东城一模 第19题第（4）问（主观题）,sort or add stable md_order column before using table for manual review
P2,61,联想思维,4. 2026海淀二模 第18题第（1）问（主观题）,adjudication_order_mismatch,MD order 61 line 665 != CSV row idx 61 联想思维 / 4. 2026朝阳一模 第17题第（1）问后半（主观题）,sort or add stable md_order column before using table for manual review
P2,62,联想思维,5. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,adjudication_order_mismatch,MD order 62 line 675 != CSV row idx 62 联想思维 / 5. 2026海淀二模 第18题第（1）问（主观题）,sort or add stable md_order column before using table for manual review
P2,63,联想思维,6. 2025门头沟一模 第21题第（1）问（主观题）,adjudication_order_mismatch,MD order 63 line 685 != CSV row idx 63 联想思维 / 6. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,sort or add stable md_order column before using table for manual review
P2,64,发散思维与聚合思维,1. 2026东城一模 第19题第（4）问（主观题）,adjudication_order_mismatch,MD order 64 line 697 != CSV row idx 64 联想思维 / 7. 2025门头沟一模 第21题第（1）问（主观题）,sort or add stable md_order column before using table for manual review
P0,3,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 效治理国家、保障人民当家作主、保证国家政治生活既充满活力又安定有序等方面展现出显著优势。（2分） 中国共产党领导的多党合作和政治协商制度有利于发展社会主义民主。（2分） 是从制度方面对“如何彰显中国民主实践的显著优势”进行描述，其中两个制度名称需要明确才能得分，所彰显的优势要与制度相对应才能得分。扩展答案有：坚持党的领导；坚持党的领导、人民当家作主、依法治国相统一；最真实最广泛最管用，每条1分，最多一分，不可重复得分。 （3）人大代表、政协委员通,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,6,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] 的国际秩序。 18.（9分）任务类型：预测与选择（运用所学概括当前优势+提出推动低空经济高质量发展的方案） 分项 标准 评分细则（0-9分） ① 生产生活需求不断增长，使低空经济拥有超大规模市场优势，应以需求为牵引，创新开拓更丰富的应用场景，培育新产业新模式，不断壮大低空经济规模。 采点与采意赋分相结合，采点赋分为主。 结合材料概括当前优势，基于优势提出推动低空经济高质量发展的方案，准确回答其中一方面得3分，准确回答三方面得9分。 从其他角度回答，,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,7,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 后扣回如何赋能新质生产力（技术支持/要素支持/人才支持） 1分 第二层： 加快建设全国统一大市场→建立统一开放、竞争有序的市场体系→打破地方保护和市场分割→能发挥市场优势、释放市场潜力→促进生产要素公平参与竞争、优化资源配置→为新质生产力发展提供良好市场环境 说明： 市场优势（市场在资源配置中起决定性作用） 1分 公平竞争 或者优化资源配置 1分 市场环境（高标准市场体系/统一开放、竞争有序的市场体系）写对写准1分 第三层： 全面深化改革→通过体,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,8,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] /有利于劳动者遵守职业道德（1分） ③有利于和谐劳动关系的构建/有利于弘扬诚信的社会主义核心价值观/维护了社会公平正义 一、20题答题思路 严格按照给出的事例完成下列裁判要点。答题思路：首先分析案例一的裁判要点进而对案例二从裁判结果、裁判理由和现实意义三个角度进行分析。 裁判结果：包括支持+是否需要承担XX责任两部分构成，对应的案例二答案应分为两部分支持/驳回/部分支持+是否需要承担XX责任两部分 裁判理由：包括【法律依据】+【事实分析】，对应案例,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,9,追求认识的客观性,9. 2025西城一模 第17题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 实践，溯源自然密码、触摸文化记忆、激活现代表达，在实践中体验、感受和深化对中华优秀传统文化的认识，增进文化认同、增强文化自信。 认识具有前进性、上升性，在实践基础上不断发展，“校园诗经角”“设计诗经主题旅游线路”的持续行动，将短期研学成果转化为长期文化浸润和创新实践，进一步深化对中自身文化的理解，不忘本来，并以实际行动自觉弘扬和传承中华优秀传统文化（创造性转化创新性发展），延续民族文化血脉。 【细则】 哲学观点3 分 正确的认识对实践有指导作用/,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,12,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,rubric_evidence_unreliable,[细则.pptx | node_or_question_terms] 所有由前沿技术驱动，具有前瞻性、战略性、颠覆性特点的产业都是未来产业。 量子科技是由前沿技术驱动，具有前瞻性、战略性、颠覆性特点的产业。 量子科技是未来产业。 判断 上述推理 是否正确 ，并 说明理由 。 ( ３分 ) 阅卷细则： 判断正误： 该 推理是 错误 的 （ 1 分） 。 演绎推理要确保得到真实的结论，必须 具备两个条件： 一是 作为推理根据的 前提是真实的判断 ， 材料中 “ 未来产业由前沿技术驱动，具有前瞻性、战略性、颠覆性等特点。,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,13,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 障人民当家作主、保证国家政治生活既充满活力又安定有序等方面展现出显著优势。（2分） 中国共产党领导的多党合作和政治协商制度有利于发展社会主义民主。（2分） 是从制度方面对“如何彰显中国民主实践的显著优势”进行描述，其中两个制度名称需要明确才能得分，所彰显的优势要与制度相对应才能得分。扩展答案有：坚持党的领导；坚持党的领导、人民当家作主、依法治国相统一；最真实最广泛最管用，每条1分，最多一分，不可重复得分。 （3）人大代表、政协委员通过建言献策，将,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,14,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] 劳动者遵守职业道德（1分） ③有利于和谐劳动关系的构建/有利于弘扬诚信的社会主义核心价值观/维护了社会公平正义 一、20题答题思路 严格按照给出的事例完成下列裁判要点。答题思路：首先分析案例一的裁判要点进而对案例二从裁判结果、裁判理由和现实意义三个角度进行分析。 裁判结果：包括支持+是否需要承担XX责任两部分构成，对应的案例二答案应分为两部分支持/驳回/部分支持+是否需要承担XX责任两部分 裁判理由：包括【法律依据】+【事实分析】，对应案例二答案应,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,16,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,rubric_evidence_unreliable,[细则.pptx | node_or_question_terms] 量子科技是未来产业。 判断 上述推理 是否正确 ，并 说明理由 。 ( ３分 ) 阅卷细则： 判断正误： 该 推理是 错误 的 （ 1 分） 。 演绎推理要确保得到真实的结论，必须 具备两个条件： 一是 作为推理根据的 前提是真实的判断 ， 材料中 “ 未来产业由前沿技术驱动，具有前瞻性、战略性、颠覆性等特点。 ” 不能必然推出 “ 所有由前沿技术驱动，具有前瞻性、战略性、颠覆性特点的产业都是未来产业。 ” 前提不是真实的判断 （ 1 分） 。 ,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,17,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 家作主、保证国家政治生活既充满活力又安定有序等方面展现出显著优势。（2分） 中国共产党领导的多党合作和政治协商制度有利于发展社会主义民主。（2分） 是从制度方面对“如何彰显中国民主实践的显著优势”进行描述，其中两个制度名称需要明确才能得分，所彰显的优势要与制度相对应才能得分。扩展答案有：坚持党的领导；坚持党的领导、人民当家作主、依法治国相统一；最真实最广泛最管用，每条1分，最多一分，不可重复得分。 （3）人大代表、政协委员通过建言献策，将群众智慧,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,18,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,rubric_evidence_unreliable,[细则.doc | node_or_question_terms] .（9分）任务类型：预测与选择（运用所学概括当前优势+提出推动低空经济高质量发展的方案） 分项 标准 评分细则（0-9分） ① 生产生活需求不断增长，使低空经济拥有超大规模市场优势，应以需求为牵引，创新开拓更丰富的应用场景，培育新产业新模式，不断壮大低空经济规模。 采点与采意赋分相结合，采点赋分为主。 结合材料概括当前优势，基于优势提出推动低空经济高质量发展的方案，准确回答其中一方面得3分，准确回答三方面得9分。 从其他角度回答，言之成理最高得5分,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,21,整体性,1. 2025海淀二模 第20题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 律保障。(1分)【替代:法治保障；以良法促善治】 层次2：桥梁和纽带 | 人大代表联系人民群众 | 人大代表由人民选举产生，代表人民行使国家权力。代表法的修正完善了代表联系人民群众制度，有助于人大代表保持与人民群众的密切联系(1分)采取多种方式听取意见和要求。【替代:保障人民的知情权、参与权、表达权、监督权】(1分) 层次2：桥梁和纽带 | 人大代表联系“一府一委两院” | 人大代表参与“一府一委两院”相关工作和活动【替代:国家机关加强同代表的联,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,22,整体性,2. 2025东城一模 第18题第（1）问（主观题）,rubric_evidence_unreliable,[细则.pdf | node_or_question_terms] 例／明确裁判标准／ 明确行为边界）1 分，推动公正司法／全民守法／企业法治意识1 分 。 为推动数字经济健康发展提供法治保障（写在任何一点里面，都可替代法治分1 分） 。 （二）学生表现和问题 1．大段抄材料，未对接学科知识。 2．答案不分点、不分层。 3．未从法治角度用“法治主体+行为+作用”的知识对三层材料予以解读。 4．只笼统描述对数字经济的作用，未能运用经济模块的知识具体分析对要素、创新、市场 秩序的作用。 5．部分同学对法治的作用简单等同,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,24,整体性,4. 2026房山一模 第18题第（1）问（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] ）提出要提高生成内容的准确性和可靠性，法院认定不构成侵权：有利于平衡技术创新发展与民事权益保护的关系，引导公众理性使用AI，增强全民法治观念；规范AI行业发展，促进技术创新；彰显公平，促进公正司法。 17.2 细则变通： ♣2分 平衡民事主体合法权益的保护与社会公共利益/平衡技术创新发展与民事权益保护的关系/公平，展开 ♣1分 公民：引导公众理性使用AI，增强全民法治观念/普法宣传/全民守法 ♣1分 AI行业：规范AI行业发展/促进技术创新/积极,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,28,动态性,1. 2025海淀二模 第20题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 和要求。【替代:保障人民的知情权、参与权、表达权、监督权】(1分) 层次2：桥梁和纽带 | 人大代表联系“一府一委两院” | 人大代表参与“一府一委两院”相关工作和活动【替代:国家机关加强同代表的联系】(1分)对其进行监督，反馈群众的意见和建议，将国家机关的工作情况传递给人民群众，保障人民群众民主权利。注:“监督”【替代:人大代表行使提案权、审议权、表决权、质询权】或“下达”，1分 层次3：总结 | 层次3：总结 | 代表法的修正践行全过程人民民,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,29,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,rubric_evidence_unreliable,[细则.pdf | node_or_question_terms] 表达民意/政 协委员积极履行职能/人大代表积极履职 辩写出以上任意1 点给2 分，替换：民主协商、民 主决策），有序参与政府工作报告的形成； 3、 全国人大积极行使监督权/决定权/将民意经过法定程序转化为国家的方针政策/ 辩写出以 上任意1 点给2 分）辩替换：保障了人民真正当家作主，给1 分）。 辩如果学生1分没得，只写党的领导、人民当家作主、依法治国有机统一给2 分） 总述 2 分： 政府工作报告形成的过程既发扬民主，又正确集中，能够把党的主张,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
P0,30,分析与综合,1. 2025海淀二模 第20题（主观题）,rubric_evidence_unreliable,[细则.docx | node_or_question_terms] 专业、为什么能实现这一规划/专业等。(可选知识:中国梦、中国特色社会主义道路、中国式现代化、和平与发展是世界的主题、经济全球化、世界多极化等) 论述能结合自己的规划、选择合适的知识进行充分论述给2分，论述只是提了一下自己规划的给1分，论述不提规划的只能给知识的1分，不给论述分。结合规划从个人角度作答:知识(1分)+论述(2分) 本部分中，可以结合不同模块的知识，回应为所选规划可以做些什么?(可选知识:外交、企业的经营、文化传播、法律等:实现个人价,must reopen exact original rubric/marking material and replace evidence; do not treat row as source-locked
