suite_id,suite_name,year,district,stage,paper_status,answer_key_status,rubric_status,choice_processed,subjective_processed,philosophy_entries,culture_entries,wrong_option_rows,evidence_level,worker_report,patcher_status,governor_status,blocker,closure_note,late_evidence_files
S001,2024海淀一模,2024,海淀,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S002,2024西城一模,2024,西城,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S003,2024东城一模,2024,东城,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2024,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S004,2024朝阳一模,2024,朝阳,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S005,2024丰台一模,2024,丰台,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S006,2024石景山一模,2024,石景山,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S007,2024门头沟一模,2024,门头沟,2024各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2024,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S008,2024海淀二模,2024,海淀,2024各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S009,2024西城二模,2024,西城,2024各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S010,2024东城二模,2024,东城,2024各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2024,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\harvey_2024_east_objective.csv
S011,2024朝阳二模,2024,朝阳,2024各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S012,2024丰台二模,2024,丰台,2024各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2024,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S013,2024顺义思政二模,2024,顺义,2024各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S014,2024海淀期中,2024,海淀,2024各区期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,late-objective-closure,worker-2024,reviewed,PASS_OBJECTIVE,,迟到客观题补证已闭合；相关选择题链条已进入补充学生版。,C:\bp_sync_visible\reports\full_all_suites_independent_rerun_2026-04-29\late_objective_closure\linnaeus_2024_other_objective.csv
S015,2024朝阳期中,2024,朝阳,2024各区期中,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2024,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S016,2025海淀一模,2025,海淀,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S017,2025西城一模,2025,西城,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S018,2025东城一模,2025,东城,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S019,2025朝阳一模,2025,朝阳,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S020,2025丰台一模,2025,丰台,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S021,2025延庆一模,2025,延庆,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S022,2025房山一模,2025,房山,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S023,2025石景山一模,2025,石景山,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S024,2025门头沟一模,2025,门头沟,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S025,2025顺义一模,2025,顺义,2025各区一模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S026,2025海淀二模,2025,海淀,2025各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S027,2025西城二模,2025,西城,2025各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S028,2025东城二模,2025,东城,2025各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S029,2025朝阳二模,2025,朝阳,2025各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S030,2025丰台二模,2025,丰台,2025各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S031,2025昌平二模,2025,昌平,2025各区二模,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025B,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S032,2025海淀期中,2025,海淀,2025各区期末,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S033,2025海淀期末,2025,海淀,2025各区期末,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S034,2025西城期末,2025,西城,2025各区期末,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S035,2025东城期末,2025,东城,2025各区期末,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S036,2025朝阳期末,2025,朝阳,2025各区期末,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
S037,2025丰台期末,2025,丰台,2025各区期末,confirmed,confirmed,processed-or-module-boundary,processed,processed-or-module-boundary,,,,worker-cache-confirmed,worker-2025A,reviewed,PASS_OBJECTIVE,,原 worker 批次已处理。,
