SOURCE_ID: SRC_RUBRIC_2025_CHAOYANG_YIMO_Q20
TITLE: 2025朝阳一模Q20 细则
ORIGINAL_SOURCE_PATH: /Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf
TEXT_EXTRACT_PATH: /Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_021/SRC_RUBRIC_2025_CHAOYANG_YIMO_Q20.txt
TEXT_EXTRACT_SOURCE: /Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_RUBRIC_2025_CHAOYANG_YIMO_Q20.txt

## rubric and scoring notes lines 84-112
84: （2分）
85: 20（8分）答案变通说明
86: 从四段材料四个特点分别加以回答，最后进行总结。
87: 1、多元化布局
88: 措施：鼓励和支持有实力的跨国公司在全球范围内从事对外分散投资/利用世界各地的优势组织生产经营/
89: 顺应经济全球化的趋势，推进产业链多元化布局（任意1点1分）
90: 效果：促进产业链供应链多元化/维护多元稳定的国际经济格局和经贸关系／维护产业链供应链安全（答出
91: 以上任意1点1分）
92: 2、区域化合作：可以从以下三个角度回答
93: ①措施：深化区域经济合作/秉持亲诚惠容的外交理念，加强与周边国家和地区经济合作/促进区域内投资
94: 和贸易自由化便利化/一带一路（写出任意1个1分），
95: 3
96: 
97: ===== Page 3 (OCR) =====
98: 效果：推动区域产业链供应链深度融合。（1分）
99: 效果：吸引更多外资和高端产业留在或落户中国。（1分）
100: ③措施：坚持独立自主、自力更生/加强核心技术攻关（任意1个1分），
101: ①②③，写出任意1个，2分
102: 3、绿色化转型
103: 策（任意1个1分）
104: 效果：提升产业链绿色化水平/推进绿色低碳转型（1任意1个1分）
105: 注：能够写出两个关键词，体现做法和效果给2分
106: 4、数字化加速
107: 数字技术研发投入（任意1个1分）
108: 分）。
109: 注：能够写出两个关键词，体现做法和效果给2分
110: 总结：
111: 积极参与全球经济治理和规则制定，维护多边贸易体系/发展更高水平开放型经济，形成国内大循环为主
112: 体、国内国际双循环的新发展格局/推动构建开放型世界经济/人类命运共同体。（1分）
