entry_id,suite_id,question_no,sub_part,target_node,evidence_level,rubric_excerpt_short,evidence_path,boundary_note
2024_东城_一模__Q3__意识的目的性,2024_东城_一模,3,,唯物论/主观能动性 / 意识的能动作用,rubric-formal,答案A,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第2页 第3题；细则补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf 答案 A,
2024_东城_一模__Q15__具体问题具体分析,2024_东城_一模,15,,辩证法/矛盾的观点 / 矛盾的特殊性,rubric-formal,答案C,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第5页 第15题；细则补充材料 答案 C,
2024_东城_一模__Q16__普特统一,2024_东城_一模,16,,辩证法/矛盾的观点 / 矛盾普遍性与特殊性,rubric-formal,细则评分要求'坚持共性和个性的统一（普特统一或整体与部分）'：各具特色民族文化构成世界文化多样性，一个民族文化成就既属于本民族，也属于整个世界。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第6页 第16题；细则.pptx 16题阅卷细则与答案示例,
2024_东城_一模__Q16__联系与实践,2024_东城_一模,16,,辩证法/联系的观点 / 普遍联系,rubric-formal,细则要求'联系观点，文化交流和交融是文化发展的动力。社会生活本质上是实践。文化与文明都是实践的产物。',/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第6页 第16题；细则.pptx 16题阅卷细则与答案示例,
2024_东城_一模__Q16__价值判断与价值选择,2024_东城_一模,16,,价值观 / 人生观/价值判断与价值选择,rubric-formal,细则要求'科学的价值观符合社会发展规律和人民根本利益。中华文明新形态蕴含全人类共同价值，坚持人民为中心，坚守中华文化立场，为世界文化繁荣做出贡献。',/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第6页 第16题；细则.pptx 16题阅卷细则与答案示例,
2024_东城_一模__Q18_(3)__辩证否定_守正创新,2024_东城_一模,18,(3),辩证法/辩证否定 / 守正创新,rubric-formal,细则参考答案：传统产业与未来产业密不可分、相互促进。传统产业为未来产业发展提供原材料、零部件等支撑和强大的市场；未来产业赋能传统产业，引领传统产业转型升级。发展新质生产力，不是要忽视、放弃传统产业，要辩证否定，改造提升传统产业；要运用超前思维布局建设未来产业，完善现代化产业体系。变通：辩证统一、对立统一；辩证思维、矛盾观点；创新思维、科学思维、矛盾分析法。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第8页 第18题第(3)问；细则.pptx slide 50-51；补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf 答案,设问限定《逻辑与思维》，本条作为辩证否定迁移呈现
2024_东城_一模__Q21__系统优化,2024_东城_一模,21,,辩证法/系统观 / 整体与部分,rubric-formal,细则要求：立足全局／整体／系统优化／规律／以人民为中心等---结合材料意思---资源优化配置/区域协调/产业升级／现代化产业体系等。每一层2分，满分7分。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf 第10页 第21题；细则.pptx slide 71-72,
2024_东城_二模__Q3__矛盾普遍性与特殊性,2024_东城_二模,3,,辩证法/矛盾的普遍性和特殊性,answer-key,,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf 第2页 第3题；细则 /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,
2024_东城_二模__Q16__尊重规律与一切从实际出发,2024_东城_二模,16,,唯物论/一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,rubric-formal,哲学层面：基于规律和实际(实践)证明桑基鱼塘的科学价值：尊重规律、一切从实际出发。(每一点结合材料2分，三点可得7分),/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf 第16题；阅卷总结 /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,
2024_东城_二模__Q16__联系的观点与系统优化,2024_东城_二模,16,,辩证法/联系的普遍性 / 联系的观点(总),rubric-formal,哲学层面：基于辩证法说明桑基鱼塘的发展过程：坚持发展的观点、联系的观点、立足整体、系统优化、矛盾分析法。,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf 第16题；阅卷总结 /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,
2024_东城_二模__Q16__发展的观点,2024_东城_二模,16,,辩证法/发展的观点 / 发展的普遍性,rubric-formal,哲学层面：基于辩证法说明桑基鱼塘的发展过程：坚持发展的观点、联系的观点、立足整体、系统优化、矛盾分析法。,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf 第16题；阅卷总结 /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,
2024_东城_二模__Q16__人民群众,2024_东城_二模,16,,历史唯物主义/人民群众,rubric-formal,哲学层面：基于群众观点及价值观内容，体现科学价值观的标准和作用：人民主体地位、群众观点。,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf 第16题；阅卷总结 /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,
2024_东城_二模__Q16__价值观,2024_东城_二模,16,,价值观 / 人生观/价值观的导向作用,rubric-formal,哲学层面：基于群众观点及价值观内容，体现科学价值观的标准和作用：人民主体地位、群众观点。,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf 第16题；阅卷总结 /Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,
2024_丰台_一模__Q9__真理与主客观条件,2024_丰台_一模,9,,认识论/真理与认识的反复性条件性,rubric-formal,答案C,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第3页 第9题；试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf 答案 C,
2024_丰台_一模__Q18_(1)__联系的观点,2024_丰台_一模,18,(1),辩证法/联系的观点 / 普遍联系,rubric-formal,细则参考答案：可以从联系、发展、矛盾、唯物史观等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第6页 第18题第(1)问；细则.docx 18(1)参考答案'可从联系、发展、矛盾、唯物史观等角度作答',
2024_丰台_一模__Q18_(1)__发展的观点,2024_丰台_一模,18,(1),辩证法/发展的观点,rubric-formal,细则参考答案：可以从联系、发展、矛盾、唯物史观等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第6页 第18题第(1)问；细则.docx 18(1)参考答案'可从联系、发展、矛盾、唯物史观等角度作答',
2024_丰台_一模__Q18_(1)__矛盾分析,2024_丰台_一模,18,(1),辩证法/矛盾的观点 / 矛盾分析方法,rubric-formal,细则参考答案：可以从联系、发展、矛盾、唯物史观等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第6页 第18题第(1)问；细则.docx 18(1)参考答案'可从联系、发展、矛盾、唯物史观等角度作答',
2024_丰台_一模__Q18_(1)__生产力与生产关系,2024_丰台_一模,18,(1),历史唯物主义/生产力与生产关系,rubric-formal,细则参考答案：可以从联系、发展、矛盾、唯物史观等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第6页 第18题第(1)问；细则.docx 18(1)参考答案'可从联系、发展、矛盾、唯物史观等角度作答',
2024_丰台_一模__Q21__联系的观点,2024_丰台_一模,21,,辩证法/联系的观点 / 普遍联系,rubric-formal,细则参考答案：可以从唯物辩证法、构建人类命运共同体等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第8页 第21题；细则.docx 21题参考答案'可从唯物辩证法、构建人类命运共同体等角度作答',
2024_丰台_一模__Q21__矛盾的普遍性与特殊性,2024_丰台_一模,21,,辩证法/矛盾的观点 / 矛盾普遍性与特殊性,rubric-formal,细则参考答案：可以从唯物辩证法、构建人类命运共同体等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第8页 第21题；细则.docx 21题参考答案,
2024_丰台_一模__Q21__价值判断与价值选择,2024_丰台_一模,21,,价值观 / 人生观/价值判断与价值选择,rubric-formal,细则参考答案：可以从唯物辩证法、构建人类命运共同体等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf 第8页 第21题；细则.docx 21题参考答案,
2024_丰台_二模__Q20__矛盾对立统一,2024_丰台_二模,20,,辩证法/矛盾就是对立统一,rubric-formal,可以从认识论、辩证法等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf 第7页 第20题；细则 /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,
2024_丰台_二模__Q20__联系的观点,2024_丰台_二模,20,,辩证法/联系的普遍性 / 联系的观点(总),rubric-formal,可以从认识论、辩证法等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf 第7页 第20题；细则 /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,
2024_丰台_二模__Q20__实践与认识,2024_丰台_二模,20,,认识论/实践是认识的基础,rubric-formal,可以从认识论、辩证法等角度作答。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf 第7页 第20题；细则 /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,
2024_丰台_二模__Q21__联系的观点与整体部分,2024_丰台_二模,21,,辩证法/整体与部分,rubric-formal,可以从联系、价值观、中国梦等角度作答。主要是涉及两个模块：哲学及中特。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf 第8页 第21题；细则 /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,
2024_丰台_二模__Q21__价值观,2024_丰台_二模,21,,价值观 / 人生观/实现人生价值,rubric-formal,可以从联系、价值观、中国梦等角度作答。怎么做：认知层面：价值观、理想信念、弘扬民族精神；实践层面：担当责任、砥砺奋斗。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf 第8页 第21题；细则 /Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,
2024_朝阳_一模__Q3__价值实现,2024_朝阳_一模,3,,价值观 / 人生观/价值的实现,rubric-formal,答案B（①④）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf 第1页 第3题；细则.pptx slide 10 答案 B,
2024_朝阳_一模__Q4__联系的观点,2024_朝阳_一模,4,,辩证法/联系的观点 / 普遍联系,rubric-formal,答案A,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf 第2页 第4题；细则.pptx slide 12 答案 A,
2024_朝阳_一模__Q18_(2)__矛盾分析方法_系统优化,2024_朝阳_一模,18,(2),辩证法/矛盾的观点 / 系统观,rubric-formal,细则参考答案：科学普及与科技创新同等重要，各有侧重但具有同一性；要实现两翼齐飞，应坚持以人民为中心，具体问题具体分析，提升科普服务精准性；树立全局观念、运用系统优化的方法，构建协同推进格局；以问题为导向，引导科普资源向基层和欠发达地区倾斜；坚持两点论和重点论的统一，培养壮大科普人才队伍，改变重科研轻科普的现状。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf 第6页 第18题第(2)问；细则.pptx slide 38,
2024_朝阳_一模__Q18_(2)__文化强国_文化的作用,2024_朝阳_一模,18,(2),辩证法/矛盾的观点 / 对立统一,rubric-formal,细则参考答案：科学普及与科技创新同等重要。科学普及与科技创新虽各有侧重，但也具有同一性：一方面科学普及有利于提升公众科学素质、促进人的全面发展，是实现科技创新的基础性工作；另一方面，科学普及与科技创新都是文化事业的重要组成部分。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf 第6页 第18题第(2)问；细则.pptx slide 38,
2024_朝阳_二模__Q1__人民群众,2024_朝阳_二模,1,,历史唯物主义/人民群众,answer-key,,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第1页 第1题；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,
2024_朝阳_二模__Q2__联系与矛盾普特性,2024_朝阳_二模,2,,辩证法/联系的普遍性 / 联系的观点(总),answer-key,,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第1页 第2题；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,
2024_朝阳_二模__Q6__发展是前进性与曲折性的统一,2024_朝阳_二模,6,,辩证法/量变与质变 / 适度原则,answer-key,,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第2页 第6题；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,
2024_朝阳_二模__Q16_2__矛盾对立统一,2024_朝阳_二模,16,(2),辩证法/矛盾就是对立统一,rubric-formal,是什么2分：即对人和人工智能相互作用的关系(辩证统一/相互塑造/相互影响/相辅相成/对立统一等)。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf 第5页 第16题(2)；细则 /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf 第1-2页,
