section,audit_id,source,trigger,evidence_grade,origin,content_verdict
物质决定意识，意识对物质具有能动作用,V3-FW-0001,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`） 【证据：A细则/阅卷/评分标准直接支持】,物质决定意识，意识是对客观存在的反映,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
物质决定意识，意识对物质具有能动作用,V3-FW-0252,2026北京海淀高三一模 第16题（`26海淀一模政治评分标准.pdf`；评分标准第16题明列“社会存在与社会意识”，此处按总唯物论近邻补挂） 【证据：A细则/阅卷/评分标准直接支持】,物质决定意识，意识对物质具有能动作用（近邻口径：社会存在与社会意识）,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0456,2024北京东城高三二模 第16题,一切从实际出发 / 尊重规律与发挥主观能动性 / 联系系统 / 发展观点 / 辩证否定 / 人民群众 / 价值观导向,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0014,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷/评分标准直接支持】,一切从实际出发 / 实事求是,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0407,2024北京丰台高三一模 第8题,一切从实际出发 / 联系观点 / 系统观念,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0017,2024北京丰台高三二模 第18题第（2）问（`丰台政治二模阅卷评标.docx`） 【证据：A细则/阅卷/评分标准直接支持】,一切从实际出发 / 具体问题具体分析 / 尊重客观规律,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0462,2024北京海淀高三二模 第4题,一切从实际出发 / 实事求是 / 具体问题具体分析,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0429,2024北京西城高三一模 第2题,实践观点 / 群众观点 / 实事求是,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0472,2024北京西城高三二模 第7题,矛盾特殊性 / 一切从实际出发 / 守正创新,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0012,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`） 【证据：A细则/阅卷/评分标准直接支持】,一切从实际出发 / 实事求是,A,Codex-V3融合终稿,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0298,2025北京石景山高三一模 第4题,一切从实际出发 / 实事求是；适度原则,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0015,2025北京门头沟高三一模 第21题第（2）问（门头沟一模细则.doc）,主观与客观、认识与实践具体的历史的统一,A,V3直接支持补入,SUPPORTED_DIRECT_RUBRIC
一切从实际出发 / 实事求是,V3-FW-0317,2025北京顺义高三一模 第12题,一切从实际出发 / 具体问题具体分析 / 实践与认识,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0314,2025北京顺义高三一模 第2题,一切从实际出发 / 具体问题具体分析 / 群众观点,C,V3直接支持补入,SUPPORTED_DIRECT_CHOICE_TEXT
