section,audit_id,source,trigger,evidence_grade,content_verdict
一切从实际出发 / 实事求是,V3-FW-0007,2026北京东城高三一模 第1题,一切从实际出发 / 实事求是,C,SUPPORTED_DIRECT_CHOICE_TEXT
一切从实际出发 / 实事求是,V3-FW-0011,2026北京朝阳高三（上）期中 第7题,一切从实际出发 / 实事求是,C,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0028,2026北京石景山高三一模 第3题,主观能动性 / 意识的能动作用,C,SUPPORTED_DIRECT_CHOICE_TEXT
主观能动性 / 意识的能动作用,V3-FW-0031,2025北京海淀高三（上）期末 第4题,主观能动性 / 意识的能动作用,C,SUPPORTED_DIRECT_CHOICE_TEXT
尊重客观规律与发挥主观能动性相结合,V3-FW-0035,2025北京延庆高三一模 第4题,尊重客观规律与发挥主观能动性相结合,C,SUPPORTED_DIRECT_CHOICE_TEXT
尊重客观规律与发挥主观能动性相结合,V3-FW-0039,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,按客观规律办事和发挥主观能动性,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0061,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,联系的观点 / 整体与部分 / 系统优化,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0062,2024北京丰台高三二模 第20题（丰台政治二模阅卷评标.docx）,联系的观点 / 系统观念,A,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0066,2026北京东城高三（上）期末 第4题,联系的客观性 / 自在联系,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的多样性,V3-FW-0067,2025北京丰台高三二模 第4题,联系的多样性,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的多样性,V3-FW-0069,2025北京朝阳高三二模 第3题,联系的多样性,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的多样性,V3-FW-0070,2026北京朝阳高三（上）期中 第4题,联系的多样性,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0071,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,整体与部分 / 系统观念,B,SUPPORTED_DIRECT_RUBRIC
联系的普遍性 / 联系的观点（总）,V3-FW-0074,2025北京东城高三（上）期末 第5题,整体与部分 / 系统观念,C,SUPPORTED_DIRECT_CHOICE_TEXT
联系的普遍性 / 联系的观点（总）,V3-FW-0075,2025北京朝阳高三（上）期末 第2题,整体与部分 / 系统观念,C,SUPPORTED_DIRECT_CHOICE_TEXT
