material_atom_id,question_id,material_phrase,plain_description,subject_or_actor,action_or_event,affected_party,conflict_or_problem,legal_signal_if_any,possible_relevance_to_answer,source_locator,uncertainty
M_Q0001_2024_东城_一模_16_01,Q0001_2024_东城_一模_16,16题答案示例 坚持共性和个性的统一（普特统一）。,16题答案示例 坚持共性和个性的统一（普特统一）。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_02,Q0001_2024_东城_一模_16,各具特色民族文化构成世界文化多样性（2分），文化成就既是民族的，也是世界的；,各具特色民族文化构成世界文化多样性（2分），文化成就既是民族的，也是世界的；,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_03,Q0001_2024_东城_一模_16,既是本民族人民劳动智慧的结晶，也融入了其他民族文化有益成果。,既是本民族人民劳动智慧的结晶，也融入了其他民族文化有益成果。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_04,Q0001_2024_东城_一模_16,文化交流和交融是文化发展的动力（2分）。,文化交流和交融是文化发展的动力（2分）。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_05,Q0001_2024_东城_一模_16,社会生活本质上是实践。,社会生活本质上是实践。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_06,Q0001_2024_东城_一模_16,文化与文明都是实践的产物。,文化与文明都是实践的产物。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_07,Q0001_2024_东城_一模_16,党领导中国人民在革命和建设的实践中创造人类文明新形态，推动人类文明繁荣。,党领导中国人民在革命和建设的实践中创造人类文明新形态，推动人类文明繁荣。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_08,Q0001_2024_东城_一模_16,要维护各民族文化多样性，相互交流、借鉴。,要维护各民族文化多样性，相互交流、借鉴。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_09,Q0001_2024_东城_一模_16,推进构建新型国际关系（国际关系民主化），推动构建人类命运共同体。,推进构建新型国际关系（国际关系民主化），推动构建人类命运共同体。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
M_Q0001_2024_东城_一模_16_10,Q0001_2024_东城_一模_16,科学的价值观符合社会发展规律和人民根本利益。,科学的价值观符合社会发展规律和人民根本利益。,,,,,,background or value context,F0009:slide 27 | F0234:slide 27,heuristic_sentence_split
