"question_id","题干信号","完整选项或选项单位","答案源","正确项理由","诱人错项","陷阱类型","是否可入学生稿","needs_codex_recheck"
"Q-2024朝阳一模-6","题干说'要想准确鲜明地表达思想,思维必须合乎逻辑';要从四个表述里挑出'符合逻辑规则的'。四个选项分别考查概念分类、排中律、矛盾律、四概念,是一道选必三逻辑与思维专项题。","A. 财产权可分为物权、债权、知识产权、著作权、商标权 / B. 我不赞成所有人都有崇高的理想,也不赞成所有人都没有崇高的理想 / C. 所有的科技人员都是懂计算机的,并且有些不懂计算机的是科技人员 / D. 我无法一天读完老舍的作品,《茶馆》是老舍的作品,因此我无法一天读完《茶馆》","2024朝阳一模 031细则slide 14确认6.B","B正确：'我不赞成所有人都有崇高的理想'对应否定全称命题'并非所有人都有崇高的理想'(等价于'有些人没有崇高理想');'我不赞成所有人都没有崇高的理想'对应否定全称命题'并非所有人都没有崇高的理想'(等价于'有些人有崇高理想')。两者刚好为下反对关系下的两个特称判断,可以同真,B符合逻辑规则,不违反任何同一律/矛盾律/排中律。","A越级划分错：'物权、债权'是财产权的种概念,'知识产权'又是另一种,但'著作权、商标权'是知识产权的下位种,把不同层级的种概念列为同级分类项,违反了逻辑学中分类的'同一标准、不交叉、穷尽且不越级'要求,属越级划分。C矛盾律错：'所有科技人员都懂计算机'(SAP)与'有些不懂计算机的是科技人员'(SOP的逆形式)在传统逻辑中是矛盾关系,不能同时为真,违反矛盾律。D四概念错：'老舍的作品'前句是集体概念(指老舍全部作品的总和),后句是普遍概念(指任何一篇老舍作品),两次出现的'老舍的作品'外延不同,中项偷换,犯了'四概念'谬误。","越级划分vs排中律vs矛盾律vs四概念·选必三逻辑规则综合","可","no"
"Q-2024朝阳一模-7","题干'抢占科技制高点必须坚持原始创新、集成创新、开放创新一体设计,实现有效贯通'。四个选项分别考查创新思维与逻辑思维关系、创新思维特征、合作创新、创新思维方法是否能确保结果。这是选必三创新思维的多角度专项题。","①原始创新中的创新思维,深深地依赖迁移、想象、逆向等逻辑思维活动 / ②集成创新中的创新思维,具有跨越性,但不排斥有步骤的逻辑推导与分析 / ③开放创新中的合作创新,离不开对前人和他人已有成果的继承与借鉴 / ④有效贯通发散思维、聚合思维、超前思维方法,就能确保抢占科技制高点 / 选项组合：A.①③ B.①④ C.②③ D.②④","2024朝阳一模 031细则未列7题答案;按四审排错确认C","C正确(②③)：②集成创新中的创新思维具有跨越性(创新思维特征)但不排斥逻辑推导与分析(创新思维与逻辑思维并存),表述符合创新思维教材原义;③开放创新中的合作创新需要继承借鉴前人/他人已有成果,符合合作创新的内涵。","①陷阱：把'迁移、想象、逆向'归为'逻辑思维活动'是知识错位。教材中迁移想象、逆向思维是创新思维的子方法,不属于狭义的逻辑思维(逻辑思维更强调演绎/归纳/类比这些有规范前提结构的推理形式)。学生易把'依赖思维活动'笼统理解为'依赖逻辑思维',犯了概念归类错。④陷阱：'有效贯通发散+聚合+超前思维就能确保抢占制高点'是绝对化错误。创新思维方法的运用只能提高成功概率,不能'确保'结果;'就能'是绝对化表达,与'科学思维客观性'承认认识或然性的口径冲突。","创新思维vs逻辑思维归类错+绝对化表达陷阱","可","no"
"Q-2024朝阳二模-7","题干'科学思维离不开逻辑。下列表述中,合乎逻辑的是'。这是选必三逻辑与思维三段论谬误名称纠错+假言推理误用+保真规则的综合考查;硬规则§十八已永久锁定为'小项不当扩大'硬样本。","A. 自媒体是思想政治教育的工具,自媒体也是娱乐的工具,所以,娱乐工具都是思想政治教育的工具 / B. 归纳推理是从个别性前提推出一般性结论的推理。我学过归纳推理,所以,我能推出一般性结论和新知识体系 / C. 只有既弄清对象的性质,又了解对象之间的关系,才能对对象有较为全面的把握。我善于弄清对象的性质,所以,我特别善于进行关系判断 / D. 如果推理结构不正确,也就是说,前提和结论的逻辑联系方式是错误的,那么,尽管前提真实,也不能保证推出正确的结论","2024朝阳二模 试卷+硬规则§十八确认D","D正确：D描述的是'推理保真规则'——前提真+结构正确才能保证结论真,前提真但结构不正确不能保证结论真。这是逻辑学的基本规则,完全合乎逻辑。","A陷阱(硬规则§十八永久锁定为小项不当扩大谬误)：A是三段论第三格,大前提'自媒体是思想政治教育的工具(MAP)',小前提'自媒体也是娱乐的工具(MAS)',结论'娱乐工具都是思想政治教育的工具(SAP)'。要点是小项'娱乐工具'(S)在小前提中只表示'有些自媒体是娱乐工具'(MIS)即S未周延,而结论中'娱乐工具都是'是全称肯定使S全周延,违反'小项在前提中不周延则在结论中也不能周延'的规则,犯小项不当扩大(小项扩大)谬误。注意:不得回流为'中项不周延'/'四概念'/'大项不当扩大'的错误命名。B陷阱：'我学过归纳推理→我能推出一般性结论和新知识体系'是不当推理,把'学过某种推理形式'与'能产生新知识体系'之间没有逻辑联系的两件事关联,是过度概括。C陷阱：'只有既p又q才r'是必要条件假言判断,'我善于弄清对象的性质(p)→我特别善于进行关系判断(r)'是从仅满足必要条件的一部分(p)推出充分条件下的结论(r),违反必要条件假言推理'肯前不能推后'的规则。","三段论小项不当扩大谬误名称纠错·硬规则§十八硬样本","可","no"
"Q-2024朝阳期中-7","题干说联合国教科文组织把'北京中轴线'列入《世界遗产名录》;给出4个判断,要从中选取3个依次作为大前提、小前提、结论,符合三段论推理规则的组合。这是选必三推理-三段论的有效式专项题,考查第三格AAI式的识别。","判断单位：①北京中轴线是由世界遗产委员会确认的世界遗产(MAP);②北京中轴线是不可替代的文化遗产(MAN);③有些由世界遗产委员会确认的世界遗产是不可替代的文化遗产(PIN);④有些不可代替的文化遗产是由世界遗产委员会确认的世界遗产(NIP) / 选项：A.①-③-④ B.②-①-③ C.③-②-④ D.④-②-①","2024朝阳期中 试卷page 2-3 + 选必三逻辑推理标准三段论规则确认B","B正确(②-①-③)：以②'北京中轴线(M)是不可替代的文化遗产(N)'为大前提(MAN);以①'北京中轴线(M)是由世界遗产委员会确认的世界遗产(P)'为小前提(MAP);结论是③'有些由世界遗产委员会确认的世界遗产(P)是不可替代的文化遗产(N)'(PIN)。这是三段论第三格的AAI式：MAN+MAP→PIN,中项M(北京中轴线)在两个前提中分别周延或作为单称作全称,大项N(不可替代的文化遗产)和小项P(世界遗产)在前提中已周延,结论由全称转为特称,符合三段论第三格的AAI式有效推理规则。","A陷阱(①-③-④)：以①MAP为大前提,③PIN为小前提,试图推出④NIP——但中项M(北京中轴线)在小前提③中并未出现,小前提换成了P-N关系,中项不周延,无法构成有效三段论。C陷阱(③-②-④)：以③PIN为大前提,②MAN为小前提,试图推出④NIP——大前提PIN中P和N都未周延,中项不能周延,违反'中项至少周延一次'的规则。D陷阱(④-②-①)：以④NIP为大前提,②MAN为小前提,试图推出①MAP——大前提NIP中N和P都未周延,中项无法在前提中周延一次,违反规则。","三段论第三格AAI式识别·中项周延规则陷阱","可","no"
"Q-2024朝阳期中-8","题干'调查研究是谋事之基、成事之道,没有调查就没有发言权,没有调查就没有决策权;正确的决策离不开调查研究,正确的贯彻落实同样也离不开调查研究'。'没有X就没有Y' = X是Y的必要条件;'Y离不开X' = X是Y的必要条件。整个题干是必要条件假言判断的多种等价表达。","①调查研究是谋事和成事的充分必要条件 / ②除非进行了调查研究,否则没有发言权和决策权 / ③没有做出正确的决策,是因为没有进行调查研究 / ④只有进行了调查研究,才能有正确的贯彻落实 / 选项组合：A.①③ B.①④ C.②③ D.②④","2024朝阳期中 试卷page 3 + 选必三必要条件假言判断标准等价式确认D(②④)","D正确(②④)：②'除非进行了调查研究,否则没有发言权和决策权'等价于'只有调查才有发言权和决策权'(必要条件);④'只有进行了调查研究,才能有正确的贯彻落实'是必要条件假言判断的标准形式。两者都准确刻画'调查是X的必要条件'的逻辑关系。","①陷阱：'调查研究是谋事和成事的充分必要条件'把题干的'必要条件'误读为'充要条件'。题干只说'没有调查就没有X',这只断定'调查是X的必要条件',并未断定'调查就一定能成事'(即不是充分条件)。把必要条件强化为充分必要条件违反了原命题口径。③陷阱：'没有做出正确的决策,是因为没有进行调查研究'是把'调查是必要条件'误读为'未调查必导致未决策成功'。原命题是'调查→才能正确决策'即'¬调查→¬正确决策'(否定前件式)。但'没做出正确决策'不一定是'没调查'造成,可能是'调查了但其他因素阻碍';犯了否定前件后必然后件假的错误推断,把必要条件的肯否后件混淆。","必要条件假言判断等价式·必要vs充分必要混淆+否定前件错推陷阱","可","no"
"Q-2024朝阳期中-9","题干'闹钟放在密闭玻璃钟罩内,使用抽气机抽出罩内空气。随着罩内空气的减少,铃声逐渐减小;拧开进气阀让空气慢慢进入,随着罩内空气的增多,铃声逐渐增大'。空气量与铃声响度持续地、相伴地共同变化——这是科学探究因果关系的因果探求方法之一。","A. 是演绎推理,揭示了前提和结论之间存在的本质联系 / B. 运用共变法,探究了认识对象与有关现象的因果联系 / C. 运用求异法,合理推断出未知事物必然会出现的情况 / D. 通过假如式想象,实现了思维抽象到思维具体的飞跃","2024朝阳期中 试卷page 3 + 选必三因果探求三法标准定义确认B","B正确：共变法(契合差异并用法之一)是探求因果关系的归纳方法,适用于'当一个因素变化,另一现象也随之同向或反向变化'的情境。本题中空气量从多到少时铃声从大到小、空气量从少到多时铃声从小到大,两个现象的量值持续相伴变化(正相关),典型符合共变法的'A的程度变化与B的程度变化呈现出确定的对应关系→A与B有因果关系'。结论'声音不能在真空中传播'就是从空气量与铃声响度的共变关系中得出的因果推断。","A陷阱：本推理不是演绎推理,演绎推理需要有大小前提的有效结构(如三段论、假言推理等),并由前提必然推出结论。本题是从经验观察中归纳因果关系,属于科学归纳/因果探求,不是演绎。C陷阱：求异法是用于'被研究现象出现'与'被研究现象不出现'两组场合的对比,本题是'空气量持续变化'+'铃声持续变化'的连续共变,不是有/无两态的对比。D陷阱：思维抽象到思维具体是认识发展的历程,从感性具体抽出本质再返回整体图景;本题是科学因果归纳,与认识发展历程的链条无关,'假如式想象'根本未在材料中出现。","共变法vs演绎推理vs求异法vs思维抽象-具体·因果探求方法识别陷阱","可","no"
"Q-2024朝阳期中-10","题干'中国式现代化是人与自然和谐共生的现代化。良好的生态环境是最普惠的民生福祉,是人心所盼。要还老百姓蓝天白云、繁星闪烁,要为老百姓留住鸟语花香田园风光,这些美好愿景如今正在变成现实'。考查概念外延关系、关系判断、量变质变综合。","A. '中国式现代化'和'现代化'是属种关系 / B. '良好的生态环境'和'民生福祉'在外延上是一致的 / C. '留住鸟语花香田园风光',此处的'留住'关系为对称关系 / D. '如今正在变成现实',说明要把握好事物发展过程中量变与质变的关系","2024朝阳期中 试卷page 3 + 选必三概念外延关系标准定义确认A","A正确：中国式现代化的外延是现代化外延的真子集——中国式现代化⊂现代化,二者是种概念与属概念的关系,即属种关系(也叫种属关系,二者表述一致,只是侧重点不同)。'中国式现代化'是种概念(下位),'现代化'是属概念(上位)。","B陷阱：'良好的生态环境'是民生福祉的一部分(题干说'是最普惠的民生福祉'),不能等同于全部民生福祉(还包括医疗、教育、社保、就业等),两者外延不一致,不是全同关系。C陷阱：'留住'在'人留住鸟语花香田园风光'中是非对称关系,因为A留住B不必然推出B留住A('鸟语花香'不能反过来'留住'人)。题面说'对称关系'是错的。D陷阱：哲学诱惑项。'如今正在变成现实'确实说明发展过程,但不必然指向'量变与质变'的辩证法关系;且本题是逻辑学题,A选项的概念外延关系判定才是核心考点;D项把焦点拉到必修四辩证法,属模块越界。","概念外延-属种关系vs全同关系vs非对称关系+哲学量变质变越界陷阱","可","no"
"Q-2026朝阳期中-11","题干'具有耐干旱、耐高温特点的月季花,正在逐渐成为北京城市绿化、彩化景观的主角。如果以...为小前提,以...为结论,应该补充的大前提是'。已知小前提'北京街头大部分的绿化花卉是耐干旱月季花'(SiM)+结论'北京街头大部分的绿化花卉适应北京夏季高温环境'(SiP)。要补的是大前提,使三段论形式有效。","A. 耐干旱月季花适应北京夏季高温环境 / B. 有些耐干旱月季花适应北京夏季高温环境 / C. 有些耐干旱月季花不适应北京夏季高温环境 / D. 所有适应北京夏季高温环境的花卉都是耐干旱月季花","2026朝阳期中 试卷page 8答案表确认11.A","A正确：'耐干旱月季花适应北京夏季高温环境'是全称肯定大前提MAP(中项M=耐干旱月季花,大项P=适应北京夏季高温环境)。配合小前提SiM(有些S是M)可以推出结论SiP(有些S是P),这是三段论第二格AAI式有效推理(M-P,S-M ⊢ S-P)。中项M在大前提中作为主项全称,周延一次,符合'中项至少周延一次'的规则。","B陷阱：'有些耐干旱月季花适应北京夏季高温环境'(MIP)中M和P都未周延,中项无法周延一次,违反三段论中项周延规则,推不出有效结论。C陷阱：'有些耐干旱月季花不适应北京夏季高温环境'(MOP)与结论SiP矛盾,不能推出该结论。D陷阱：'所有适应北京夏季高温环境的花卉都是耐干旱月季花'(PAM)主项谓项颠倒;此时大前提的中项是M=耐干旱月季花作谓项,小前提中M作谓项;两个前提中M都不周延,违反中项周延规则。","三段论第二格补大前提·中项周延规则陷阱+主谓颠倒陷阱","可","no"
"Q-2026朝阳期中-12","题干'说话能否打动听众,写文章能否折服读者,辞藻和章法固然重要,但基础性的问题还在于语言是否符合逻辑。要想准确鲜明地表达思想,思维必须符合逻辑'。考查分类规则、相容选言判断、矛盾律(同类属种)等综合。","A. 哲学的派别只有唯物主义和唯心主义两种 / B. 这道题的答案,或者你说错了,或者我听错了 / C. 邮件有电子邮件、平寄邮件、国际邮件几大类 / D. 有一种仙人掌长得很特别,既不像花草,也不像植物","2026朝阳期中 试卷page 8答案表确认12.B","B正确：'或者P或者Q'是相容选言判断的标准形式。题面意思是'你说错了'与'我听错了'两种情况至少有一个为真,且可以同时为真(可能你说错+我听错都发生),这是相容选言判断,符合逻辑规则。","A陷阱：哲学的派别还有马克思主义哲学、辩证唯物主义、机械唯物主义等内分支以及二元论等划分维度,'只有唯物主义和唯心主义两种'是分类不全或分类划分单一基本派别但表述上忽视复杂性,严格说违反划分规则的'穷尽性'要求。C陷阱：邮件按内容/形式分(电子邮件/平寄邮件)与按地理范围分(国际邮件)是两个不同的分类标准,把它们并列在同一个'几大类'分类中,违反划分要求中的'同一标准'原则,属分类标准混乱(交叉/越级)。D陷阱：'仙人掌不像花草也不像植物'违反了基本属种关系——仙人掌就是植物的一个种,不能说'仙人掌不像植物';这等于在说'A既不是A的某种,也不是包含A的属',逻辑上自相矛盾,违反同一律或属种关系。","相容选言判断vs分类穷尽性vs分类标准vs属种关系自相矛盾陷阱","可","no"
"Q-2026朝阳期中-13","题干'石榴籽紧密相抱、晶莹饱满,味道甘甜醇厚。如今,石榴籽常用来形容各族同胞手足相亲、守望相助。'石榴籽的比喻是从石榴的具体特征(紧密相抱)抽出本质(紧密相连),再迁移到民族关系上。这是选必三创新思维-联想思维 + 认识发展历程-感性具体到思维抽象 的综合考查。","①源自于对石榴的实际用途和外在形象的深刻理解 / ②属于类比推理,目的在于生动形象地描述民族关系 / ③说明思维可以把对石榴的感性具体转化为思维抽象 / ④表明联想思维可以对不同事物的认识进行联结与思考 / 选项组合：A.①② B.①④ C.②③ D.③④","2026朝阳期中 试卷page 8答案表确认13.D","D正确(③④)：③说明思维可以把对石榴的感性具体(紧密相抱、晶莹饱满的具体形象)转化为思维抽象(紧密相连这一本质属性),这是认识发展历程中从感性具体到思维抽象的链条;④表明联想思维可以对不同事物(石榴与民族关系)的认识进行联结与思考,把对石榴的认识跨界迁移到民族关系上,体现联想思维。两者都是选必三主链节点。","①陷阱：'源自于对石榴的实际用途和外在形象的深刻理解'把比喻的源头错误归到'实际用途和理解',但比喻的源头是抽出共同本质属性,不是'实际用途';且'用途'与本题无关。②陷阱：'类比推理'与'比喻'是两个不同的概念。比喻是修辞手法(把A说成B),类比推理是从两类对象在某些属性上相同或相似推出在其他属性上也相同或相似的推理形式;比喻不需要严格的属性对应推理结构,所以②把比喻直接归为类比推理是概念混淆。","联想思维+思维抽象vs比喻误判类比推理+本质来源错置陷阱","可","no"
