"question_id","来源","完整设问","材料动作","总帽子","小方法","触发逻辑","答案句","证据等级","框架落点","题型标签"
"Q-2024朝阳一模-20-1","2024朝阳一模 030试卷::Q20(1) + 031细则slide 45","推理一属于哪种推理类型？其成立的理由是什么？（5分）","推理一前件:'如果A区域古代没有广泛生长竹子,就不可能有大量的炭化竹节';考古发掘事实:'已发掘出地底下有大量炭化竹节';推出结论:'A区域古代广泛生长着竹子'。整个推理的形式是把'广泛生长竹子'设为前件P、'有大量炭化竹节'设为后件Q,先把P→Q的否定形式'¬P→¬Q'摆出,再用考古事实否定¬Q,从而否定¬P,即得到P。","推理（科学思维下属）","充分条件假言推理（否定后件式）","题面把'若没有竹子就不可能有炭化竹节'作为大前提,这是一个充分条件假言判断的逆形式;而后给出的考古事实'已发掘出大量炭化竹节'恰好否定了'不可能有大量炭化竹节'这个后件。充分条件假言推理的有效式之一是否定后件式:前件真→后件一定真,后件假→前件一定假。学生看到'前件→后件'结构+'否定后件'事实,就要直接判定为充分条件假言推理,并按'前件真后件必真,后件假前件必假'的规则解释推理为何成立,而不能误判为肯定后件式。","该推理属于充分条件假言推理。充分条件假言判断中,前件真则后件一定真,后件假则前件一定假。考古发掘已经发掘出地底下有大量炭化竹节,说明'不可能有大量炭化竹节'这一后件为假,因而前件'A区域古代没有广泛生长竹子'也必为假,从而推出'A区域古代广泛生长着竹子',推理成立。","A-formal","推理>演绎>充分条件假言推理（否定后件式）","推理-充分条件假言推理-否定后件式·考古论证型"
"Q-2024朝阳一模-20-2","2024朝阳一模 030试卷::Q20(2) + 031细则slide 46","根据材料二,补充完整推理二。（4分）","已知材料:科学家根据'竹子适宜生长在温暖的地方'+'A区域当时广泛生长着竹子',推断出'A区域古代气候较为温暖'。要补充的是大前提和小前提两条命题,使推理形成一个有效的演绎结构;关键约束是这一推理形式不同于推理一的充分条件假言形式,所以应以必要条件假言形式展开:'只有p,才q'。","推理（科学思维下属）","必要条件假言推理（肯定后件式）","必要条件假言判断的标准形式是'只有p才q',意为p是q的必要条件:p不真,q一定不真;肯定后件q则可以肯定前件p。本题需要把'气候温暖'设为前件p、'生长竹子'设为后件q,然后让'A区域当时广泛生长着竹子'这一肯定的后件去支撑'A区域古代气候温暖'这一肯定的前件,从而构造出与推理一形式不同但同样有效的演绎推理。学生看到'某条件是另一现象出现的必要条件'+'后果已经发生'就要套用必要条件假言推理-肯定后件式。","前提一:只有A区域古代气候较为温暖,A区域古代才有可能广泛生长竹子。前提二:A区域古代广泛生长着竹子。结论:所以,A区域古代气候较为温暖。整个推理为必要条件假言推理:由于温暖气候是生长竹子的必要条件,且'广泛生长着竹子'这一后件为真,因此可以肯定地推出'气候较为温暖'这一前件为真。","A-formal","推理>演绎>必要条件假言推理（肯定后件式）","推理-必要条件假言推理-肯定后件式·考古论证型"
"Q-2024朝阳二模-19-1-动态性","2024朝阳二模 021试卷::Q19(1) + 022细则page 3","生生之宇宙观体现了辩证思维的__①__特征。人效法天地之德体现的推理类型是__②__推理。（4分）","生生之宇宙观把宇宙刻画为'生生不息的变化之中':'天地之大德曰生'、'富有之谓大业,日新之谓盛德,生生之谓易';宇宙永久的变易包含永远的革新,是生命的不断充实、成长、更新和展开。","辩证思维","动态性（用变化发展的观点看问题）","辩证思维的动态性强调用变化、发展、运动的眼光看待事物,反对僵化、静止地看待对象。'生生不息'、'变易'、'日新'、'更新和展开'这一组词正是把宇宙描述为一个不停止地生发、革新的整体,核心动作是'变化、发展、生成',这与辩证思维的动态性完全对应。学生看到材料把对象写成'不断变易、日日更新、生生不止'这种持续运动状态,就要把它判定为动态性,而不要错挂到'分析与综合'或'整体性'。变通可写'用变化发展的观点看问题/用矛盾运动的观点看问题/创新'。","生生之宇宙观把宇宙描绘为生生不息、富有日新的变易过程,这种把对象当作不断生发、不断更新的运动状态来理解,正是辩证思维动态性特征的体现。","A-formal","辩证思维>动态性","辩证思维-动态性·宇宙观填空型"
"Q-2024朝阳二模-19-1-类比推理","2024朝阳二模 021试卷::Q19(1) + 022细则page 3","生生之宇宙观体现了辩证思维的__①__特征。人效法天地之德体现的推理类型是__②__推理。（4分）","法天地之人生观说:'夫大人者,与天地合其德,与日月合其明,与四时合其序';要求人效法天地的德性、效法日月的明亮、效法四时的有序;天之德在生育万物而不息,地之德在广阔博大,君子应学习天地之德,自强不息、厚德载物。","推理（科学思维下属）","类比推理","类比推理是根据两个或两类对象在一些属性上的相同或相似,推出它们在其他属性上也相同或相似的推理。'人效法天地'是把人这一对象,与天地这一对象,在'德性'、'品格'这些属性上做相似性比照;由天地具有生生不息、广阔博大的属性,推出君子应当具有自强不息、厚德载物的属性。这正是从已知属性向未知属性的相似性推断,即类比推理。学生看到'A效法B'、'A像B一样'、'从B的某属性推A也应有此属性',就要直接判定为类比推理,而不能误写为归纳或演绎。","人效法天地之德,是把人与天地这两类对象在'德性、品格、运行规律'等属性上的相似性作为依据,推出人也应当像天地那样自强不息、厚德载物,这种由对象间属性相同推出其他属性也相同的推理,属于类比推理。","A-formal","推理>类比推理","推理-类比推理·人效法天地填空型"
"Q-2024朝阳二模-19-2","2024朝阳二模 021试卷::Q19(2) + 022细则page 4","'夫大人者,与天地合其德,与日月合其明,与四时合其序' 是哪种复合判断? 该复合判断为真的条件是什么? (5分)","原句把'与天地合其德'、'与日月合其明'、'与四时合其序'三个判断用并列方式连接成一句话；表达者意在断定大人同时具备这三种合一的特征,而不是其中任选其一。整个表达的核心动作是把多个判断同时断定为真,不允许其中任何一个为假。","形式逻辑（判断）","联言判断真值条件（全真才真，一假即假）","联言判断是同时断定几种事物情况共同存在的判断,组成它的各支判断称为联言支。联言判断的真值规则是:当且仅当组成它的各个联言支都是真的,这个联言判断才是真的;只要有一个联言支为假,整个联言判断就为假。'与天地合其德,与日月合其明,与四时合其序'用并列结构同时断定三件事,缺一不可,这是典型的联言判断。判断真值条件时不要写成'充分条件联言判断'或'必要条件联言判断',要按'各联言支都为真'的标准答出。","这是联言判断。当且仅当组成它的'与天地合其德'、'与日月合其明'、'与四时合其序'三个联言支都为真时,整个联言判断才为真;只要其中一个联言支为假,整个联言判断就为假;即'全真才真,一假即假'。","A-formal","形式逻辑>判断>联言判断（真值条件）","形式逻辑-联言判断真值条件·古文判断分析型"
"Q-2024朝阳期中-18-楚王推理","2024朝阳期中 017试卷::Q18 + 018细则Q18 + 019评标page 2","阅读材料,运用《逻辑与思维》相关知识,分别评析楚王和晏子的推理。（8分）","楚王只观察到一个齐国人在楚国行盗的事例(吏二缚一人诣王,对曰齐人也,坐盗),就推出'齐人固善盗乎'这一全称结论;楚王把'一个个例'当成了'整个齐人群体'的依据,在没有考察绝大多数齐国人是否善盗的情况下,直接得出对全体齐人的判定。","推理（科学思维下属）","不完全归纳推理（或然性·轻率概括）","不完全归纳推理是从部分事物对象具有某种属性,推出该类全部事物都具有这种属性的推理;由于前提只涉及部分对象,结论具有或然性,不能保证必然为真。当前提中所考察的个例数量过少、不能代表整体时,就会犯'轻率概括'(以偏概全)的逻辑错误。楚王仅凭一个齐人作盗,就推断'齐人固善盗',典型的不完全归纳推理+轻率概括。要提高这种推理的可靠程度,应当考察更多认识对象、分析认识对象与有关现象之间的因果关系。学生看到'仅凭一两个个例下全称结论'就要套这条推理失误。","楚王仅凭'一个齐国人在楚国行盗'就推出'齐人固善盗'的全称结论,这属于不完全归纳推理。由于前提只涉及部分对象,这种推理本身具有或然性,不能保证结论必然为真;楚王仅靠一个个例下全称结论,犯了轻率概括(以偏概全)的逻辑错误。要提高这类推理的可靠程度,可通过考察更多认识对象、分析认识对象与有关现象之间的因果关系来加以改进。","A-formal","推理>归纳>不完全归纳·轻率概括","推理-不完全归纳-轻率概括·古文论辩型"
"Q-2024朝阳期中-18-晏子推理","2024朝阳期中 017试卷::Q18 + 018细则Q18 + 019评标page 2","阅读材料,运用《逻辑与思维》相关知识,分别评析楚王和晏子的推理。（8分）","晏子用橘和枳的事例:'橘生淮南则为橘,生于淮北则为枳,叶徒相似,其实味不同;所以然者何?水土异也。'再把这一事例迁移到齐人和楚人身上:'今民生长于齐不盗,入楚则盗,得无楚之水土使民善盗耶?'晏子把橘/枳与齐人/楚人这两类对象在'随水土环境改变性质'这一属性上做相似性比照,从'水土使橘变枳'推出'水土使齐人善盗'。","推理（科学思维下属）","类比推理（同属性相同推同·或然但论辩有效）","类比推理是根据两个或两类对象在一些属性上的相同或相似,推出它们在其他属性上也相同或相似的推理。晏子把'橘/枳'与'齐人/楚人'这两类对象,在'同一物种因水土不同而呈现不同性质'这一属性上做对照,推出'楚国水土使齐人变得善盗'。该推理虽然属于或然推理,结论不一定必然为真,但晏子借此巧妙反驳了楚王的论点,既维护了齐国尊严,又增强了论辩说服力,展示了高超的辩论技巧。学生看到'A情境下B呈X、迁移到C情境下推断B呈X'就要判定为类比推理,而不能误为求异法或归纳推理。","晏子的推理属于类比推理。他根据'橘'和'枳'这两类对象在'随水土不同而性质改变'这一属性上的相似性,推断出齐人和楚人这两类对象在'水土改变品行'这一属性上也具有相似性,从而推出'楚之水土使民善盗'的结论。这种推理虽属或然推理,但晏子巧妙运用,既反驳了楚王的论点,也维护了齐国尊严,展示了高超的辩论智慧。","A-formal","推理>类比推理","推理-类比推理·古文论辩型"
"Q-2024朝阳期中-19-超前思维","2024朝阳期中 017试卷::Q19 + 018细则Q19 + 019评标Table 17","结合材料,分析'首发经济'的北京朝外样本的打造是如何体现创新思维的。（8分）","业态规划上提前布局智能产品等新兴消费领域,打造特色主题首发街区;品牌引进中主动邀请国际前沿品牌设首店,扶持本土创新品牌首发;服务配套时建设智能商业设施,完善交通物流网络。前期搜集资料阶段就在为未来消费趋势做提前布局。","创新思维","超前思维（提前预判+提前布局）","超前思维要求把未来作为思考对象,在事物发展的早期阶段就为未来发展做预判和布局,而不是被动等待问题出现。'提前布局智能产品等新兴消费领域、打造特色主题首发街区'是一种把'未来消费需要什么'作为问题先行思考、再据此调整业态结构的工作方式;这正是超前思维的特征:着眼于趋势研判和提前规划,从而抢占新兴消费市场的先机。学生看到'提前布局/前期规划/为未来做准备'就要直接挂超前思维,不要错挂为辩证思维或科学思维客观性。","朝外样本在前期搜集资料阶段就提前布局智能产品等新兴消费领域、打造特色主题首发街区,把'未来消费趋势'作为思考对象提前规划业态;这种立足趋势预判、把未来纳入当下决策的思维方式,正是创新思维下的超前思维的体现。","A-formal","创新思维>超前思维","创新思维-超前思维·首发经济业态规划型"
"Q-2024朝阳期中-19-逆向思维","2024朝阳期中 017试卷::Q19 + 018细则Q19 + 019评标Table 17","结合材料,分析'首发经济'的北京朝外样本的打造是如何体现创新思维的。（8分）","品牌引进环节:朝外突破传统招商模式,主动邀请国际前沿品牌来华设首店、扶持本土创新品牌首发;在零售思路上'先做流量,再做生意',颠覆了传统'先做生意,再做流量'的商业逻辑。","创新思维","逆向思维（对原有结构、状态、流程作反向思考）","逆向思维是对原有事物的存在状态、结构、顺序、功能、因果方向作反向思考,提出与原方向相反的新方案。'先做流量,再做生意'与传统'先做生意,再做流量'恰好相反,把流量当作前置投入而非后置结果;'邀国际品牌设首店、扶本土品牌'也突破了'先有客流再引品牌'的传统招商模式,把首发动作前置。学生看到'A→B反过来变成B→A、前置/后置颠倒、传统模式被反方向重排'就要直接挂逆向思维,不能因为出现'创新'二字就泛挂创新思维总帽。","朝外样本在品牌引进上突破传统招商模式、邀请国际品牌设首店并扶持本土品牌首发,在零售思路上颠覆传统'先做生意再做流量'的逻辑改为'先做流量再做生意';这种对原有商业流程结构和顺序的反方向思考,正是创新思维下的逆向思维的体现。","A-formal","创新思维>逆向思维","创新思维-逆向思维·首发经济业态颠倒型"
"Q-2024朝阳期中-19-联想思维","2024朝阳期中 017试卷::Q19 + 018细则Q19 + 019评标Table 17","结合材料,分析'首发经济'的北京朝外样本的打造是如何体现创新思维的。（8分）","商场主打'策展型零售',空间布局与设计独具匠心;中庭被打造成如'城市森林'般的艺术主题场景,通过绿色植物、艺术雕塑和多媒体展示,让消费者仿佛走进艺术展览,感受自然与艺术融合。","创新思维","联想思维（同化性迁移：把艺术展览意象迁移到零售场景）","联想思维是把已经形成的某种认识、形象、经验,跨越类型迁移到另一对象上,使新对象按照已有经验被理解。'策展型零售'是把'艺术展览'的策展逻辑、空间美学、观看体验,直接迁移到商场零售这一新对象上;'城市森林'是把森林这一自然意象,迁移到商场中庭设计上,把零售空间变成艺术与自然交融的主题场景。学生看到'把A领域的经验迁移到B领域'、'把A的意象搬到B'就要直接挂联想思维,而不要误挂为'分析与综合'或'整体性'。","朝外样本主打'策展型零售',将艺术展览的策展经验和'城市森林'的自然意象同化迁移到零售空间设计中;这种把一个领域已经形成的经验、形象、设计语言搬到另一全新对象上的跨类型迁移,正是创新思维下的联想思维的体现。","A-formal","创新思维>联想思维","创新思维-联想思维·策展型零售迁移型"
