question_id,suite_id,source_locator,原始题号,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_pattern,invalid_pattern_or_trap,answer_key_or_scoring,evidence_level,same_type_question_ids,blocked_status
S01Q04,S01,001:P3+002,Q4,类比推理,归纳推理,类比：A与B在特征P1P2上相同→A有P3→B也可能有P3；归纳：个别→一般（或然推理）,类比推理增强说服力但结论不必然真；归纳推理增加前提可以增加可靠性,前提真且反映相关本质联系则类比/归纳结论可信度高,类比/归纳结论为或然性，不可当必然推理用，Ans A；B-choice-signal,A-support,S07Q18;S08Q07,CLEAR
S01Q19_1,S01,001:P8+002:S3-S6,Q19(1),三段论,N/A,S-P全称判断+S-M全称判断+结论；判断推理形式是否正确及前提是否真实,"前提真且形式有效→结论必然真；前提假或形式无效→结论不可靠","三段论形式正确(四格规则满足)且前提真实→结论可靠","陷阱1：形式正确但前提不真实（如'所有...都是...'的大前提可疑）→结论不可靠；陷阱2：形式本身错误（中项不周延/违反三一律等）",3分；判断形式是否正确1分+指出前提真假问题2分,A-formal(002),S02Q11;S02Q12;S07Q07,CLEAR
S02Q11,S02,003:P4+004,Q11,三段论,N/A,大前提P判断+小前提S判断+结论S-P,三段论有效需：中项至少周延一次/结论不得过渡/前提有效性,符合三段论四格规则的推理形式为有效推理,中项不周延/结论比前提范围宽/两否定前提/特称前提,Ans A；A-formal(004),A-formal(004),S01Q19_1;S07Q07;S05Q13;S12Q07,CLEAR
S02Q12,S02,003:P4+004,Q12,逻辑规则_矛盾律/同一律,N/A,矛盾律：不可同真（A与非A不能都真）；同一律：同一思维过程中保持概念含义一致,"矛盾律：两个矛盾命题不能同真；排中律：两个互补命题不能同假；同一律：概念需保持同一","命题符合矛盾律/同一律时推理有效","陷阱：自相矛盾（违矛盾律）；偷换概念（违同一律）；两刀论题（违排中律）",Ans B；A-formal(004),A-formal(004),S07Q11;S06Q08;S11Q06,CLEAR
S02Q13,S02,003:P4+004,Q13,类比推理_OR_联想思维_边界题,N/A,联想推理（迁移同化）或类比推理（相似→推断）,"联想=思维方法（把不同对象经验联结）；类比=推理方法（前提相似→结论相似）；二者可共存但模块不同","题干明确指向'推理'时用推理框架；明确指向'思维方法'时用思维框架","混淆联想思维与类比推理的知识归属→选错模块",Ans D；模块边界题需判断答案选项所属,A-formal(004),S07Q07;S08Q07,BOUNDARY_CHECK
S02Q14,S02,003:P4-P5+004,Q14,归纳推理_求异法,N/A,在不同情境A+B和B中分别观察结果有无差异→如果有差异则A是B的原因（排除其他因素）,求异法逻辑：相同因素→相同结果；不同因素→不同结果；差异处即因果关联,正确：控制单一变量法得到的因果关系，人工设计实验筛选差异,混淆求异法与求同法（求同=多情境共同因素）；混淆求异与共变（共变=程度变化）,Ans B；A-formal(004),A-formal(004),S10Q05;S07Q09,CLEAR
S02Q15,S02,003:P5+004,Q15,联言推理_否定,N/A,联言命题p∧q的否定：¬(p∧q)=¬p∨¬q；等价形式（德摩根定律）,否定联言命题=分裂为两个否定的选言；所谓"都不"≠"至少有一个不",¬(A∧B)=¬A∨¬B；等价：至少一个为假,陷阱：将¬(A∧B)理解为¬A∧¬B（"两者都不"）→错误,Ans D；A-formal(004),A-formal(004),S06Q08;S12Q05;S05Q15,CLEAR
S03Q19_2,S03,006:P8+007:Q19,Q19(2),假言推理,N/A,"推理①：充分条件假言推理（若p则q）；肯定前件→肯定后件（modus ponens）。推理②：必要条件假言推理（只有p才q）；仅肯定前件≠可得后件（非modus ponens形式）",充分条件：p→q；有效式：肯定p得q/否定q得否p。必要条件：¬p→¬q（只有p才q等价于¬p→¬q）；有效式：否定p得否q/肯定q得肯p,推理①：大前提充分条件命题→肯定前件→肯定后件=有效。推理②：大前提必要条件→仅凭肯定前件无法肯定后件=无效,混淆充分必要条件的推理规则；将必要条件当充分条件使用→非法肯前件导致错误,各3分：推理结论正误1分+说明条件类型与规则1分+结合材料分析1分；A-formal(007),A-formal(007),S05Q15;S13Q16_2;S16Q06,CLEAR
S04Q12,S04,008:SCAN+011,Q12,推理(PENDING_VISUAL),推理(PENDING_VISUAL),PENDING_VISUAL,PENDING_VISUAL,PENDING_VISUAL,PENDING_VISUAL,PENDING_VISUAL,B-choice-signal(推测),S04Q13,LOCKED_PENDING_VISUAL
S04Q13,S04,008:SCAN+011,Q13,推理(PENDING_VISUAL),推理(PENDING_VISUAL),PENDING_VISUAL,PENDING_VISUAL,PENDING_VISUAL,PENDING_VISUAL,PENDING_VISUAL,B-choice-signal(推测),S04Q12,LOCKED_PENDING_VISUAL
