question_id,suite_id,source_locator,原始题号,题型,部分归属,题干完整性,选项完整性,答案/细则配对状态,视觉核读状态,blocked_status,blocked_reason,excerpt
S01Q03,S01,001:P2-P3,Q3,选择题,思维部分_辩证思维,完整,完整,A-support(002细则有Q3),OK,CLEAR,,从"无感情色彩的术语"到"具有温度的情感…"体现…辩证思维整体性等；Ans C
S01Q04,S01,001:P3,Q4,选择题,推理部分_类比/归纳,完整,完整,A-support(002细则有Q4),OK,CLEAR,,关于"类比推理"和"归纳推理"的选项；Ans A
S01Q05,S01,001:P3,Q5,选择题,边界_待确认,完整,完整,A-support(002),OK,BOUNDARY_CHECK,,题干含"科学家发现规律"等；可能涉及科学思维特征or认识论，模块边界需确认
S01Q19_1,S01,001:P8+002:S3-S6,Q19(1),主观题_推理判断,推理部分,完整,N/A,A-formal(002:评分细则),OK,CLEAR,,"请你判断下面三段论的推理形式是否正确，并说明理由"；3分；三段论前提不真实=推理形式正确但结论不可靠
S01Q19_2,S01,001:P8+002:S7-S10,Q19(2),主观题_思维,思维部分_科学思维,完整,N/A,A-formal(002:评分细则),OK,CLEAR,,HS01；科学思维三特征(客观性+预见性+可检验性)；6分3×2分；"从材料中找出具有这些特征的信息"
S01Q21,S01,001:P9-P10+002,Q21,主观题_多模块,边界_多模块综合,完整,N/A,A-formal(002),OK,BOUNDARY_CHECK,,10分多模块题；含系统观念/创新思维分问；需拆分确认各模块归属
S02Q11,S02,003:P4,Q11,选择题,推理部分_三段论,完整,完整,A-formal(004:选择题答案),OK,CLEAR,,"三段论推理中，大前提是…小前提是…结论是否正确"；Ans A
S02Q12,S02,003:P4,Q12,选择题,推理部分_逻辑规则,完整,完整,A-formal(004),OK,CLEAR,,逻辑规则判断（矛盾律/同一律等场景）；Ans B
S02Q13,S02,003:P4,Q13,选择题,思维部分_联想/推理部分_类比,完整,完整,A-formal(004),OK,BOUNDARY_CHECK,,联想思维与类比推理区别；Ans D；模块归属需细化（联想=思维 OR 类比=推理）
S02Q14,S02,003:P4-P5,Q14,选择题,推理部分_归纳,完整,完整,A-formal(004),OK,CLEAR,,求异法归纳推理；Ans B
