source_id,year,district,stage,file_type,source_type,evidence_type,thinking_candidate,reasoning_candidate,boundary_exclusion,return_to_source,ocr_render_needed,canonical_path,notes
FW_THINKING,N/A,N/A,N/A,pdf,framework,framework,YES,NO,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/00_source_pdfs/逻辑与思维_思维部分_原文件.pdf,14页；已有提取文本于双线旧路径02_extraction；需独立核查思维框架结构
FW_REASONING,N/A,N/A,N/A,pdf,framework,framework,NO,YES,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/00_source_pdfs/逻辑与思维_推理部分_原文件.pdf,21页；已有提取文本于双线旧路径02_extraction；推理分类框架来源
FW_NOTABILITY_THINKING,N/A,N/A,N/A,nbn,framework,framework,YES,NO,NO,YES,YES,逻辑与思维 思维部分 原文件.nbn（Notability）,Notability专有格式；无法直接读取；若PDF版已足够可跳过；否则需用户导出PDF
FW_NOTABILITY_REASONING,N/A,N/A,N/A,nbn,framework,framework,NO,YES,NO,YES,YES,逻辑与思维 推理部分（原文件）.nbn（Notability）,Notability专有格式；多份拷贝；PDF版已有；优先级低
OA_FRAMEWORK_CHAIN,N/A,N/A,N/A,md,old_artifact_locator,old_artifact,YES,NO,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_框架+三年题链_穷尽版.md,旧稿；只用于定位源材料和查漏；不继承结论
OA_ROUTE_ACCUMULATE,N/A,N/A,N/A,md,old_artifact_locator,old_artifact,YES,NO,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_逐题材料-思维路径积累_穷尽版.md,旧稿；只用于定位源材料；不继承结论
OA_CLASSDRAFT,N/A,N/A,N/A,md,old_artifact_locator,old_artifact,YES,NO,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三_逻辑与思维_思维部分_零基础满分课稿.md,旧稿；失败参考；不继承结论
OA_MIMIC_BAODIAN,N/A,N/A,N/A,docx,old_artifact_locator,old_artifact,YES,YES,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_完全模仿哲学宝典返工_2026-05-04/04_delivery/选必三逻辑与思维_完全模仿哲学宝典_学生版_2026-05-04.docx,旧线产物；只做定位参考；不继承结论
OA_DOUBLELINE,N/A,N/A,N/A,md,old_artifact_locator,old_artifact,YES,YES,NO,NO,NO,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维双线四线终极跑_2026-05-04/09_delivery/选必三逻辑与思维_思维推理双线触发宝典_学生版_2026-05-04.md,旧线双线产物；只做定位参考；不继承结论
COMPILE_2024_YIMO_XB3,2024,各区汇编,一模,doc,paper,B-choice-signal,YES,YES,NO,YES,YES,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,按模块汇编；内含选必三题目；格式.doc需转换；可定位选必三题目分布；不独立计数
P_2024_DC_YIM,2024,东城,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,Q18(3)思维部分候选（辩证否定+超前）；含选择题推理候选；待回源核查
R_2024_DC_YIM,2024,东城,一模,pdf+pptx,rubric,A-formal,YES,NO,NO,YES,YES,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx + 补充材料/北京市东城区...答案.pdf,细则PPTX+答案PDF；需渲染提取
P_2024_DC_ERM,2024,东城,二模,pdf,paper,A-formal,PENDING,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,有分题阅卷总结Q16-Q21；Q16/Q17/Q18/Q19/Q20/Q21分别有阅卷总结docx；需确认哪题为选必三思维
R_2024_DC_ERM,2024,东城,二模,docx+pptx,rubric,A-formal,PENDING,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/（各题）,有分题阅卷总结和评分细则；A-formal级别高；待确认模块归属
P_2024_FT_YIM,2024,丰台,一模,pdf,paper,A-formal,YES,YES,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,Q19(2)思维部分候选（科学思维+超前）；待回源
R_2024_FT_YIM,2024,丰台,一模,docx,rubric,A-formal,YES,NO,NO,YES,NO,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,细则docx
