question_id,suite_id,source_locator,思维知识节点,材料信号,可写思维或方法,答题动作,为什么能想到,答案落点状态,evidence_level,是否可入学生稿
S01Q19_2,S01,001:P8+002:S7-S10,科学思维_客观性+预见性+可检验性,"材料1:某研究团队依据客观情况开展实验/材料2:提出预测/材料3:设计可以被检验的假设","科学思维三特征：①客观性(依据客观事实而非主观愿望)②预见性(能在掌握规律基础上预测结果)③可检验性(命题可被实验或事实检验)","逐一对应材料：①找客观依据段→写客观性+材料原文②找预测段→写预见性+材料原文③找实验/验证段→写可检验性+材料原文","设问'运用科学思维'+'从材料中找出具有这些特征的信息'→明确触发三特征全覆盖",A-formal：3×2分锚点确认（002细则Slide7-10），YES
S02Q20,S02,003:P7+004:Q20,辩证思维_矛盾分析/整体性/动态性/质量互变,"材料：事物对立统一/整体与部分/质量互变/动态联系等信号词","辩证思维方法：矛盾分析（一分为二）+整体性（整体与部分联系）+动态性（发展变化）+质量互变（量变质变）","找材料中对立/整体/变化/积累信号词→分别用对应辩证思维方法接入→每方法1+1分(知识+材料)","设问'运用辩证思维知识'+'结合材料'→辩证思维四方法并列框架触发；答3种满分",A-formal：细则各方法可替换，YES
S02Q21_2,S02,003:P8+004:Q21,创新思维_超前+联想+逆向+发散聚合,"材料：朝阳首发经济/原创技术/预先规划/反向思路/多向拓展等","创新思维方法：超前思维(提前预判)+联想思维(迁移类比)+逆向思维(反向求解)+发散与聚合(多向展开后收拢)","找材料中预判/联结/反向/多维信号→匹配创新思维方法→每种2分(知识+材料分析)","设问'运用创新思维知识'+题目描述含超前/联想/逆向/发散等词汇触发",A-formal：004细则逐种2分；答3种满6分；HS03，YES
S04Q20,S04,008:SCAN+009+010,辩证思维_分析与综合+整体性+动态性+辩证否定,"材料：对立统一/整体联系/发展变化/否定性运动等（题干待视觉读取）","分析与综合(综合把握)+整体性(整体与部分)+动态性(运动变化)/质量互变+辩证否定(扬弃)","题干读取后→对应信号找方法→各2分","010评标实录确认辩证否定有效；009细则整体性+动态性+辩证否定可见",A-formal：条件满足(但题干VISUAL_PENDING)，NO(HS02 LOCKED_PENDING_VISUAL)
S05Q18_2,S05,012:P6+013:S9-10,创新思维_聚合+发散+联想+超前,"登月服设计材料：综合考虑月面环境/航天员各类需求(聚合发散)；把服装与火箭传统文化联系(联想)；提前预判月面需求(超前)","聚合+发散(综合核心问题多需求)/联想(服装造型与文化联结)/超前(提前预判月面特殊环境)","找材料中'综合多种需求'→聚合+发散；'联结传统文化'→联想；'提前预判'→超前","设问'运用《逻辑与思维》知识'+登月服材料含联结/预判/综合信号触发",A-formal：013讲评细则Slide9-10；一点2分满3分，YES
S06Q17_1,S06,015:P6+016:S14-15,科学思维_客观性(可检验性)_规律,"永动机设计违背客观实际/违背客观规律（能量守恒定律）；设计中假设的条件无法成立","科学思维客观性：认识必须符合客观实际/不能违背客观规律；科学思维可检验性：结论需经得起检验","指出永动机设计的具体假设→分析其违背什么客观规律/为什么不符合客观实际→科学思维客观性落点","设问'运用科学思维知识'+'分析这个永动机设计图的问题所在'→科学思维客观性/可检验性直接触发",A-formal：016细则Slide14；客观性/可检验性2分+规律1分+材料分析1分=4分，YES
S06Q18,S06,015:P6+016:S23-24,创新思维_逆向+联想,"北京城市图书馆：从'人找书'转向'书找人'(逆向)；传统'赤印'意象迁移到建筑设计(联想)","逆向思维(对已有认识进行反向思考/转换方向)；联想思维(将认知经验迁移应用/同化性迁移)","找'书找人'信号→逆向思维；找'赤印意象迁移'信号→联想思维；每角度：原理+具体材料分析","设问'运用创新思维...是如何'触发具体方法分析；图书馆材料含明显反向/迁移信号",A-formal：016细则Slide23-24；各方法2分；答好两个满分，YES
S07Q19,S07,017:P7+018:Q19,创新思维_超前+逆向+联想+发散聚合,"首发经济朝外材料：预判业态趋势(超前)；逆向引进国际品牌/零售模式(逆向)；策展型零售联结经验(联想)；价值耦合整合多向(发散聚合)","超前思维/逆向思维/联想思维/发散与聚合思维（对应材料信号逐一展开）","逐一找材料中预判/反向/迁移/多向聚合信号→各配创新思维方法→各2分(知识+材料)","设问'运用创新思维知识'+朝外材料含4种信号触发四方法全覆盖",A-formal：018细则表格；各2分满8分，YES
S13Q16_3,S13,037+038:Q16,创新思维_改变联系/方法，PARTIAL,"改变联系/建立新联系信号（需读037全文确认题干）","创新思维中改变联系相关（038细则提及）","需读037试卷Q16(3)完整题干后确认","038细则中提及创新思维改变联系；但题干未完整读取",A-support（待补充）,PENDING（需补充037题干）
S17Q19_4,S17,046:P8+055:全文,思维_系统观念+创新思维（综合）,"中关村材料：统筹各环节各资源(系统观念)；多向思考/超前/发散聚合(创新思维)；从单点到链式(创新路径)","系统观念知识（整体性/结构有序/优化/产学研协同）+创新思维知识（多向思路/联想/发散聚合/超前）","找材料中'统筹协调'信号→系统观念；找材料中'多向/超前/创新路径'信号→创新思维；各1分知识+分析2+1分","设问'运用系统观念与创新思维的知识'确定双模块触发",A-formal：055细则；系统知识1+创新知识1+分析2+1=5分，YES
