"artifact","artifact_file","section_index","chapter_path","section_heading","source_label","parsed_suite","parsed_question_no","parse_status","coverage_status","alias_label","alias_note","question_id","year","district","stage","suite_name","question_no","book_part","question_type","evidence_level","source_packet","source_status","decision_reason"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","1","科学思维 / 客观性、预见性、可检验性","题组65 见“三方需求 -> 系统指标 -> 减配实验 -> 市场测试” -> 分析综合、联想和科学思维一起看","2026海淀二模 Q18(1)","2026海淀二模","18(1)","parsed","matched","","","Q0127","2026","海淀","二模","2026海淀二模","18(1)","thinking","main_question","A-formal","02_codex_lane/GAP022_2026_HAIDIAN_ERMO_Q3_Q4_Q5_Q6_Q7_Q18_1_Q20_1_SOURCE_LOCK.md#q0127-2026海淀二模-q181","source_locked_pending_external_review","教师版参考答案锁定分析与综合、联想思维、科学思维客观性、合乎逻辑推断和市场测试实践检验的复合思维链"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","2","科学思维 / 易错边界","题组35 见“现实问题 + 法规标准查找 + 大样本调查 + 头脑风暴” -> 科学思维总帽下的复合触发","2024门头沟一模 Q20","2024门头沟一模","20","parsed","matched","","","Q0069","2024","门头沟","一模","2024门头沟一模","20","thinking","main_question","B-compilation","02_codex_lane/GAP006_2024_COMPILATION_MENTOUGOU_Q20_FANGSHAN_Q20_SOURCE_LOCK.md#q0069-2024门头沟一模-q20","source_locked_pending_external_review","模拟提案完成过程科学思维题：分类汇编锁定现实问题、法规标准查找、219件商品和626个样本、头脑风暴、发散聚合、分析综合；缺原区正式细则，按B-compilation"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","3","科学思维 / 易错边界","题组72 见“企业回避系统缺陷” -> 科学思维要追求认识客观性","2026顺义二模 Q18(1)","2026顺义二模","18(1)","parsed","matched","","","Q0139","2026","顺义","二模","2026顺义二模","18(1)","thinking+reasoning","main_question","A-formal","02_codex_lane/GAP026_2026_SHUNYI_ERMO_Q5_Q6_Q7_Q18_1_Q21_SOURCE_LOCK.md#q0139-2026顺义二模-q181","source_locked_pending_external_review","正式细则锁定 AI 车企观点点评：结论一涉及矛盾律与一致性要求，结论二涉及科学思维追求认识客观性"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","4","科学思维 / 易错边界","题组71 见“数量指标 + 性质描述” -> 定量分析和定性分析要一起看","2026顺义二模 Q5","2026顺义二模","5","parsed","matched","","","Q0136","2026","顺义","二模","2026顺义二模","5","thinking","choice_question","A-support","02_codex_lane/GAP026_2026_SHUNYI_ERMO_Q5_Q6_Q7_Q18_1_Q21_SOURCE_LOCK.md#q0136-2026顺义二模-q5","source_locked_pending_external_review","渲染原卷和细则答案表锁定 Q5=B；户外登山裤材料训练定性分析与定量分析结合；无独立客观题细则，按 A-support"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","5","科学思维 / 易错边界","题组16 见“样品分析 + 计算推断 + 遥感互证” -> 科学思维可信度","2026朝阳一模 Q7","2026朝阳一模","7","parsed","matched","","","Q0040","2026","朝阳","一模","2026朝阳一模","7","thinking","choice_question","B-choice-signal","02_codex_lane/GAP004_2026_CHAOYANG_YIMO_CHOICE_CORPUS_SOURCE_LOCK.md#q0040-2026朝阳一模-q7","source_locked_pending_external_review","月壤样品分析与卫星遥感互证选择题：科学思维可信度，排除形象化特征和超前思维误挂"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","6","科学思维 / 易错边界","题组1 见“真实调查 + 方法创新 + 分阶段安排” -> 科学总帽下的三模块复合","2024海淀二模 Q17(1)","2024海淀二模","17(1)","parsed","matched","","","Q0011","2024","海淀","二模","2024海淀二模","17(1)","thinking","main_question","A-formal","02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0011-2024海淀二模-q171","source_locked","科学思维总帽下三模块复合：科学2分+创新3分+辩证2分"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","7","科学思维 / 易错边界","题组23 见“国家规划 + 分步目标 + 实践检验” -> 科学思维三性","2025丰台一模 Q18(1)","2025丰台一模","18(1)","parsed","matched","","","Q0048","2025","丰台","一模","2025丰台一模","18(1)","thinking","main_question","A-formal","02_codex_lane/GAP005_2025_FENGTAI_YIMO_Q18_1_SOURCE_LOCK.md#q0048-2025丰台一模-q181","source_locked_pending_external_review","新一代人工智能规划题：正式细则锁定科学思维客观性、预见性、可检验性三性"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","8","科学思维 / 易错边界","题组22 见“真实问题 + 多方法调查 + 实践检验 + 奇思妙想” -> 科学思维与归纳推理","2025石景山一模 Q19","2025石景山一模","19","parsed","matched","","","Q0047","2025","石景山","一模","2025石景山一模","19","thinking","main_question","A-formal","02_codex_lane/GAP005_2025_SHIJINGSHAN_YIMO_Q19_SOURCE_LOCK.md#q0047-2025石景山一模-q19","source_locked_pending_external_review","科学建议题：正式细则给科学思维客观性/可检验性、归纳推理可靠程度、创新思维三点"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","9","科学思维 / 科学总帽下的复合触发","题组49 见“现实风险 + 长远目标 + 多方协同 + 闭环方案” -> 科学思维总帽下的辩证思维和创新思维","2026门头沟一模 Q18(2)","2026门头沟一模","18(2)","parsed","matched","","","Q0097","2026","门头沟","一模","2026门头沟一模","18(2)","thinking","main_question","A-formal","02_codex_lane/GAP011_2026_MENTOUGOU_YIMO_Q5_Q6_Q18_2_SOURCE_LOCK.md#q0097-2026门头沟一模-q182","source_locked_pending_external_review","正式细则锁定《逻辑与思维》科学思维方法：辩证思维3分、创新思维3分、整体逻辑1分"
"thinking_framework","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_双宝典双线重启_2026-05-24\08_delivery\选必三_逻辑与思维_思维宝典_框架重排送审版.md","10","科学思维 / 易错边界","题组21 见“从自然条件出发 + 整体生态规划 + 反向少人工设施” -> 科学总帽下复合思维","2025西城一模 Q17","2025西城一模","17","parsed","matched","","","Q0046","2025","西城","一模","2025西城一模","17","thinking","main_question","A-formal","02_codex_lane/GAP005_2025_XICHENG_YIMO_Q17_SOURCE_LOCK.md#q0046-2025西城一模-q17","source_locked_pending_external_review","温榆生态心科学思维题：正式细则要求客观性、辩证思维、创新思维三个维度"
