framework_node,parent_path,入正文题,选择题陷阱题,辅助挂载题,辅助理解题,同类索引题,blocked题,excluded题,证据等级集合,备注
辩证思维>矛盾分析法,辩证思维>矛盾分析法,Q-2025丰台期末-16,,,,,,,A-support,细则Slide14针对性复练习题；'界'多种联想中守界与跨界、界内与界外是矛盾的对立统一
辩证思维>整体性,辩证思维>整体性,Q-2025丰台期末-16,Q-2026顺义一模-3;Q-2026通州期末-8,Q-2026通州期末-8,,,,,A-support;B-choice-signal,细则Slide14；'界'共同构成社会生活的边界系统，立足整体把握部分 / 试卷参考答案3.C；②'整体性与独立性、动态性与静态性的对立统一'探月工程整体性 / 试卷参考答案8.D；④个体差异性与民族记忆整体性对立统一；主题在必修四联系观+矛盾观
辩证思维>动态性,辩证思维>动态性,Q-2025丰台期末-16,Q-2026顺义一模-3,,,,,,A-support;B-choice-signal,细则Slide14；'界'随时代发展不断更新内涵，跨界是新时代特征 / 试卷参考答案3.C；②'动态性与静态性的对立统一'探月工程动态性
辩证思维>质量互变（适度原则）,辩证思维>质量互变,Q-2025丰台期末-16,,,,,,,A-support,细则Slide14；'界'是事物量的规定性的边界值，越界即越过质变临界点
辩证思维>分析与综合,辩证思维>分析综合,,Q-2026顺义一模-3,,,,,,B-choice-signal,试卷参考答案3.C；③'通过分析与综合相结合以整体把握全链条难题为统领突破各项细分技术'
科学思维>客观性,科学思维>客观性,Q-2026顺义一模-19-2,,,,,,,A-formal,细则Slide7；客观性2分=知识1分+材料1分；蹲点观察老人真实生活习惯
科学思维>预见性,科学思维>预见性,Q-2026顺义一模-19-2,,,,,,,A-formal,细则Slide7；预见性2分=知识1分+材料1分；追踪老龄化趋势预测市场潜力
科学思维>可检验性,科学思维>可检验性,Q-2026顺义一模-19-2,,,,,,,A-formal,细则Slide7；可检验性2分=知识1分+材料1分；反复测试多轮迭代
创新思维>形象思维（感性形象基本单元）,创新思维>形象思维,,Q-2025丰台期末-8;Q-2026顺义一模-5,,,,,,B-choice-signal,试卷参考答案8.D；④形象思维以感觉/知觉/表象为基础 / 试卷参考答案5.D；D触摸历史温度+聆听无声之教是感觉知觉表象基础
创新思维>发散思维与聚合思维,创新思维>发散与聚合,,Q-2025丰台期末-8;Q-2026丰台一模-7;Q-2026顺义一模-5,,,,,,B-choice-signal,试卷参考答案8.D；②运用发散思维表达对和平的向往（向多个具体形象铺开） / 试卷参考答案7.B；A'发散与聚合相结合诊治'是治疗阶段错位错项；正解B充分条件假言推理 / 试卷参考答案5.D；B'发散思维引导到条理化逻辑思路'实际是聚合思维错项
创新思维>迁移和想象,创新思维>迁移和想象,,Q-2026顺义一模-6,,,,,,B-choice-signal,试卷参考答案6.A；A'迁移的方法认识和解决新问题'人机认知边界四象限模型
创新思维>联想思维,创新思维>联想思维,,Q-2026丰台一模-4,,,,,,B-choice-signal,试卷参考答案4.A；④'运用联想思维将最速降线理论迁移至屋顶建造'是联想思维误用错项；正解综合思维
创新思维>超前思维,创新思维>超前思维,,Q-2025丰台期末-7;Q-2026丰台一模-7,,,,,,B-choice-signal,试卷参考答案7.C；B'运用超前思维思考明天'是选必三超前思维概念跨模块外挂边界陷阱（硬规则§十八永久锁定） / 试卷参考答案7.B；D'借助超前思维诊断'是超前思维应用场景错位错项
综合思维（导论）,导论>综合思维,,Q-2026丰台一模-4,,,,,,B-choice-signal,试卷参考答案4.A；②凹曲屋面体现综合思维将功能性与艺术性融为一体
系统思维（导论）+辩证思维联动,导论>系统思维,,Q-2026通州期末-5,,,,,,B-choice-signal,试卷参考答案5.C；②基层问题之网型；系统思维与辩证思维联动正例
系统观念（边界）+数字化治理,导论>系统观念,,Q-2026通州期末-9,,,,,,B-choice-signal,试卷参考答案9.D；硬规则§十八永久锁定：本题只能挂选择题陷阱/边界陷阱；不能作创新思维或发散思维正例
认识发展历程>思维抽象与思维具体,认识发展历程,,Q-2026通州期末-11;Q-2025丰台期末-10,,,,,,B-choice-signal,试卷参考答案11.C；硬规则§九永久锁定：'河-合-和'诠释过程符合'杂多现象→抽出核心概念→回到完整整体图景' / 试卷参考答案10.B；③'闻一知十'误读为'感性具体到思维抽象'是思维抽象具体与归纳推理混淆陷阱
推理边界>判断>性质判断主项识别,推理>判断>性质判断,,Q-2025顺义一模-6,,,,,,B-choice-signal,试卷参考答案6.A；①'政策工具'作为性质判断主项识别正确
