question_id,suite_id,original_qno,question_type,phase12_action,phase12_category,phase12_blocker_reason,phase05_status,current_exhaustive_conclusion,evidence_level,decision_reason,excerpt_head
Q-2025丰台期末-1,S-2025丰台期末,1,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"1. 中华文明从来不用单一文化代替多元文化,而是由多元文化汇聚成共同文化,化解冲突,凝聚共识。中 华优秀传统文化有很多重要元素,共同塑造出中华文明的突出特性——突出的连续性、突出的创新性、突 出的统一性、突出的包容性、突出的和平性。以下认识正确的是( ) 1中华文明的博大气象,得益于中华文化自古以来开放的姿态、包容的胸怀 2这中华文明的兼收并蓄,来自于中国人民和中华民族内心深处的自信和自豪 3中华"
Q-2025丰台期末-2,S-2025丰台期末,2,选择题,blocked_keep_out,blocked,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=blocked；blocker=scope pending or boundary row；note=范围或题面仍需人工回源，不从材料关键词推断入正文。,"2. 人大代表之家、人大代表活动站和民情联络点,是人大代表密切联系群众、开展履职活动、践行全过程 人民民主的重要阵地。某区推动人大代表“家站点”发挥更大作用,进一步优化布局、完善功能、加强信 息化建设,迭代升级“家站点”。 合理规划布局 根据代表数量、选区分布等 因素科学选址,形成“通用 版+”等模式。 完善设施配备 配备必要办公设备,提供舒 适接待环境,设置宣传栏、 展示架,展示代表信息、工 作"
Q-2025丰台期末-3,S-2025丰台期末,3,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"3. 如图所示,北京市构建了以“一清单、一平台、一张网”为基础的养老服务体系。 ===== PAGE 2 ===== 第2页/共18页 下列说法正确的是( ) 1该体系引导多方各司其职、协同联动,为老年群体保驾护航 2“一清单”是从消费端满足多样化、多层次的养老服务需求 3“一平台”以基层自洽为主导,保障老年群体的基本权益 4“一张网”依托养老事业和养老产业,不断完善养老服务 A. 13 B. 1"
Q-2025丰台期末-4,S-2025丰台期末,4,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"4. “人民医护工作者”路生梅,扎根黄土高原,守护群众健康,为贫困地区人民服务50 多年;“人民教 育家”黄大年,带领团队,为中国“巡天探地潜海”填补多项技术空白;“人民卫士”巴依卡·凯力迪别 克,在帕米尔高原上巡边37 年,在生命禁区为戍边战士引路......他们的事迹启示我们( ) 1要在为国尽责、为民服务的实践中实现个人价值、展现人生风采 2只有能力卓越的人,才能把握住难得的人生机遇,创造精"
Q-2025丰台期末-5,S-2025丰台期末,5,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"5. 借助网络直播,山区的“绿色”茶叶、“青色”果蔬、“金色”粮油走出大山,城市居民有口福了,乡 亲们的腰包鼓起来了;通过远程教育,边疆地区的学生与北京师生同上一堂课,课堂内容丰富了,师生视 野开阔了......指尖触动,就能乐享线上生活,融入时代发展。下列说法正确的是( ) 1互联网重塑生产生活方式,为老百姓带来具体可感的变化 2依托网络整合资源,有助于解决发展不平衡不充分的问题 3运用网络资源"
Q-2025丰台期末-6,S-2025丰台期末,6,选择题,blocked_keep_out,answer_missing,scope pending or boundary row,,blocked,missing_or_blocked,phase12_action=blocked_keep_out；phase12_category=answer_missing；blocker=scope pending or boundary row；note=初筛为答案/来源缺口，本轮未找到足够证据。,"6. 2024 年北京中秋国庆彩灯游园会(“京彩灯会”)在园博园盛大举行,本次灯会以国家非物质文化遗产 自贡彩灯技艺为基础,与北京传统风俗文化、首都时代精神符号创意融合,使游客在欣赏璀璨灯光、非遗 技艺的同时,还能通过不同主题区、不同灯组深切感受北京胡同、北京生活、北京风俗的独特韵味,感受 ===== PAGE 3 ===== 第3页/共18页 文物、国画、诗词等中华优秀传统文化新的光彩与生命力。"
Q-2025丰台期末-7,S-2025丰台期末,7,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,入正文,B-choice-signal,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,"7. 下图漫画给我们的哲学启示有( ) A. 集中精力关注当下,就能活出最美的样子 B. 运用超前思维思考明天,创造出幸福的人生 C. 从实际出发,从当下做起,生活才能少些迷茫 D. 弄清昨天明天和当下各自的意义,是取得成功的关键"
Q-2025丰台期末-8,S-2025丰台期末,8,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,入正文,B-choice-signal,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,"8. 阅读现代诗《和平是一棵树》。 “和平是白天鹅的翅膀, 是翅膀掠过宁静的湖水, 是水底映出的云影; 和平是开向四方的门, 是门里圆桌上斟满的红酒, 是酒上照耀的灯......” 以下对其创作思路解读正确的是( ) 1以想象作为思维的基本单元,激发人们对和平的热爱 2运用发散思维表达了人们对和平的向往和追求 3主要运用了抽象思维来描述和平的美好 4以形象思维的方式去触及和平的本质 A. 13 B"
Q-2025丰台期末-9,S-2025丰台期末,9,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,同类索引,missing_or_blocked,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025丰台期末-9; canonical_conclusion=入正文,"9. 某中学以“赓续红色血脉传承红色基因”为主题,精心策划并组织了陕西、贵州、甘肃、湖南等几条研 学路线,每个学生都选择了一条研学路线。据此,下列说法逻辑正确的是( ) ===== PAGE 4 ===== 第4页/共18页 A. 由“小李既没报陕西研学,也没报贵州研学”为真,能推出“小李报湖南研学”为真 B. 由“小张或者去甘肃游学,或者去湖南游学”为真,能推出“小张去甘肃游学”为真 C. 由“"
Q-2025丰台期末-10,S-2025丰台期末,10,选择题,covered_by_74_review_body,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,入正文,B-choice-signal,phase12_action=covered_by_74_review_body；phase12_category=already_in_74；blocker=Batch03 Lane B confirmed for evidence fusion only; no student draft；note=已进入 74-row review-only expanded body。,"10. 生活中,有人“吃一堑,长一智”,有人却“在同一地方摔倒多次”;有人能“闻一知十”,有人 “举一”却不能“反三”。以下说法正确的是( ) 1“吃一堑,长一智”启示我们要从特殊推出一般,寻找规律性 2人之所以会“在同一地方摔倒多次”,是因为没有运用演绎推理 3“闻一知十”启示我们要从思维抽象到思维具体,开启创新之门 4“举一”却不能“反三”的人是因为没有正确运用类比推理 A. 13 B. 14"
