"check_id","question_id","canonical_source_id","source_status","entrance_after_check","secondary_entrance","decision","evidence_basis","guardrail","next_action"
"SC01","CC0137_2025_昌平_二模_20","CC0137_2025_昌平_二模_20","formal_locked","E1 表格/裁判要点/补链题","","KEEP_CORE","v11_source_locked_rebuild/source_snippets/CC0137_rubric.txt lines 91-101; merged_rubric_atoms R_CC0137_02..14; v12.1 core row","CC0137 only supports one-grid-one-chain table reasoning: AI copyright grid and credit-card contract grid. Do not expand into a general AI innovation trunk.","none"
"SC02","CC0289_2026_朝阳_二模_18","CC0289_2026_朝阳_二模_18","formal_locked","E1 表格/裁判要点/补链题","E6 调解/维权/纠纷解决/证据路径","KEEP_CORE_MIXED","v11_source_locked_rebuild/source_snippets/CC0289_rubric.txt lines 7-14 and 29-45; merged_rubric_atoms R_CC0289_01..08; v12.1 core row","Primary delivery is completion of three Q&A blanks; the '任选其一' part then asks rights-protection by basis + action + remedy. Choosing question 1/2/3 itself is not scored; personal information and 必修三 slogans are not scored.","none"
"SC03","CC0223_2025_顺义_一模_19","CC0223_2025_顺义_一模_19","formal_locked","E6 调解/维权/纠纷解决/证据路径","","KEEP_CORE","merged_question source_locator F0098/F0097/F0314; merged_rubric_atoms R_CC0223_M17_01..06; v12.1 core row; source lock card confirms two cases","Rewarded action is how disputes are solved: case 1 litigation mediation + common-area reasonable use + neighboring relation; case 2 market-regulator adjudication / administrative lawsuit / unfair competition. Value language must be derived from the two cases, not written as free-standing meaning extraction.","none"
"SC04","CC0364_2026_通州_期中_19_1","CC0364_2026_通州_期末_19_1","formal_locked_with_id_alias","E2 判决/裁判/责任理由题","","KEEP_CORE_WITH_ALIAS_NOTE","merged_rubric_atoms R_CC0364_2026_通州_期末_19_1_01; source_locator F0223/F0403 slides 11-14; v12.1 core row uses 期中 alias; source lock card preserves legal prompt","Procedure legality is rewarded in this case because the original answer includes legal proportion consent/procedure and the source card says procedure was locked. It is not a universal first sentence for all E2 questions. Do not import the separate 逻辑与思维 subquestion atoms R02..08 into the law framework.","Normalize future records to the canonical 期末 source ID or record the alias explicitly."
"SC05","CC0051_2024_海淀_期中_21_1","CC0051_2024_海淀_期中_21_1","pass_recovered_locked","E4 评析/认识/谈看法题","","KEEP_CORE_LOW_FREQUENCY","v12.1 core row; v12_24 source_lock_card CC0051; not present in 04_merge_audit extract used this pass","Use as recovered evidence for evaluation of a view under marriage-family law and good-law standards. Do not create a broad legal-change trunk, and do not turn it into 必修三 scientific legislation slogans.","none"
"SC06","CC0195_2025_西城_一模_20","CC0195_2025_西城_一模_20","formal_locked","E5 意义/价值/作用/如何保护推动题","","KEEP_CORE","merged_question source_locator F0093/F0094/F0311; merged_rubric_atoms R_CC0195_01; v12.1 core row","Keep as law-supported labor-rights fairness/efficiency evidence: union platform + collective contract + labor-rights protection + enterprise lawful employment + efficiency. Do not classify as non-legal economics by default.","none"
"SC07","CC0162_2025_海淀_一模_18","CC0162_2025_海淀_一模_18","reference_only","OPEN_OR_REFERENCE","","NOT_PROMOTED","merged_question status weak_reference_only; rubric atoms are teacher_reference_answer only; no formal scoring source located","Can illustrate format-contract/service-contract risk, but cannot support core coverage or full-score closure until formal rubric is found.","source hunt before promotion"
"SC08","CC0040_2024_海淀_一模_19","CC0040_2024_海淀_一模_19","reference_only","OPEN_OR_REFERENCE","","NOT_PROMOTED","merged_question reference_only; rubric atom teacher_reference_answer only","Can illustrate digital-person copyright and unfair-competition direction, but does not support core framework promotion.","source hunt before promotion"
"SC09","CC0353_2026_西城_期中_17","CC0353_2026_西城_期末_17","reference_only_with_id_alias","OPEN_OR_REFERENCE","","NOT_PROMOTED","merged_question canonical row is 期末 and reference_only; paper locator/OCR risk remains","Do not use as core judgement-reason evidence until formal rubric and locator are locked. Record 期中/期末 alias risk if used later.","source hunt before promotion"
"SC10","CC0380_2026_顺义_二模_18_2","CC0380_2026_顺义_二模_18_2","formal_boundary_split","OPEN_BOUNDARY_CONTAINER","","NOT_PROMOTED_TO_CORE","merged_question boundary_split_patch; rubric atoms P01..P04 formal but module_boundary_risk is 综合","Useful for future new-technology/data-risk open container, not for current core count because the question explicitly crosses 必修三 and 选必二 and the paper OCR/prompt remains partly backfilled.","new evidence pass before core promotion"
